,,,,,,,,
"l1, l2",346,322,177,490,240,430,492,172
,"F, n","dx, mm/10",,,,,,
,-0.4,0.1,0.9,0.1,2,0.2,0.2,0.2
,0.6,0.2,3,0.4,3.6,0.4,0.7,0.4
,0.8,0.3,7.3,0.6,7.8,0.6,2.2,0.6
,1.2,0.4,12.6,0.8,14.4,0.8,3.9,0.8
,1.9,0.5,15.9,1,17.5,1,5.7,1
,2.6,0.6,17.2,1.2,19.7,1.2,8.8,1.2
,3.2,0.7,17.5,1.4,20.7,1.4,14.9,1.4
,4.3,0.8,18,1.6,21.4,1.6,17.8,1.6
,5.5,0.9,18.1,1.8,21.1,1.8,18.2,1.8
,8.8,1,18.5,2.1,21.5,2,15,2
,10.5,1.5,18.7,3,22.9,3,17.5,2.5
,17.4,2,18.9,4.1,22.9,4,19,3
,18.2,2.5,19.1,5,23.2,5,20.4,3.5
,19.9,3,18.9,6,23.5,6,19.6,4
,22.7,3.5,,,,,20.4,5
,20.1,4,,,,,22.4,6
,19.9,4.5,,,,,,
,21,5,,,,,,
,19.9,5.5,,,,,,
,20.9,6,,,,,,
,22.3,6.5,,,,,,
,20.8,7,,,,,,
,20.9,7.5,,,,,,
