Num	Name	NameEng	FullName	AtW	EnIon	clr	x1	y1	x2	y2	Dens
1	H	hidrogen	водород	1,008	18,7	r	0,1	1	0,2	2	0,0449
2	He	helium	гелий	4,002602	42	r	0,75	1	1,02	2	0,179
3	Li	litium	литий	6,9412	38	r	0,1	2	0,2	3	534
4	Be	beryllium	берилллий	9,01218	60	r	0,2	2	0,29	3	1840
5	B	boron	бор	10,812	69	y	0,29	2	0,38	3	3330
6	C	carbon	углерод	12,0108	78	y	0,38	2	0,47	3	2250
7	N	nitrogen	азот	14,0067	85	y	0,47	2	0,57	3	1,25
8	O	oxygen	кислород	15,9994	89	y	0,57	2	0,66	3	0,715
9	F	fluorine	фтор	18,9984	110	y	0,66	2	0,75	3	1696
10	Ne	neon	неон	20,179	131	b	0,75	2	1,02	3	0,9
11	Na	sodium	натрий	22,98977	144,516346638338	r	0,1	3	0,2	4	971
12	Mg	magnesium	магний	24,305	153,667121688538	r	0,2	3	0,29	4	1741
13	Al	aluminum	алюминий	26	162,87551396706	y	0,29	3	0,38	4	2700
14	Si	silicon	кремний	28,086	172,132230165762	y	0,38	3	0,47	4	2350
15	P	phosphorus	фосфор	30,97376	181,430011250382	y	0,47	3	0,57	4	2200
16	S	sulfur	сера	32,06	190,763084979885	y	0,57	3	0,66	4	1920
17	Cl	chlorine	хлор	35,453	200,126789960255	y	0,66	3	0,75	4	3210
18	Ar	argon	аргон	39,948	209,517310769125	y	0,75	3	1,02	4	1,78
19	K	potassium 	калий	39,0983	218,931487114109	r	0,1	4	0,2	5	870
20	Ca	calcium	кальций	40,08	228,366673602191	r	0,2	4	0,29	5	1550
21	Sc	scandium	скандий	44,9559	237,820634887831	b	0,29	4	0,38	5	2500
22	Ti	titanium	титан	47,9	247,291466046369	b	0,38	4	0,47	5	4500
23	V	vanadium	ванадий	50,9415	256,777531254439	b	0,47	4	0,57	5	5960
24	Cr	chromium	хром	351,996	266,277415969806	b	0,57	4	0,66	5	7100
25	Mn	manganese	марганец	54,938	275,789889209986	b	0,66	4	0,75	5	7420
26	Fe	iron	железо	55,847	285,313873485236	b	0,75	4	0,83	5	7870
27	Co	cobalt	кобальт	58,9332	294,848420602966	b	0,83	4	0,93	5	8710
28	Ni	nickel	никель	58,7	304,392692025573	b	0,93	4	1,02	5	8700
29	Cu	copper	медь	63,546	313,945942795335	b	0,1	5	0,2	6	8930
30	Zn	zinc	цинк	65,38	323,50750827985	b	0,2	5	0,29	6	6920
31	Ga	gallium	галий	69,72	333,076793167007	y	0,29	5	0,38	6	6093
32	Ge	germanium	германий	72,59	342,653262268552	y	0,38	5	0,47	6	5460
33	As	arsenic	мышьяк	74,9216	352,236432788595	y	0,47	5	0,57	6	5730
34	Se	selenium	селен	78,96	361,825867787015	y	0,57	5	0,66	6	4800
35	Br	bromine	бром	79,904	371,421170623877	y	0,66	5	0,75	6	3120
36	Kr	crypton	криптон	83,8	381,021980214163	y	0,75	5	1,02	6	3740
37	Rb	rubidium	рубидий	85,4678	390,627966955736	r	0,1	6	0,2	7	1532
38	Sr	strontium	стронций	87,62	400,238829219611	r	0,2	6	0,29	7	2540
39	Y	yttrium	итрий	88,9059	409,854290312346	b	0,29	6	0,38	7	3800
40	Zr	zirconium	цирконий	91,22	419,474095836702	b	0,38	6	0,47	7	6440
41	Nb	niobium	ниобий	92,9064	429,098011389833	b	0,47	6	0,57	7	8400
42	Mo	molybdenum	молибден	95,94	438,72582054875	b	0,57	6	0,66	7	9010
43	Tc	technetium	технеций	98,9062	448,357323101319	b	0,66	6	0,75	7	0
44	Ru	ruthenium	рутений	101,07	457,992333487898	b	0,75	6	0,83	7	12060
45	Rh	rhodium	родий	102,9055	467,630679424383	b	0,83	6	0,93	7	12440
46	Pd	palladium	палладий	106,4	477,272200682024	b	0,93	6	1,02	7	12160
47	Ag	silver	серебро	107,868	486,916748003177	b	0,1	7	0,2	8	10500
48	Cd	cadmium	кадмий	112,41	496,564182135314	b	0,2	7	0,29	8	8648
49	In	indium	индий	114,82	506,214372968214	y	0,29	7	0,38	8	7280
50	Sn	tin	олово	118,69	515,867198761477	y	0,38	7	0,47	8	7290
51	Sb	antimony	сурьма	121,75	525,52254545127	y	0,47	7	0,57	8	6220
52	Te	tellurium	теллур	127,6	535,18030602684	y	0,57	7	0,66	8	6020
53	I	iodine	иод	126,9045	544,840379968553	y	0,66	7	0,75	8	4940
54	Xe	xenon	ксенон	131,3	554,502672740356	y	0,75	7	1,02	8	5890
55	Cs	cesium	цезий	132,9054	564,167095330503	r	0,1	8	0,2	9	1873
56	Ba	barium	барий	137,33	573,833563835161	r	0,2	8	0,29	9	3780
57	La	lanthanum	лантан*	138,9	583,501999080195	b	0,29	8	0,38	9	6150
58	Ce	cerium	церий	140,1	593,172326277057	g	0,068	12,05	0,136	13,05	0
59	Pr		празеодим	140,9	602,844474709143	g	0,136	12,05	0,205	13,05	0
60	Nd		неодим	144,2	612,518377445476	g	0,205	12,05	0,272	13,05	0
61	Pm		прометий	144,2	622,193971078914	g	0,272	12,05	0,34	13,05	0
62	Sm		самарий	150,4	631,871195486417	g	0,34	12,05	0,402	13,05	0
63	Eu		европий	151,9	641,549993609193	g	0,402	12,05	0,47	13,05	0
64	Gd		гадолиний	157,3	651,230311250793	g	0,47	12,05	0,539	13,05	0
65	Tb		тербий	158,9	660,912096891425	g	0,539	12,05	0,606	13,05	0
66	Dy		диспрозий	162,5	670,595301516964	g	0,606	12,05	0,666	13,05	0
67	Ho		гольмий	164,9	680,279878461289	g	0,666	12,05	0,733	13,05	0
68	Er		эрбий	167,3	689,965783260724	g	0,733	12,05	0,801	13,05	0
69	Tm		тулий	168,9	699,652973519497	g	0,801	12,05	0,869	13,05	0
70	Yb		иттербий	173	709,341408785232	g	0,869	12,05	0,938	13,05	0
71	Lu		лютеций	174,9	719,031050433594	g	0,938	12,05	1,006	13,05	0
72	Hf	hafnium	гафний	178,49	728,721861561299	b	0,38	8	0,47	9	13300
73	Ta	tantalum	тантал	180,9479	738,413806886769	b	0,47	8	0,57	9	16600
74	W	tungsten	вольфрам	183,85	748,106852657803	b	0,57	8	0,66	9	18800
75	Re	rhenium	рений	186,207	757,800966565659	b	0,66	8	0,75	9	20530
76	Os	osmium	осмий	190,2	767,496117665051	b	0,75	8	0,83	9	22500
77	Ir	iridium	иридий	192,22	777,19227629955	b	0,83	8	0,93	9	22420
78	Pt	platinum	платина	195,09	786,88941403199	b	0,93	8	1,02	9	21370
79	Au	gold	золото	196,9665	796,587503579461	b	0,1	9	0,2	10	19300
80	Hg	mercury	ртуть	200,59	806,286518752544	b	0,2	9	0,29	10	13546
81	Tl	thallium	таллий	204,37	815,986434398461	y	0,29	9	0,38	10	11860
82	Pb	lead	свинец	207,2	825,687226347836	y	0,38	9	0,47	10	11342
83	Bi	bismuth	висмут	835,388871364808	835,388871364808	y	0,47	9	0,57	10	9747
84	Po	polonium	полоний	209	845,091347100237	y	0,57	9	0,66	10	0
85	At	astatine	астат	210	854,794632047783	y	0,66	9	0,75	10	0
86	Rn	radon	радон	222	864,498705502645	y	0,75	9	1,02	10	0
87	Fr	francium	франций	223	874,203547522781	r	0,1	10	0,2	11	0
88	Ra	radium	радий	226	883,909138892415	r	0,2	10	0,29	11	0
89	Ac	actinium	актиний**	227	893,615461087692	b	0,29	10	0,38	11	0
90	To	thorium	торий	232	903,322496244316	g	0,068	13,05	0,136	14,05	0
91	Pa		протактиний	231	913,030227127045	g	0,136	13,05	0,205	14,05	0
92	U	uranium	уран	238	922,73863710091	g	0,205	13,05	0,272	14,05	0
93	Np		нептуний	237	932,447710104059	g	0,272	13,05	0,34	14,05	0
94	Pu		плутоний	244	942,157430622092	g	0,34	13,05	0,402	14,05	0
95	Am		америций	243	951,867783663813	g	0,402	13,05	0,47	14,05	0
96	Cm		кюрий	247	961,578754738297	g	0,47	13,05	0,539	14,05	0
97	Bk		берклий	247	971,290329833192	g	0,539	13,05	0,606	14,05	0
98	Cf		калифорний	251	981,002495394166	g	0,606	13,05	0,666	14,05	0
99	Es		эйнштейний	252	990,715238305444	g	0,666	13,05	0,733	143,05	0
100	Fm		фермий	257	1000,42854587136	g	0,733	13,05	0,801	14,05	0
101	Md		менделевий	258	1010,14240579886	g	0,801	13,05	0,869	14,05	0
102	No		нобелий	259	1019,85680618088	g	0,869	13,05	0,938	14,05	0
103	Lr		лоуренсий	262	1029,57173548061	g	0,938	13,05	1,006	14,05	0
104	Rf		резерфордий	261	1039,28718251648	b	0,38	10	0,47	11	0
105	Db		дубний	262	1049,00313644798	b	0,47	10	0,57	11	0
106	Sg		сиборгий	266	1058,71958676208	b	0,57	10	0,66	11	0
107	Bh		борий	269	1068,43652326037	b	0,66	10	0,75	11	0
