Удаление хорды от оси, см	Интенсивность, отн. ед.
 0.00000000000000E+0000	 2.74578124615389E-0003
 5.00000000000000E-0002	 2.70834469844679E-0003
 1.00000000000000E-0001	 2.68685905129463E-0003
 1.50000000000000E-0001	 2.77965241543715E-0003
 2.00000000000000E-0001	 2.63061020013205E-0003
 2.50000000000000E-0001	 2.57247349450551E-0003
 3.00000000000000E-0001	 2.55837499486234E-0003
 3.50000000000000E-0001	 2.49670244494954E-0003
 4.00000000000000E-0001	 2.46413334327076E-0003
 4.50000000000000E-0001	 2.41533829498024E-0003
 5.00000000000000E-0001	 2.40433212499863E-0003
 5.50000000000000E-0001	 2.07264496410648E-0003
 6.00000000000000E-0001	 1.94628348692082E-0003
 6.50000000000000E-0001	 1.88127884975671E-0003
 7.00000000000000E-0001	 1.66652724614248E-0003
 7.50000000000000E-0001	 1.52639902658430E-0003
 8.00000000000000E-0001	 1.55714520892196E-0003
 8.50000000000000E-0001	 1.32240143849933E-0003
 9.00000000000000E-0001	 1.17680767739947E-0003
 9.50000000000000E-0001	 1.04513852939763E-0003
 1.00000000000000E+0000	 8.19101239040593E-0004
 1.05000000000000E+0000	 5.12838346897767E-0004
 1.10000000000000E+0000	 1.64881170541528E-0004
 1.15000000000000E+0000	 1.53367610717443E-0004
 1.20000000000000E+0000	 1.46162068937829E-0004
 1.25000000000000E+0000	 1.49821358902795E-0004
 1.30000000000000E+0000	 1.52663238383908E-0004
 1.35000000000000E+0000	 1.50475059705077E-0004
 1.40000000000000E+0000	 1.53138060877205E-0004
 1.45000000000000E+0000	 1.51508347896780E-0004
 1.50000000000000E+0000	 1.54546468154787E-0004
 1.55000000000000E+0000	 1.55577969552206E-0004
 1.60000000000000E+0000	 1.53017506003556E-0004
 1.65000000000000E+0000	 1.51518349797335E-0004
 1.70000000000000E+0000	 1.53843767794288E-0004
 1.75000000000000E+0000	 1.54594616133614E-0004
 1.80000000000000E+0000	 1.56894169015683E-0004
 1.85000000000000E+0000	 1.61251828374695E-0004
 1.90000000000000E+0000	 1.57285990739642E-0004
 1.95000000000000E+0000	 1.55224085768718E-0004
 2.00000000000000E+0000	 1.65157518901648E-0004
 2.05000000000000E+0000	 1.64561426454728E-0004
 2.10000000000000E+0000	 1.65361458721415E-0004
 2.15000000000000E+0000	 1.75022137527234E-0004
