Channel,Counts
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,2
56,0
57,0
58,0
59,0
60,0
61,1
62,1
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,2
81,9
82,21
83,28
84,42
85,34
86,47
87,47
88,47
89,29
90,28
91,25
92,42
93,32
94,30
95,35
96,44
97,47
98,34
99,46
100,37
101,66
102,41
103,47
104,41
105,38
106,67
107,47
108,60
109,47
110,51
111,46
112,51
113,49
114,55
115,64
116,54
117,51
118,66
119,55
120,62
121,69
122,56
123,63
124,77
125,62
126,51
127,63
128,60
129,74
130,77
131,79
132,82
133,68
134,68
135,74
136,75
137,61
138,70
139,77
140,74
141,83
142,86
143,61
144,77
145,67
146,92
147,85
148,75
149,81
150,79
151,86
152,97
153,75
154,94
155,79
156,94
157,90
158,91
159,92
160,85
161,112
162,111
163,111
164,126
165,110
166,112
167,116
168,98
169,118
170,129
171,132
172,122
173,122
174,135
175,113
176,137
177,139
178,142
179,141
180,149
181,143
182,147
183,155
184,147
185,150
186,154
187,144
188,141
189,151
190,171
191,154
192,168
193,143
194,156
195,147
196,169
197,176
198,165
199,149
200,146
201,163
202,168
203,166
204,167
205,161
206,188
207,172
208,151
209,152
210,151
211,147
212,156
213,162
214,146
215,158
216,188
217,151
218,144
219,173
220,162
221,162
222,155
223,155
224,159
225,198
226,174
227,169
228,169
229,149
230,153
231,180
232,176
233,154
234,172
235,167
236,174
237,155
238,165
239,180
240,176
241,151
242,173
243,173
244,168
245,142
246,162
247,156
248,169
249,143
250,165
251,146
252,148
253,149
254,156
255,150
256,143
257,146
258,147
259,138
260,118
261,154
262,176
263,127
264,131
265,152
266,146
267,150
268,122
269,127
270,122
271,148
272,157
273,130
274,146
275,123
276,131
277,140
278,134
279,129
