Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,2
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,3
82,24
83,35
84,34
85,52
86,47
87,56
88,41
89,35
90,44
91,46
92,40
93,34
94,51
95,48
96,45
97,54
98,70
99,56
100,58
101,50
102,58
103,59
104,61
105,71
106,60
107,64
108,77
109,68
110,62
111,68
112,81
113,114
114,97
115,90
116,112
117,148
118,183
119,168
120,207
121,209
122,279
123,321
124,322
125,340
126,356
127,325
128,305
129,313
130,306
131,269
132,208
133,186
134,187
135,169
136,138
137,146
138,120
139,145
140,105
141,103
142,86
143,105
144,93
145,90
146,99
147,87
148,101
149,97
150,94
151,114
152,100
153,114
154,117
155,98
156,96
157,97
158,107
159,103
160,99
161,122
162,117
163,99
164,118
165,137
166,129
167,131
168,143
169,151
170,117
171,135
172,131
173,130
174,157
175,151
176,118
177,143
178,137
179,125
180,149
181,164
182,162
183,161
184,175
185,164
186,165
187,136
188,179
189,166
190,173
191,167
192,160
193,161
194,166
195,174
196,165
197,152
198,180
199,158
200,171
201,169
202,201
203,201
204,181
205,166
206,184
207,166
208,174
209,162
210,149
211,185
212,151
213,166
214,179
215,185
216,175
217,156
218,181
219,155
220,161
221,149
222,187
223,172
224,184
225,148
226,186
227,163
228,165
229,169
230,140
231,199
232,177
233,180
234,159
235,160
236,180
237,189
238,181
239,146
240,170
241,182
242,177
243,151
244,178
245,170
246,157
247,161
248,184
249,169
250,146
251,142
252,150
253,173
254,156
255,154
256,157
257,171
258,165
259,171
260,179
261,131
262,170
263,162
264,153
265,156
266,153
267,157
268,163
269,180
270,135
271,150
272,146
273,144
274,154
275,145
276,155
277,153
278,128
279,136
