"Nu, Hz","dphi, s","dphi_add, pi","V1, v","V2, v"
1.00E+06,2.58E-07,0,2.7,2.54
3.00E+06,2.60E-07,0,2.66,2.46
5.00E+06,5.90E-08,2,2.64,2.34
7.00E+06,1.15E-07,2,2.68,2.26
9.00E+06,3.60E-08,4,2.7,2.24
1.10E+07,7.60E-08,4,2.7,2.18
1.30E+07,2.70E-08,6,2.7,2.16
1.50E+07,5.64E-08,6,2.7,2.1
1.70E+07,2.04E-08,8,2.7,2.1
1.90E+07,4.52E-08,8,2.7,2.06
2.10E+07,1.72E-08,10,2.7,2
2.30E+07,3.76E-08,10,2.7,1.96
2.50E+07,1.56E-08,12,2.7,1.94
2.70E+07,3.28E-08,12,2.7,1.94
2.90E+07,1.36E-08,14,2.7,1.92
3.10E+07,2.92E-08,14,2.7,1.88
3.30E+07,1.24E-08,16,2.7,1.84
3.50E+06,2.64E-08,16,2.7,1.78
3.70E+07,1.20E-08,18,2.7,1.78
3.90E+07,2.44E-08,18,2.7,1.76
