nloads (P = 11 * n * 100grams),"dlines, mm",+-,l1left,l1right,+-,l2left,l2right,+-,l3left,l3right,+-,l4left,l4right,+-,,,,,,,,,
1,16,5,34,58,5,,,,,,,,,,,,,,,,,,
2,15,5,45,75,10,,,,,,,,,,,,,,,,,,
3,11,3,75,80,3,35,40,5,,,,,,,,,,,,,,,
4,10,3,90,120,3,45,55,5,,,,,,,,,,,,,,,
5,8,2,90,115,5,55,80,5,25,35,3,,,,,,,,,,,,
6,6,2,95,115,5,75,80,5,40,50,5,12.5,15,3,,,,,,,,,
7,5.5,0.5,,,,75,85,3,45,55,3,30,35,3,,,,,,,,,
8,5,0.5,,,,80,95,3,55,70,3,35,45,3,15,20,3,,,,,,
9,4.6,0.25,,,,85,110,3,65,80,3,40,50,3,25,30,3,,,,,,
10,4.16,0.25,,,,85,110,2,90,90,2,55,60,2,35,45,2,17,20,2,,,
11,3.9,0.15,,,,90,110,2,75,95,2,55,70,2,45,55,2,28,33,2,,12,2
10,3.95,0.15,,,,89,103,10,76,85,10,56,70,10,35,45,2,23,30,5,,,
9,4.975,0.3,102,110,10,79,76,10,65,78,5,40,55,10,26,35,10,5,7,7,,,
8,5.425,0.3,96,120,10,77,95,5,52,70,15,37,45,3,15,24,7,,,,,,
7,5.75,0.4,93,115,15,68,85,15,47,58,3,25,33,12,,,,,,,,,
6,6.4,0.4,92,110,15,67,78,15,35,45,2,,,,,,,,,,,,
5,8.1,0.5,80,105,15,50,60,10,17,23,20,,,,,,,,,,,,
4,9.2,0.6,75,110,12,35,45,5,,,,,,,,,,,,,,,
3,11.75,0.7,65,75,10,,,,,,,,,,,,,,,,,,
2,15,4,34,60,17,,,,,,,,,,,,,,,,,,
1,17,5,5,5,35,,,,,,,,,,,,,,,,,,
