"nu, Hz","Lcoil. mH","Rcoil. ohm"
50,17.1,36.9
60,17.0,36.4
75,16.4,38.4
100,15.1,39.7
120,13.6,40.7
150,12.3,42.7
200,9.9,45.2
250,8.2,47.0
300,6.9,48.2
400,5.3,50.3
500,4.6,52.0
600,4.2,53.4
750,3.8,54.5
800,3.7,54.7
1000,3.3,54.9
1500,2.9,58.8
2000,2.8,64.9
2500,2.7,69.1
3000,2.8,71.4
4000,2.9,76.7
5000,3.0,81.2
6000,3.2,92.9
7500,3.4,97.8
10000,3.58,111.8
12000,3.5,133.9
13000,4.0,177.2
15700,4.1,190.4
16200,4.1,193.6
20000,4.9,246.9
25000,5.7,442.6
30000,7.7,904.1
