Время,Канал A
(uс),(В)

-623.19997232,0.39704580
-623.03997233,0.30884730
-622.87997233,0.13229770
-622.71997233,0.04394665
-622.55997233,-0.08835109
-622.39997233,-0.22064880
-622.23997233,-0.35309920
-622.07997233,-0.48539690
-621.91997233,-0.61784720
-621.75997233,-0.70604570
-621.59997233,-0.83849600
-621.43997233,-0.97079380
-621.27997234,-1.01504600
-621.11997234,-1.19144300
-620.95997234,-1.27979400
-620.79997234,-1.36799200
-620.63997234,-1.45634300
-620.47997234,-1.54454200
-620.31997234,-1.63274000
-620.15997234,-1.72109100
-619.99997234,-1.80929000
-619.83997234,-1.85338900
-619.67997235,-1.89764100
-619.51997235,-1.98583900
-619.35997235,-2.07403800
-619.19997235,-2.07403800
-619.03997235,-2.16238900
-618.87997235,-2.16238900
-618.71997235,-2.20648800
-618.55997235,-2.25058700
-618.39997235,-2.25058700
-618.23997235,-2.25058700
-618.07997236,-2.25058700
-617.91997236,-2.25058700
-617.75997236,-2.25058700
-617.59997236,-2.25058700
-617.43997236,-2.25058700
-617.27997236,-2.20648800
-617.11997236,-2.16238900
-616.95997236,-2.16238900
-616.79997236,-2.07403800
-616.63997236,-2.07403800
-616.47997236,-2.02993900
-616.31997237,-1.98583900
-616.15997237,-1.89764100
-615.99997237,-1.85338900
-615.83997237,-1.80929000
-615.67997237,-1.72109100
-615.51997237,-1.63274000
-615.35997237,-1.54454200
-615.19997237,-1.45634300
-615.03997237,-1.36799200
-614.87997237,-1.32389300
-614.71997238,-1.19144300
-614.55997238,-1.10324400
-614.39997238,-1.01504600
-614.23997238,-0.92669450
-614.07997238,-0.79439680
-613.91997238,-0.70604570
-613.75997238,-0.61784720
-613.59997238,-0.48539690
-613.43997238,-0.39719840
-613.27997238,-0.30884730
-613.11997239,-0.22064880
-612.95997239,-0.13245030
-612.79997239,-0.00015259
-612.63997239,0.08819849
-612.47997239,0.22049620
-612.31997239,0.30884730
-612.15997239,0.39704580
-611.99997239,0.48524430
-611.83997239,0.57359540
-611.67997239,0.66179390
-611.51997240,0.75014500
-611.35997240,0.83834340
-611.19997240,0.92654190
-611.03997240,1.01489300
-610.87997240,1.10309100
-610.71997240,1.14719100
-610.55997240,1.23554200
-610.39997240,1.27964100
-610.23997240,1.32374000
-610.07997240,1.41209100
-609.91997240,1.45619100
-609.75997241,1.50029000
-609.59997241,1.50029000
-609.43997241,1.58848800
-609.27997241,1.63274000
-609.11997241,1.63274000
-608.95997241,1.67683900
-608.79997241,1.67683900
-608.63997241,1.72093900
-608.47997241,1.72093900
-608.31997241,1.72093900
-608.15997242,1.72093900
-607.99997242,1.72093900
-607.83997242,1.76503800
-607.67997242,1.72093900
-607.51997242,1.72093900
