Частота,Канал A
(kГц),(В)

0.00000000,0.07509492
0.02384186,0.03248417
0.04768372,0.00532680
0.07152557,0.00043848
0.09536743,0.00017964
0.11920929,0.00016649
0.14305115,0.00009694
0.16689301,0.00005896
0.19073486,0.00014282
0.21457672,0.00031449
0.23841858,0.00050308
0.26226044,0.00053280
0.28610229,0.00050587
0.30994415,0.00042046
0.33378601,0.00008887
0.35762787,0.00021521
0.38146973,0.00023556
0.40531158,0.00021252
0.42915344,0.00022275
0.45299530,0.00029658
0.47683716,0.00042971
0.50067902,0.00057498
0.52452087,0.00047687
0.54836273,0.00047330
0.57220459,0.00036739
0.59604645,0.00018921
0.61988831,0.00028882
0.64373016,0.00023488
0.66757202,0.00010777
0.69141388,0.00017754
0.71525574,0.00015125
0.73909760,0.00019018
0.76293945,0.00012467
0.78678131,0.00008317
0.81062317,0.00014077
0.83446503,0.00024465
0.85830688,0.00049048
0.88214874,0.00050872
0.90599060,0.00019285
0.92983246,0.00045004
0.95367432,0.00019006
0.97751617,0.00028039
1.00135803,0.00023707
1.02519989,0.00024026
1.04904175,0.00030592
1.07288361,0.00017608
1.09672546,0.00013810
1.12056732,0.00041313
1.14440918,0.00048320
1.16825104,0.00034458
1.19209290,0.00020641
1.21593475,0.00011768
1.23977661,0.00031315
1.26361847,0.00052570
1.28746033,0.00046286
1.31130219,0.00032536
1.33514404,0.00015402
1.35898590,0.00039765
1.38282776,0.00063667
1.40666962,0.00058490
1.43051147,0.00034932
1.45435333,0.00025003
1.47819519,0.00035188
1.50203705,0.00052817
1.52587891,0.00063229
1.54972076,0.00054105
1.57356262,0.00028763
1.59740448,0.00025150
1.62124634,0.00033847
1.64508820,0.00054709
1.66893005,0.00070998
1.69277191,0.00077163
1.71661377,0.00051698
1.74045563,0.00023247
1.76429749,0.00015881
1.78813934,0.00030506
1.81198120,0.00051892
1.83582306,0.00043179
1.85966492,0.00043340
1.88350677,0.00062671
1.90734863,0.00046494
1.93119049,0.00040659
1.95503235,0.00052514
1.97887421,0.00058885
2.00271606,0.00053435
2.02655792,0.00033822
2.05039978,0.00017331
2.07424164,0.00015215
2.09808350,0.00035773
2.12192535,0.00036559
2.14576721,0.00009179
2.16960907,0.00020211
2.19345093,0.00031530
2.21729279,0.00022813
2.24113464,0.00034213
2.26497650,0.00053305
2.28881836,0.00039585
2.31266022,0.00028350
2.33650208,0.00012109
2.36034393,0.00027206
2.38418579,0.00022018
2.40802765,0.00013186
2.43186951,0.00060211
2.45571136,0.00075016
2.47955322,0.00034267
2.50339508,0.00027612
2.52723694,0.00052010
2.55107880,0.00042258
2.57492065,0.00037901
2.59876251,0.00048546
2.62260437,0.00036802
2.64644623,0.00012892
2.67028809,0.00018908
2.69412994,0.00013143
2.71797180,0.00012686
2.74181366,0.00018583
2.76565552,0.00027228
2.78949738,0.00036795
2.81333923,0.00015589
2.83718109,0.00019523
2.86102295,0.00029335
2.88486481,0.00017396
2.90870667,0.00005872
2.93254852,0.00003583
2.95639038,0.00011593
2.98023224,0.00044456
3.00407410,0.00063077
3.02791595,0.00053454
3.05175781,0.00023490
3.07559967,0.00011719
3.09944153,0.00021328
3.12328339,0.00027452
3.14712524,0.00032446
3.17096710,0.00028073
3.19480896,0.00041293
3.21865082,0.00070403
3.24249268,0.00074081
3.26633453,0.00049434
3.29017639,0.00059939
3.31401825,0.00062240
3.33786011,0.00024049
3.36170197,0.00045403
3.38554382,0.00058524
3.40938568,0.00067675
3.43322754,0.00060265
3.45706940,0.00016417
3.48091125,0.00034002
3.50475311,0.00049045
3.52859497,0.00046094
3.55243683,0.00049198
3.57627869,0.00045560
3.60012054,0.00045181
3.62396240,0.00039167
3.64780426,0.00033595
3.67164612,0.00032454
3.69548798,0.00054024
3.71932983,0.00062371
3.74317169,0.00031766
3.76701355,0.00023026
3.79085541,0.00027749
3.81469727,0.00035534
3.83853912,0.00029175
3.86238098,0.00016245
3.88622284,0.00052629
3.91006470,0.00074208
3.93390656,0.00061654
3.95774841,0.00051643
3.98159027,0.00042110
4.00543213,0.00011963
4.02927399,0.00022508
4.05311584,0.00024319
4.07695770,0.00029500
4.10079956,0.00048462
4.12464142,0.00036555
4.14848328,0.00018977
4.17232513,0.00005688
4.19616699,0.00017090
4.22000885,0.00022502
4.24385071,0.00044104
4.26769257,0.00053327
4.29153442,0.00047752
4.31537628,0.00030377
4.33921814,0.00021373
4.36306000,0.00025460
4.38690186,0.00023301
4.41074371,0.00021703
4.43458557,0.00021016
4.45842743,0.00009565
4.48226929,0.00014475
4.50611115,0.00032498
4.52995300,0.00023695
4.55379486,0.00014649
4.57763672,0.00012703
4.60147858,0.00008782
4.62532043,0.00030223
4.64916229,0.00069660
4.67300415,0.00061181
4.69684601,0.00033404
4.72068787,0.00021705
4.74452972,0.00019767
4.76837158,0.00016576
4.79221344,0.00016487
4.81605530,0.00038729
4.83989716,0.00040980
4.86373901,0.00046563
4.88758087,0.00052273
4.91142273,0.00024889
4.93526459,0.00020124
4.95910645,0.00028002
4.98294830,0.00008620
5.00679016,0.00023000
5.03063202,0.00006394
5.05447388,0.00026672
5.07831573,0.00054264
5.10215759,0.00056709
5.12599945,0.00020435
5.14984131,0.00026744
5.17368317,0.00048108
5.19752502,0.00043761
5.22136688,0.00025186
5.24520874,0.00019802
5.26905060,0.00035747
5.29289246,0.00061475
5.31673431,0.00061847
5.34057617,0.00036939
5.36441803,0.00027946
5.38825989,0.00033413
5.41210175,0.00030486
5.43594360,0.00026978
5.45978546,0.00009676
5.48362732,0.00032043
5.50746918,0.00027262
5.53131104,0.00041000
5.55515289,0.00053579
5.57899475,0.00062875
5.60283661,0.00054697
5.62667847,0.00042375
5.65052032,0.00031728
5.67436218,0.00021993
5.69820404,0.00033489
5.72204590,0.00041472
5.74588776,0.00041393
5.76972961,0.00021731
5.79357147,0.00025840
5.81741333,0.00060084
5.84125519,0.00075061
5.86509705,0.00027549
5.88893890,0.00027160
5.91278076,0.00020364
5.93662262,0.00021141
5.96046448,0.00023633
5.98430634,0.00021788
6.00814819,0.00019481
6.03199005,0.00016115
6.05583191,0.00014311
6.07967377,0.00039483
6.10351563,0.00042450
6.12735748,0.00033945
6.15119934,0.00043021
6.17504120,0.00036102
6.19888306,0.00014913
6.22272491,0.00057726
6.24656677,0.00048966
6.27040863,0.00012571
6.29425049,0.00011457
6.31809235,0.00057928
6.34193420,0.00088012
6.36577606,0.00047931
6.38961792,0.00022999
6.41345978,0.00031791
6.43730164,0.00024535
6.46114349,0.00015329
6.48498535,0.00019401
6.50882721,0.00024947
6.53266907,0.00028510
6.55651093,0.00027199
6.58035278,0.00011092
6.60419464,0.00020969
6.62803650,0.00019722
6.65187836,0.00034283
6.67572021,0.00033364
6.69956207,0.00041007
6.72340393,0.00037544
6.74724579,0.00010673
6.77108765,0.00020769
6.79492950,0.00036369
6.81877136,0.00040292
6.84261322,0.00052634
6.86645508,0.00053480
6.89029694,0.00034074
6.91413879,0.00025350
6.93798065,0.00022373
6.96182251,0.00023860
6.98566437,0.00026226
7.00950623,0.00033666
7.03334808,0.00024108
7.05718994,0.00009551
7.08103180,0.00018565
7.10487366,0.00025559
7.12871552,0.00021265
7.15255737,0.00025790
7.17639923,0.00048220
7.20024109,0.00060783
7.22408295,0.00069525
7.24792480,0.00075659
7.27176666,0.00067162
7.29560852,0.00019999
7.31945038,0.00025233
7.34329224,0.00035226
7.36713409,0.00031910
7.39097595,0.00038995
7.41481781,0.00039596
7.43865967,0.00037516
7.46250153,0.00039700
7.48634338,0.00041007
7.51018524,0.00035196
7.53402710,0.00038464
7.55786896,0.00031890
7.58171082,0.00008096
7.60555267,0.00029698
7.62939453,0.00034985
7.65323639,0.00049153
7.67707825,0.00053610
7.70092010,0.00042515
7.72476196,0.00049672
7.74860382,0.00056116
7.77244568,0.00049440
7.79628754,0.00026999
7.82012939,0.00010979
7.84397125,0.00026386
7.86781311,0.00030170
7.89165497,0.00027285
7.91549683,0.00024429
7.93933868,0.00037450
7.96318054,0.00035464
7.98702240,0.00020822
8.01086426,0.00029345
8.03470612,0.00017442
8.05854797,0.00021613
8.08238983,0.00031155
8.10623169,0.00036098
8.13007355,0.00019959
8.15391541,0.00026443
8.17775726,0.00040811
8.20159912,0.00025900
8.22544098,0.00030693
8.24928284,0.00022795
8.27312469,0.00023650
8.29696655,0.00032723
8.32080841,0.00021329
8.34465027,0.00010357
8.36849213,0.00022597
8.39233398,0.00025677
8.41617584,0.00027077
8.44001770,0.00038975
8.46385956,0.00052048
8.48770142,0.00045068
8.51154327,0.00021213
8.53538513,0.00002567
8.55922699,0.00007968
8.58306885,0.00033675
8.60691071,0.00048914
8.63075256,0.00033303
8.65459442,0.00017170
8.67843628,0.00024821
8.70227814,0.00032072
8.72612000,0.00022713
8.74996185,0.00011571
8.77380371,0.00029633
8.79764557,0.00024007
8.82148743,0.00024489
8.84532928,0.00036511
8.86917114,0.00009188
8.89301300,0.00026838
8.91685486,0.00036008
8.94069672,0.00048653
8.96453857,0.00060633
8.98838043,0.00039098
9.01222229,0.00029242
9.03606415,0.00039076
9.05990601,0.00019669
9.08374786,0.00038182
9.10758972,0.00032622
9.13143158,0.00012772
9.15527344,0.00009961
9.17911530,0.00009007
9.20295715,0.00023780
9.22679901,0.00035748
9.25064087,0.00049644
9.27448273,0.00047786
9.29832458,0.00028821
9.32216644,0.00035332
9.34600830,0.00047526
9.36985016,0.00047774
9.39369202,0.00034170
9.41753387,0.00013991
9.44137573,0.00012932
9.46521759,0.00015744
9.48905945,0.00039064
9.51290131,0.00052058
9.53674316,0.00050265
9.56058502,0.00051312
9.58442688,0.00044554
9.60826874,0.00034351
9.63211060,0.00055219
9.65595245,0.00064543
9.67979431,0.00055637
9.70363617,0.00048790
9.72747803,0.00051559
9.75131989,0.00032575
9.77516174,0.00022517
9.79900360,0.00036701
9.82284546,0.00011730
9.84668732,0.00008555
9.87052917,0.00004352
9.89437103,0.00007908
9.91821289,0.00007113
9.94205475,0.00031766
9.96589661,0.00032922
9.98973846,0.00067284
10.01358032,0.00067279
10.03742218,0.00037409
10.06126404,0.00020617
10.08510590,0.00035751
10.10894775,0.00037313
10.13278961,0.00004208
10.15663147,0.00023471
10.18047333,0.00047774
10.20431519,0.00064382
10.22815704,0.00051369
10.25199890,0.00029190
10.27584076,0.00023451
10.29968262,0.00016646
10.32352448,0.00006751
10.34736633,0.00027120
10.37120819,0.00038648
10.39505005,0.00030325
10.41889191,0.00042746
10.44273376,0.00036506
10.46657562,0.00016469
10.49041748,0.00009490
10.51425934,0.00042843
10.53810120,0.00058996
10.56194305,0.00048095
10.58578491,0.00047950
10.60962677,0.00043327
10.63346863,0.00025190
10.65731049,0.00002185
10.68115234,0.00035481
10.70499420,0.00029699
10.72883606,0.00022189
10.75267792,0.00036618
10.77651978,0.00034398
10.80036163,0.00037932
10.82420349,0.00029832
10.84804535,0.00036959
10.87188721,0.00031003
10.89572906,0.00021654
10.91957092,0.00042403
10.94341278,0.00052258
10.96725464,0.00042055
10.99109650,0.00025716
11.01493835,0.00029756
11.03878021,0.00043069
11.06262207,0.00036406
11.08646393,0.00028914
11.11030579,0.00019697
11.13414764,0.00019397
11.15798950,0.00043749
11.18183136,0.00041199
11.20567322,0.00030353
11.22951508,0.00040071
11.25335693,0.00040453
11.27719879,0.00040837
11.30104065,0.00039116
11.32488251,0.00020380
11.34872437,0.00017094
11.37256622,0.00025328
11.39640808,0.00034581
11.42024994,0.00013021
11.44409180,0.00028131
11.46793365,0.00036206
11.49177551,0.00028723
11.51561737,0.00049442
11.53945923,0.00035521
11.56330109,0.00018347
11.58714294,0.00003198
11.61098480,0.00038330
11.63482666,0.00037525
11.65866852,0.00011755
11.68251038,0.00009742
11.70635223,0.00011099
11.73019409,0.00026418
11.75403595,0.00030398
11.77787781,0.00013979
11.80171967,0.00012692
11.82556152,0.00023539
11.84940338,0.00008705
11.87324524,0.00027201
11.89708710,0.00033846
11.92092896,0.00021863
11.94477081,0.00002205
11.96861267,0.00026800
11.99245453,0.00033705
12.01629639,0.00027503
12.04013824,0.00017162
12.06398010,0.00016371
12.08782196,0.00035048
12.11166382,0.00035358
12.13550568,0.00031091
12.15934753,0.00011972
12.18318939,0.00029082
12.20703125,0.00042272
12.23087311,0.00025507
12.25471497,0.00057946
12.27855682,0.00044435
12.30239868,0.00006033
12.32624054,0.00033714
12.35008240,0.00040313
12.37392426,0.00030161
12.39776611,0.00016344
12.42160797,0.00029622
12.44544983,0.00033967
12.46929169,0.00026966
12.49313354,0.00026034
12.51697540,0.00044110
12.54081726,0.00045386
12.56465912,0.00031770
12.58850098,0.00020455
12.61234283,0.00022188
12.63618469,0.00022313
12.66002655,0.00017107
12.68386841,0.00019258
12.70771027,0.00030131
12.73155212,0.00023768
12.75539398,0.00023977
12.77923584,0.00039935
12.80307770,0.00054925
12.82691956,0.00043332
12.85076141,0.00022216
12.87460327,0.00010975
12.89844513,0.00014088
12.92228699,0.00030827
12.94612885,0.00017624
12.96997070,0.00008623
12.99381256,0.00006020
13.01765442,0.00031551
13.04149628,0.00045771
13.06533813,0.00024140
13.08917999,0.00004002
13.11302185,0.00021752
13.13686371,0.00027664
13.16070557,0.00013657
13.18454742,0.00030283
13.20838928,0.00027057
13.23223114,0.00011375
13.25607300,0.00032589
13.27991486,0.00029993
13.30375671,0.00024939
13.32759857,0.00039493
13.35144043,0.00063642
13.37528229,0.00056083
13.39912415,0.00040931
13.42296600,0.00032177
13.44680786,0.00021357
13.47064972,0.00029245
13.49449158,0.00034906
13.51833344,0.00027159
13.54217529,0.00015920
13.56601715,0.00013068
13.58985901,0.00014400
13.61370087,0.00027970
13.63754272,0.00051804
13.66138458,0.00082311
13.68522644,0.00066675
13.70906830,0.00035883
13.73291016,0.00026556
13.75675201,0.00027307
13.78059387,0.00024047
13.80443573,0.00016853
13.82827759,0.00025401
13.85211945,0.00031252
