Частота,Канал A
(kГц),(В)

0.00000000,0.07807411
0.02384186,0.03374451
0.04768372,0.00515733
0.07152557,0.00095518
0.09536743,0.00072570
0.11920929,0.00041131
0.14305115,0.00026221
0.16689301,0.00053376
0.19073486,0.00067727
0.21457672,0.00042984
0.23841858,0.00015606
0.26226044,0.00028769
0.28610229,0.00015805
0.30994415,0.00018991
0.33378601,0.00041415
0.35762787,0.00047710
0.38146973,0.00046057
0.40531158,0.00031530
0.42915344,0.00018854
0.45299530,0.00021994
0.47683716,0.00028380
0.50067902,0.00023406
0.52452087,0.00007466
0.54836273,0.00040086
0.57220459,0.00035760
0.59604645,0.00052715
0.61988831,0.00073885
0.64373016,0.00049136
0.66757202,0.00004540
0.69141388,0.00047627
0.71525574,0.00052560
0.73909760,0.00030248
0.76293945,0.00020656
0.78678131,0.00026465
0.81062317,0.00016565
0.83446503,0.00008966
0.85830688,0.00027111
0.88214874,0.00023030
0.90599060,0.00006962
0.92983246,0.00025322
0.95367432,0.00046415
0.97751617,0.00020588
1.00135803,0.00005687
1.02519989,0.00022697
1.04904175,0.00043813
1.07288361,0.00044604
1.09672546,0.00035538
1.12056732,0.00037775
1.14440918,0.00028344
1.16825104,0.00002737
1.19209290,0.00021679
1.21593475,0.00035394
1.23977661,0.00035805
1.26361847,0.00023853
1.28746033,0.00021894
1.31130219,0.00055485
1.33514404,0.00041393
1.35898590,0.00018913
1.38282776,0.00011148
1.40666962,0.00011147
1.43051147,0.00010493
1.45435333,0.00028171
1.47819519,0.00051412
1.50203705,0.00060768
1.52587891,0.00040470
1.54972076,0.00063994
1.57356262,0.00081590
1.59740448,0.00048485
1.62124634,0.00015744
1.64508820,0.00025827
1.66893005,0.00029282
1.69277191,0.00024817
1.71661377,0.00057861
1.74045563,0.00102144
1.76429749,0.00079344
1.78813934,0.00033223
1.81198120,0.00032443
1.83582306,0.00037231
1.85966492,0.00033647
1.88350677,0.00029057
1.90734863,0.00031251
1.93119049,0.00033295
1.95503235,0.00020407
1.97887421,0.00029924
2.00271606,0.00039352
2.02655792,0.00031715
2.05039978,0.00036224
2.07424164,0.00051884
2.09808350,0.00055172
2.12192535,0.00018664
2.14576721,0.00062849
2.16960907,0.00079467
2.19345093,0.00049019
2.21729279,0.00013790
2.24113464,0.00027142
2.26497650,0.00048788
2.28881836,0.00048355
2.31266022,0.00027527
2.33650208,0.00060081
2.36034393,0.00073518
2.38418579,0.00043087
2.40802765,0.00014378
2.43186951,0.00011841
2.45571136,0.00012707
2.47955322,0.00007937
2.50339508,0.00017763
2.52723694,0.00031491
2.55107880,0.00020165
2.57492065,0.00017448
2.59876251,0.00029497
2.62260437,0.00022945
2.64644623,0.00013059
2.67028809,0.00007583
2.69412994,0.00037248
2.71797180,0.00045618
2.74181366,0.00030590
2.76565552,0.00019603
2.78949738,0.00005191
2.81333923,0.00016091
2.83718109,0.00027855
2.86102295,0.00043584
2.88486481,0.00044126
2.90870667,0.00034829
2.93254852,0.00041527
2.95639038,0.00055026
2.98023224,0.00062579
3.00407410,0.00054371
3.02791595,0.00048892
3.05175781,0.00045003
3.07559967,0.00024856
3.09944153,0.00021351
3.12328339,0.00026783
3.14712524,0.00026016
3.17096710,0.00027049
3.19480896,0.00018160
3.21865082,0.00034121
3.24249268,0.00017215
3.26633453,0.00013118
3.29017639,0.00026678
3.31401825,0.00065991
3.33786011,0.00052761
3.36170197,0.00035629
3.38554382,0.00052026
3.40938568,0.00057349
3.43322754,0.00049916
3.45706940,0.00048323
3.48091125,0.00040771
3.50475311,0.00027970
3.52859497,0.00017384
3.55243683,0.00015107
3.57627869,0.00021848
3.60012054,0.00026425
3.62396240,0.00021473
3.64780426,0.00024598
3.67164612,0.00043230
3.69548798,0.00028969
3.71932983,0.00004928
3.74317169,0.00021736
3.76701355,0.00011482
3.79085541,0.00021138
3.81469727,0.00037920
3.83853912,0.00031264
3.86238098,0.00012470
3.88622284,0.00047000
3.91006470,0.00083810
3.93390656,0.00062638
3.95774841,0.00023826
3.98159027,0.00013095
4.00543213,0.00009065
4.02927399,0.00023508
4.05311584,0.00029687
4.07695770,0.00018645
4.10079956,0.00018019
4.12464142,0.00018820
4.14848328,0.00045360
4.17232513,0.00038392
4.19616699,0.00033400
4.22000885,0.00022765
4.24385071,0.00043481
4.26769257,0.00049704
4.29153442,0.00024112
4.31537628,0.00033820
4.33921814,0.00064899
4.36306000,0.00057515
4.38690186,0.00018722
4.41074371,0.00010879
4.43458557,0.00033056
4.45842743,0.00045755
4.48226929,0.00034713
4.50611115,0.00010063
4.52995300,0.00021283
4.55379486,0.00026437
4.57763672,0.00030358
4.60147858,0.00040408
4.62532043,0.00031621
4.64916229,0.00022997
4.67300415,0.00074530
4.69684601,0.00079911
4.72068787,0.00030171
4.74452972,0.00012274
4.76837158,0.00019909
4.79221344,0.00033313
4.81605530,0.00033141
4.83989716,0.00036908
4.86373901,0.00044664
4.88758087,0.00035947
4.91142273,0.00035741
4.93526459,0.00038250
4.95910645,0.00024624
4.98294830,0.00011394
5.00679016,0.00004325
5.03063202,0.00015298
5.05447388,0.00044990
5.07831573,0.00044282
5.10215759,0.00029982
5.12599945,0.00011037
5.14984131,0.00002047
5.17368317,0.00013966
5.19752502,0.00041122
5.22136688,0.00058333
5.24520874,0.00032543
5.26905060,0.00025379
5.29289246,0.00019111
5.31673431,0.00028202
5.34057617,0.00029468
5.36441803,0.00038757
5.38825989,0.00036625
5.41210175,0.00035512
5.43594360,0.00042565
5.45978546,0.00022854
5.48362732,0.00039621
5.50746918,0.00033852
5.53131104,0.00024312
5.55515289,0.00049746
5.57899475,0.00061761
5.60283661,0.00030320
5.62667847,0.00016178
5.65052032,0.00025394
5.67436218,0.00013060
5.69820404,0.00012644
5.72204590,0.00018996
5.74588776,0.00009784
5.76972961,0.00032069
5.79357147,0.00046901
5.81741333,0.00057259
5.84125519,0.00059442
5.86509705,0.00025598
5.88893890,0.00011541
5.91278076,0.00032492
5.93662262,0.00036996
5.96046448,0.00040627
5.98430634,0.00025446
6.00814819,0.00033849
6.03199005,0.00002706
6.05583191,0.00016725
6.07967377,0.00023192
6.10351563,0.00017017
6.12735748,0.00019697
6.15119934,0.00050733
6.17504120,0.00064983
6.19888306,0.00060832
6.22272491,0.00036965
6.24656677,0.00031182
6.27040863,0.00011725
6.29425049,0.00034102
6.31809235,0.00044549
6.34193420,0.00053472
6.36577606,0.00040675
6.38961792,0.00031251
6.41345978,0.00034358
6.43730164,0.00020894
6.46114349,0.00015597
6.48498535,0.00006238
6.50882721,0.00036753
6.53266907,0.00066459
6.55651093,0.00058080
6.58035278,0.00046840
6.60419464,0.00042155
6.62803650,0.00037043
6.65187836,0.00028774
6.67572021,0.00015478
6.69956207,0.00013740
6.72340393,0.00020157
6.74724579,0.00029118
6.77108765,0.00016271
6.79492950,0.00012982
6.81877136,0.00024742
6.84261322,0.00011505
6.86645508,0.00024709
6.89029694,0.00039821
6.91413879,0.00021739
6.93798065,0.00008956
6.96182251,0.00006926
6.98566437,0.00009055
7.00950623,0.00011193
7.03334808,0.00009116
7.05718994,0.00011818
7.08103180,0.00018911
7.10487366,0.00036978
7.12871552,0.00058013
7.15255737,0.00051578
7.17639923,0.00033185
7.20024109,0.00024087
7.22408295,0.00023379
7.24792480,0.00022567
7.27176666,0.00018367
7.29560852,0.00015099
7.31945038,0.00000656
7.34329224,0.00027773
7.36713409,0.00048860
7.39097595,0.00056370
7.41481781,0.00026176
7.43865967,0.00037695
7.46250153,0.00070323
7.48634338,0.00043998
7.51018524,0.00007727
7.53402710,0.00015728
7.55786896,0.00019774
7.58171082,0.00022797
7.60555267,0.00022541
7.62939453,0.00028129
7.65323639,0.00031358
7.67707825,0.00020627
7.70092010,0.00012229
7.72476196,0.00017078
7.74860382,0.00038168
7.77244568,0.00035271
7.79628754,0.00037716
7.82012939,0.00028050
7.84397125,0.00015759
7.86781311,0.00012675
7.89165497,0.00029465
7.91549683,0.00024147
7.93933868,0.00008028
7.96318054,0.00011952
7.98702240,0.00050897
8.01086426,0.00075767
8.03470612,0.00056863
8.05854797,0.00037034
8.08238983,0.00052648
8.10623169,0.00059110
8.13007355,0.00037455
8.15391541,0.00014442
8.17775726,0.00018016
8.20159912,0.00042827
8.22544098,0.00044267
8.24928284,0.00033723
8.27312469,0.00034431
8.29696655,0.00032882
8.32080841,0.00039583
8.34465027,0.00059009
8.36849213,0.00049353
8.39233398,0.00010876
8.41617584,0.00056558
8.44001770,0.00058418
8.46385956,0.00038643
8.48770142,0.00036557
8.51154327,0.00051025
8.53538513,0.00030156
8.55922699,0.00027402
8.58306885,0.00031012
8.60691071,0.00041890
8.63075256,0.00053045
8.65459442,0.00045411
8.67843628,0.00016971
8.70227814,0.00034055
8.72612000,0.00026216
8.74996185,0.00015291
8.77380371,0.00028816
8.79764557,0.00020723
8.82148743,0.00041091
8.84532928,0.00043104
8.86917114,0.00049702
8.89301300,0.00038229
8.91685486,0.00028676
8.94069672,0.00041746
8.96453857,0.00040448
8.98838043,0.00042677
9.01222229,0.00048866
9.03606415,0.00047172
9.05990601,0.00059718
9.08374786,0.00067335
9.10758972,0.00073524
9.13143158,0.00076264
9.15527344,0.00058900
9.17911530,0.00022038
9.20295715,0.00055378
9.22679901,0.00073834
9.25064087,0.00053467
9.27448273,0.00022044
9.29832458,0.00039140
9.32216644,0.00018476
9.34600830,0.00033349
9.36985016,0.00059602
9.39369202,0.00064771
9.41753387,0.00034374
9.44137573,0.00008620
9.46521759,0.00013846
9.48905945,0.00042739
9.51290131,0.00051301
9.53674316,0.00037760
9.56058502,0.00016576
9.58442688,0.00025299
9.60826874,0.00025196
9.63211060,0.00029818
9.65595245,0.00050806
9.67979431,0.00032930
9.70363617,0.00040392
9.72747803,0.00056984
9.75131989,0.00043972
9.77516174,0.00038422
9.79900360,0.00036018
9.82284546,0.00021342
9.84668732,0.00011422
9.87052917,0.00008953
9.89437103,0.00009832
9.91821289,0.00013479
9.94205475,0.00026368
9.96589661,0.00013214
9.98973846,0.00017628
10.01358032,0.00014854
10.03742218,0.00004773
10.06126404,0.00005764
10.08510590,0.00005380
10.10894775,0.00022616
10.13278961,0.00047933
10.15663147,0.00051962
10.18047333,0.00037789
10.20431519,0.00034292
10.22815704,0.00046947
10.25199890,0.00043413
10.27584076,0.00037813
10.29968262,0.00053080
10.32352448,0.00082060
10.34736633,0.00087095
10.37120819,0.00039798
10.39505005,0.00025580
10.41889191,0.00023963
10.44273376,0.00015204
10.46657562,0.00015301
10.49041748,0.00027141
10.51425934,0.00024480
10.53810120,0.00015872
10.56194305,0.00021002
10.58578491,0.00021851
10.60962677,0.00030354
10.63346863,0.00026181
10.65731049,0.00012063
10.68115234,0.00054810
10.70499420,0.00059446
10.72883606,0.00024601
10.75267792,0.00035129
10.77651978,0.00056591
10.80036163,0.00055446
10.82420349,0.00032996
10.84804535,0.00032975
10.87188721,0.00057368
10.89572906,0.00047914
10.91957092,0.00018519
10.94341278,0.00009981
10.96725464,0.00019632
10.99109650,0.00018467
11.01493835,0.00025001
11.03878021,0.00055908
11.06262207,0.00049839
11.08646393,0.00025388
11.11030579,0.00019840
11.13414764,0.00010436
11.15798950,0.00009501
11.18183136,0.00025117
11.20567322,0.00010984
11.22951508,0.00036912
11.25335693,0.00035294
11.27719879,0.00034808
11.30104065,0.00039235
11.32488251,0.00029832
11.34872437,0.00021902
11.37256622,0.00029554
11.39640808,0.00027970
11.42024994,0.00013604
11.44409180,0.00036889
11.46793365,0.00044123
11.49177551,0.00024452
11.51561737,0.00012717
11.53945923,0.00036482
11.56330109,0.00042605
11.58714294,0.00020893
11.61098480,0.00018500
11.63482666,0.00026031
11.65866852,0.00022749
11.68251038,0.00033606
11.70635223,0.00033424
11.73019409,0.00053416
11.75403595,0.00027865
11.77787781,0.00007209
11.80171967,0.00031975
11.82556152,0.00066033
11.84940338,0.00076393
11.87324524,0.00062628
11.89708710,0.00049264
11.92092896,0.00040621
11.94477081,0.00029221
11.96861267,0.00011765
11.99245453,0.00029398
12.01629639,0.00047775
12.04013824,0.00041863
12.06398010,0.00040479
12.08782196,0.00027509
12.11166382,0.00013875
12.13550568,0.00018049
12.15934753,0.00032990
12.18318939,0.00057555
12.20703125,0.00046503
12.23087311,0.00052195
12.25471497,0.00066548
12.27855682,0.00048335
12.30239868,0.00046875
12.32624054,0.00025374
12.35008240,0.00009938
12.37392426,0.00025710
12.39776611,0.00036650
12.42160797,0.00045170
12.44544983,0.00031645
12.46929169,0.00036526
12.49313354,0.00019556
12.51697540,0.00026430
12.54081726,0.00054135
12.56465912,0.00062672
12.58850098,0.00052720
12.61234283,0.00044594
12.63618469,0.00048803
12.66002655,0.00073284
12.68386841,0.00088402
12.70771027,0.00061789
12.73155212,0.00017362
12.75539398,0.00008739
12.77923584,0.00008751
12.80307770,0.00019983
12.82691956,0.00014792
12.85076141,0.00001245
12.87460327,0.00015300
12.89844513,0.00018305
12.92228699,0.00028075
12.94612885,0.00043030
12.96997070,0.00033502
12.99381256,0.00010075
13.01765442,0.00023731
13.04149628,0.00027972
13.06533813,0.00020917
13.08917999,0.00018835
13.11302185,0.00022597
13.13686371,0.00035786
13.16070557,0.00048833
13.18454742,0.00047336
13.20838928,0.00030202
13.23223114,0.00012303
13.25607300,0.00028451
13.27991486,0.00015942
13.30375671,0.00014894
13.32759857,0.00024329
13.35144043,0.00030998
13.37528229,0.00063869
13.39912415,0.00089788
13.42296600,0.00058560
13.44680786,0.00034417
13.47064972,0.00016421
13.49449158,0.00012431
13.51833344,0.00017264
13.54217529,0.00010158
13.56601715,0.00001398
13.58985901,0.00001034
13.61370087,0.00020421
13.63754272,0.00045557
13.66138458,0.00041269
13.68522644,0.00011844
13.70906830,0.00021365
13.73291016,0.00033584
13.75675201,0.00023058
13.78059387,0.00023913
13.80443573,0.00004781
13.82827759,0.00023038
13.85211945,0.00041646
