Частота,Канал A
(kГц),(В)

0.00000000,0.08080249
0.02384186,0.03528414
0.04768372,0.00613858
0.07152557,0.00026293
0.09536743,0.00031049
0.11920929,0.00016165
0.14305115,0.00033015
0.16689301,0.00035370
0.19073486,0.00038467
0.21457672,0.00045620
0.23841858,0.00023126
0.26226044,0.00012204
0.28610229,0.00012482
0.30994415,0.00003808
0.33378601,0.00017021
0.35762787,0.00009376
0.38146973,0.00026295
0.40531158,0.00038441
0.42915344,0.00031996
0.45299530,0.00011684
0.47683716,0.00048169
0.50067902,0.00068869
0.52452087,0.00037739
0.54836273,0.00013483
0.57220459,0.00021433
0.59604645,0.00025927
0.61988831,0.00023305
0.64373016,0.00011377
0.66757202,0.00036334
0.69141388,0.00036413
0.71525574,0.00015319
0.73909760,0.00040040
0.76293945,0.00045444
0.78678131,0.00019897
0.81062317,0.00036393
0.83446503,0.00043268
0.85830688,0.00016986
0.88214874,0.00005091
0.90599060,0.00036654
0.92983246,0.00035651
0.95367432,0.00012501
0.97751617,0.00027490
1.00135803,0.00037186
1.02519989,0.00023014
1.04904175,0.00010786
1.07288361,0.00025692
1.09672546,0.00016369
1.12056732,0.00059944
1.14440918,0.00073423
1.16825104,0.00034684
1.19209290,0.00053143
1.21593475,0.00073859
1.23977661,0.00018927
1.26361847,0.00034865
1.28746033,0.00041594
1.31130219,0.00041390
1.33514404,0.00033896
1.35898590,0.00042574
1.38282776,0.00053519
1.40666962,0.00047726
1.43051147,0.00038918
1.45435333,0.00027121
1.47819519,0.00040766
1.50203705,0.00041573
1.52587891,0.00014575
1.54972076,0.00030300
1.57356262,0.00039845
1.59740448,0.00021756
1.62124634,0.00022211
1.64508820,0.00018941
1.66893005,0.00005822
1.69277191,0.00023192
1.71661377,0.00024194
1.74045563,0.00021145
1.76429749,0.00024613
1.78813934,0.00023700
1.81198120,0.00028909
1.83582306,0.00017108
1.85966492,0.00019132
1.88350677,0.00015373
1.90734863,0.00046993
1.93119049,0.00048721
1.95503235,0.00019494
1.97887421,0.00003453
2.00271606,0.00016307
2.02655792,0.00011078
2.05039978,0.00026647
2.07424164,0.00020197
2.09808350,0.00021549
2.12192535,0.00015466
2.14576721,0.00026385
2.16960907,0.00032392
2.19345093,0.00023451
2.21729279,0.00014439
2.24113464,0.00019426
2.26497650,0.00030014
2.28881836,0.00042625
2.31266022,0.00027161
2.33650208,0.00004322
2.36034393,0.00028732
2.38418579,0.00037013
2.40802765,0.00018461
2.43186951,0.00023444
2.45571136,0.00010144
2.47955322,0.00030383
2.50339508,0.00033052
2.52723694,0.00011051
2.55107880,0.00026666
2.57492065,0.00016315
2.59876251,0.00035433
2.62260437,0.00014201
2.64644623,0.00037295
2.67028809,0.00057555
2.69412994,0.00057244
2.71797180,0.00031528
2.74181366,0.00011881
2.76565552,0.00012243
2.78949738,0.00001232
2.81333923,0.00020877
2.83718109,0.00036234
2.86102295,0.00028281
2.88486481,0.00021339
2.90870667,0.00020969
2.93254852,0.00033371
2.95639038,0.00023477
2.98023224,0.00016029
3.00407410,0.00002661
3.02791595,0.00029320
3.05175781,0.00034867
3.07559967,0.00009373
3.09944153,0.00005645
3.12328339,0.00027626
3.14712524,0.00031646
3.17096710,0.00042923
3.19480896,0.00050269
3.21865082,0.00021298
3.24249268,0.00040406
3.26633453,0.00044540
3.29017639,0.00014990
3.31401825,0.00036311
3.33786011,0.00062917
3.36170197,0.00050261
3.38554382,0.00009174
3.40938568,0.00026292
3.43322754,0.00036595
3.45706940,0.00031185
3.48091125,0.00035156
3.50475311,0.00046119
3.52859497,0.00026672
3.55243683,0.00031691
3.57627869,0.00049308
3.60012054,0.00057430
3.62396240,0.00067181
3.64780426,0.00050235
3.67164612,0.00034997
3.69548798,0.00033994
3.71932983,0.00049625
3.74317169,0.00050388
3.76701355,0.00032276
3.79085541,0.00042180
3.81469727,0.00060374
3.83853912,0.00043962
3.86238098,0.00031962
3.88622284,0.00020126
3.91006470,0.00062562
3.93390656,0.00046597
3.95774841,0.00024863
3.98159027,0.00036337
4.00543213,0.00039879
4.02927399,0.00027164
4.05311584,0.00042936
4.07695770,0.00055718
4.10079956,0.00027778
4.12464142,0.00032663
4.14848328,0.00057275
4.17232513,0.00049098
4.19616699,0.00013377
4.22000885,0.00039305
4.24385071,0.00038424
4.26769257,0.00034691
4.29153442,0.00027327
4.31537628,0.00019572
4.33921814,0.00024725
4.36306000,0.00015445
4.38690186,0.00028596
4.41074371,0.00032830
4.43458557,0.00049601
4.45842743,0.00057552
4.48226929,0.00045412
4.50611115,0.00038908
4.52995300,0.00028236
4.55379486,0.00013286
4.57763672,0.00020026
4.60147858,0.00019213
4.62532043,0.00041269
4.64916229,0.00033976
4.67300415,0.00022322
4.69684601,0.00031224
4.72068787,0.00042342
4.74452972,0.00058117
4.76837158,0.00042510
4.79221344,0.00018327
4.81605530,0.00033278
4.83989716,0.00021856
4.86373901,0.00026018
4.88758087,0.00041988
4.91142273,0.00036220
4.93526459,0.00016081
4.95910645,0.00023211
4.98294830,0.00027309
5.00679016,0.00009609
5.03063202,0.00009275
5.05447388,0.00018515
5.07831573,0.00003049
5.10215759,0.00020289
5.12599945,0.00030809
5.14984131,0.00006119
5.17368317,0.00030287
5.19752502,0.00037763
5.22136688,0.00040387
5.24520874,0.00029669
5.26905060,0.00039901
5.29289246,0.00048256
5.31673431,0.00041139
5.34057617,0.00019138
5.36441803,0.00022720
5.38825989,0.00015265
5.41210175,0.00018295
5.43594360,0.00025910
5.45978546,0.00021328
5.48362732,0.00020225
5.50746918,0.00005159
5.53131104,0.00011556
5.55515289,0.00030575
5.57899475,0.00039356
5.60283661,0.00013725
5.62667847,0.00008612
5.65052032,0.00015240
5.67436218,0.00010520
5.69820404,0.00015215
5.72204590,0.00025663
5.74588776,0.00012609
5.76972961,0.00004116
5.79357147,0.00013552
5.81741333,0.00016503
5.84125519,0.00023481
5.86509705,0.00037587
5.88893890,0.00030712
5.91278076,0.00011314
5.93662262,0.00019143
5.96046448,0.00040441
5.98430634,0.00068367
6.00814819,0.00062775
6.03199005,0.00027525
6.05583191,0.00025327
6.07967377,0.00051558
6.10351563,0.00048657
6.12735748,0.00020532
6.15119934,0.00027010
6.17504120,0.00037635
6.19888306,0.00017725
6.22272491,0.00014674
6.24656677,0.00005478
6.27040863,0.00005997
6.29425049,0.00022269
6.31809235,0.00044567
6.34193420,0.00050746
6.36577606,0.00023551
6.38961792,0.00017374
6.41345978,0.00024396
6.43730164,0.00039954
6.46114349,0.00026136
6.48498535,0.00032183
6.50882721,0.00058090
6.53266907,0.00060051
6.55651093,0.00050050
6.58035278,0.00032319
6.60419464,0.00019793
6.62803650,0.00033616
6.65187836,0.00040967
6.67572021,0.00021559
6.69956207,0.00011601
6.72340393,0.00032626
6.74724579,0.00045746
6.77108765,0.00065933
6.79492950,0.00048232
6.81877136,0.00054966
6.84261322,0.00077078
6.86645508,0.00041988
6.89029694,0.00033281
6.91413879,0.00062267
6.93798065,0.00057793
6.96182251,0.00048533
6.98566437,0.00039287
7.00950623,0.00027666
7.03334808,0.00022109
7.05718994,0.00034887
7.08103180,0.00029439
7.10487366,0.00025468
7.12871552,0.00053415
7.15255737,0.00047525
7.17639923,0.00053053
7.20024109,0.00051169
7.22408295,0.00025431
7.24792480,0.00025524
7.27176666,0.00034874
7.29560852,0.00032627
7.31945038,0.00011184
7.34329224,0.00038131
7.36713409,0.00028892
7.39097595,0.00011567
7.41481781,0.00020325
7.43865967,0.00027050
7.46250153,0.00020591
7.48634338,0.00023032
7.51018524,0.00011739
7.53402710,0.00021911
7.55786896,0.00038961
7.58171082,0.00042413
7.60555267,0.00029029
7.62939453,0.00023332
7.65323639,0.00026720
7.67707825,0.00022046
7.70092010,0.00019364
7.72476196,0.00053105
7.74860382,0.00048249
7.77244568,0.00020869
7.79628754,0.00018652
7.82012939,0.00037670
7.84397125,0.00038750
7.86781311,0.00034507
7.89165497,0.00015311
7.91549683,0.00012622
7.93933868,0.00040914
7.96318054,0.00058527
7.98702240,0.00061674
8.01086426,0.00044336
8.03470612,0.00012837
8.05854797,0.00026910
8.08238983,0.00061639
8.10623169,0.00076399
8.13007355,0.00075302
8.15391541,0.00071318
8.17775726,0.00064372
8.20159912,0.00021636
8.22544098,0.00026303
8.24928284,0.00043546
8.27312469,0.00042980
8.29696655,0.00027871
8.32080841,0.00020966
8.34465027,0.00032424
8.36849213,0.00020806
8.39233398,0.00030048
8.41617584,0.00014900
8.44001770,0.00015324
8.46385956,0.00032231
8.48770142,0.00042468
8.51154327,0.00033446
8.53538513,0.00020057
8.55922699,0.00032680
8.58306885,0.00057740
8.60691071,0.00073732
8.63075256,0.00048926
8.65459442,0.00008587
8.67843628,0.00026060
8.70227814,0.00028807
8.72612000,0.00010212
8.74996185,0.00017340
8.77380371,0.00040801
8.79764557,0.00047364
8.82148743,0.00047147
8.84532928,0.00058419
8.86917114,0.00045964
8.89301300,0.00020250
8.91685486,0.00004605
8.94069672,0.00009630
8.96453857,0.00037807
8.98838043,0.00056192
9.01222229,0.00026197
9.03606415,0.00014813
9.05990601,0.00008973
9.08374786,0.00034098
9.10758972,0.00028383
9.13143158,0.00007246
9.15527344,0.00025057
9.17911530,0.00022165
9.20295715,0.00028739
9.22679901,0.00031316
9.25064087,0.00027375
9.27448273,0.00036933
9.29832458,0.00032583
9.32216644,0.00022265
9.34600830,0.00011573
9.36985016,0.00014785
9.39369202,0.00033221
9.41753387,0.00019211
9.44137573,0.00002774
9.46521759,0.00013579
9.48905945,0.00032713
9.51290131,0.00028021
9.53674316,0.00034070
9.56058502,0.00054744
9.58442688,0.00059399
9.60826874,0.00047067
9.63211060,0.00028972
9.65595245,0.00006817
9.67979431,0.00014884
9.70363617,0.00016502
9.72747803,0.00021157
9.75131989,0.00034440
9.77516174,0.00016326
9.79900360,0.00028605
9.82284546,0.00031086
9.84668732,0.00010958
9.87052917,0.00032662
9.89437103,0.00088462
9.91821289,0.00098811
9.94205475,0.00034206
9.96589661,0.00025432
9.98973846,0.00038380
10.01358032,0.00015817
10.03742218,0.00013721
10.06126404,0.00027044
10.08510590,0.00007142
10.10894775,0.00012347
10.13278961,0.00022533
10.15663147,0.00017246
10.18047333,0.00023276
10.20431519,0.00013019
10.22815704,0.00035805
10.25199890,0.00060214
10.27584076,0.00064214
10.29968262,0.00035743
10.32352448,0.00026011
10.34736633,0.00025488
10.37120819,0.00012796
10.39505005,0.00020505
10.41889191,0.00023990
10.44273376,0.00048713
10.46657562,0.00058930
10.49041748,0.00036498
10.51425934,0.00016596
10.53810120,0.00021132
10.56194305,0.00014272
10.58578491,0.00014218
10.60962677,0.00030401
10.63346863,0.00045439
10.65731049,0.00041277
10.68115234,0.00026747
10.70499420,0.00014648
10.72883606,0.00008046
10.75267792,0.00018862
10.77651978,0.00042698
10.80036163,0.00029896
10.82420349,0.00007782
10.84804535,0.00014909
10.87188721,0.00014122
10.89572906,0.00021971
10.91957092,0.00054314
10.94341278,0.00068047
10.96725464,0.00065362
10.99109650,0.00044677
11.01493835,0.00022587
11.03878021,0.00024273
11.06262207,0.00037820
11.08646393,0.00038966
11.11030579,0.00038129
11.13414764,0.00030172
11.15798950,0.00014593
11.18183136,0.00002398
11.20567322,0.00029187
11.22951508,0.00060127
11.25335693,0.00048442
11.27719879,0.00012261
11.30104065,0.00060408
11.32488251,0.00055742
11.34872437,0.00035539
11.37256622,0.00035233
11.39640808,0.00024745
11.42024994,0.00004014
11.44409180,0.00015681
11.46793365,0.00075913
11.49177551,0.00093883
11.51561737,0.00054944
11.53945923,0.00034430
11.56330109,0.00056932
11.58714294,0.00031245
11.61098480,0.00024310
11.63482666,0.00067764
11.65866852,0.00077748
11.68251038,0.00042529
11.70635223,0.00017266
11.73019409,0.00018824
11.75403595,0.00013280
11.77787781,0.00017645
11.80171967,0.00020960
11.82556152,0.00017946
11.84940338,0.00024162
11.87324524,0.00012779
11.89708710,0.00019075
11.92092896,0.00045525
11.94477081,0.00037033
11.96861267,0.00024199
11.99245453,0.00054982
12.01629639,0.00070722
12.04013824,0.00045670
12.06398010,0.00019622
12.08782196,0.00034826
12.11166382,0.00032502
12.13550568,0.00018408
12.15934753,0.00025462
12.18318939,0.00048371
12.20703125,0.00051823
12.23087311,0.00053940
12.25471497,0.00046940
12.27855682,0.00004840
12.30239868,0.00014966
12.32624054,0.00034493
12.35008240,0.00078420
12.37392426,0.00073887
12.39776611,0.00046543
12.42160797,0.00025549
12.44544983,0.00015555
12.46929169,0.00013322
12.49313354,0.00028951
12.51697540,0.00037352
12.54081726,0.00029289
12.56465912,0.00026620
12.58850098,0.00055689
12.61234283,0.00047744
12.63618469,0.00032065
12.66002655,0.00036362
12.68386841,0.00068486
12.70771027,0.00064355
12.73155212,0.00032872
12.75539398,0.00021894
12.77923584,0.00028678
12.80307770,0.00022018
12.82691956,0.00022566
12.85076141,0.00023911
12.87460327,0.00050983
12.89844513,0.00053559
12.92228699,0.00026185
12.94612885,0.00034201
12.96997070,0.00047121
12.99381256,0.00038716
13.01765442,0.00043997
13.04149628,0.00054619
13.06533813,0.00036250
13.08917999,0.00035348
13.11302185,0.00035108
13.13686371,0.00031579
13.16070557,0.00033041
13.18454742,0.00022348
13.20838928,0.00042169
13.23223114,0.00066064
13.25607300,0.00055219
13.27991486,0.00034469
13.30375671,0.00038960
13.32759857,0.00043268
13.35144043,0.00027646
13.37528229,0.00027495
13.39912415,0.00034986
13.42296600,0.00022435
13.44680786,0.00036412
13.47064972,0.00057255
13.49449158,0.00041312
13.51833344,0.00005941
13.54217529,0.00024919
13.56601715,0.00031073
13.58985901,0.00043846
13.61370087,0.00033765
13.63754272,0.00011298
13.66138458,0.00020678
13.68522644,0.00021380
13.70906830,0.00031601
13.73291016,0.00016400
13.75675201,0.00016503
13.78059387,0.00025994
13.80443573,0.00012826
13.82827759,0.00034045
13.85211945,0.00038555
