Частота,Канал A
(kГц),(В)

0.00000000,8.07709500
0.00298023,3.51202700
0.00596046,0.60332070
0.00894070,0.00042584
0.01192093,0.00110428
0.01490116,0.00147768
0.01788139,0.00109646
0.02086163,0.00051362
0.02384186,0.00071691
0.02682209,0.00044928
0.02980232,0.00048267
0.03278255,0.00027762
0.03576279,0.00035220
0.03874302,0.00040636
0.04172325,0.00010136
0.04470348,0.00014885
0.04768372,0.00030809
0.05066395,0.00035958
0.05364418,0.00027906
0.05662441,0.00044224
0.05960464,0.00012079
0.06258488,0.00014536
0.06556511,0.00031660
0.06854534,0.00041211
0.07152557,0.00048665
0.07450581,0.00037037
0.07748604,0.00056486
0.08046627,0.00034670
0.08344650,0.00019473
0.08642673,0.00085115
0.08940697,0.00027521
0.09238720,0.00443809
0.09536743,0.10833370
0.09834766,0.33471520
0.10132790,0.35264770
0.10430813,0.13032410
0.10728836,0.00856237
0.11026859,0.00043611
0.11324883,0.00045940
0.11622906,0.00031334
0.11920929,0.00026692
0.12218952,0.00045899
0.12516975,0.00018953
0.12814999,0.00059745
0.13113022,0.00067902
0.13411045,0.00038143
0.13709068,0.00047683
0.14007092,0.00038141
0.14305115,0.00028797
0.14603138,0.00024875
0.14901161,0.00034318
0.15199184,0.00046039
0.15497208,0.00038217
0.15795231,0.00016964
0.16093254,0.00014303
0.16391277,0.00030418
0.16689301,0.00043571
0.16987324,0.00017722
0.17285347,0.00014451
0.17583370,0.00017406
0.17881393,0.00021674
0.18179417,0.00024216
0.18477440,0.00020820
0.18775463,0.00028389
0.19073486,0.00027054
0.19371510,0.02958895
0.19669533,0.20732750
0.19967556,0.38251060
0.20265579,0.25792530
0.20563602,0.05237814
0.20861626,0.00023333
0.21159649,0.00023487
0.21457672,0.00025588
0.21755695,0.00038316
0.22053719,0.00009830
0.22351742,0.00021788
0.22649765,0.00046641
0.22947788,0.00031939
0.23245811,0.00024971
0.23543835,0.00008793
0.23841858,0.00015272
0.24139881,0.00004513
0.24437904,0.00003001
0.24735928,0.00025819
0.25033951,0.00043731
0.25331974,0.00024768
0.25629997,0.00030207
0.25928020,0.00014868
0.26226044,0.00021362
0.26524067,0.00041748
0.26822090,0.00046410
0.27120113,0.00022815
0.27418137,0.00026504
0.27716160,0.00046585
0.28014183,0.00017526
0.28312206,0.00038011
0.28610229,0.00034684
0.28908253,0.00068333
0.29206276,0.00268678
0.29504299,0.08717045
0.29802322,0.30664200
0.30100346,0.35830410
0.30398369,0.14953660
0.30696392,0.01271827
0.30994415,0.00026036
0.31292439,0.00081313
0.31590462,0.00015862
0.31888485,0.00057865
0.32186508,0.00046502
0.32484531,0.00038875
0.32782555,0.00025156
0.33080578,0.00034545
0.33378601,0.00040877
0.33676624,0.00049820
0.33974648,0.00023191
0.34272671,0.00032575
0.34570694,0.00050800
0.34868717,0.00040313
0.35166740,0.00017884
0.35464764,0.00021965
0.35762787,0.00025699
0.36060810,0.00020035
0.36358833,0.00055016
0.36656857,0.00043510
0.36954880,0.00043658
0.37252903,0.00044916
0.37550926,0.00017754
0.37848949,0.00016329
0.38146973,0.00024137
0.38444996,0.00054100
0.38743019,0.00020993
0.39041042,0.00028310
0.39339066,0.02022956
0.39637089,0.17541210
0.39935112,0.36273300
0.40233135,0.27178240
0.40531158,0.06432623
0.40829182,0.00110176
0.41127205,0.00054924
0.41425228,0.00013874
0.41723251,0.00026198
0.42021275,0.00045815
0.42319298,0.00054033
0.42617321,0.00053695
0.42915344,0.00002530
0.43213367,0.00024541
0.43511391,0.00041156
0.43809414,0.00035515
0.44107437,0.00019131
0.44405460,0.00021185
0.44703484,0.00019737
0.45001507,0.00024349
0.45299530,0.00041202
0.45597553,0.00033697
0.45895576,0.00031505
0.46193600,0.00023837
0.46491623,0.00013388
0.46789646,0.00022923
0.47087669,0.00038266
0.47385693,0.00036656
0.47683716,0.00032954
0.47981739,0.00047270
0.48279762,0.00025286
0.48577785,0.00022583
0.48875809,0.00055157
0.49173832,0.00100296
0.49471855,0.06650589
0.49769878,0.27083700
0.50067902,0.35154040
0.50365925,0.16514100
0.50663948,0.01796356
0.50961971,0.00021747
0.51259995,0.00044477
0.51558018,0.00058823
0.51856041,0.00067707
0.52154064,0.00046375
0.52452087,0.00047507
0.52750111,0.00038935
0.53048134,0.00027717
0.53346157,0.00039509
0.53644180,0.00061623
0.53942204,0.00063099
0.54240227,0.00053864
0.54538250,0.00039306
0.54836273,0.00026759
0.55134296,0.00020536
0.55432320,0.00024658
0.55730343,0.00014923
0.56028366,0.00018867
0.56326389,0.00014230
0.56624413,0.00037659
0.56922436,0.00056455
0.57220459,0.00048048
0.57518482,0.00036557
0.57816505,0.00072394
0.58114529,0.00079011
0.58412552,0.00027146
0.58710575,0.00061834
0.59008598,0.00008038
0.59306622,0.01339894
0.59604645,0.14396110
0.59902668,0.33350040
0.60200691,0.27767050
0.60498714,0.07642508
0.60796738,0.00266568
0.61094761,0.00115539
0.61392784,0.00037175
0.61690807,0.00072235
0.61988831,0.00030549
0.62286854,0.00048614
0.62584877,0.00034794
0.62882900,0.00027542
0.63180923,0.00012383
0.63478947,0.00038395
0.63776970,0.00023978
0.64074993,0.00032556
0.64373016,0.00048924
0.64671040,0.00046101
0.64969063,0.00022039
0.65267086,0.00027443
0.65565109,0.00032263
0.65863132,0.00033853
0.66161156,0.00023941
0.66459179,0.00005054
0.66757202,0.00019476
0.67055225,0.00029074
0.67353249,0.00035082
0.67651272,0.00047930
0.67949295,0.00037419
0.68247318,0.00037848
0.68545341,0.00011366
0.68843365,0.00053590
0.69141388,0.00076327
0.69439411,0.04934081
0.69737434,0.23145850
0.70035458,0.33344630
0.70333481,0.17539340
0.70631504,0.02376532
0.70929527,0.00013959
0.71227551,0.00032553
0.71525574,0.00014656
0.71823597,0.00019856
0.72121620,0.00039670
0.72419643,0.00052930
0.72717667,0.00031530
0.73015690,0.00044089
0.73313713,0.00054961
0.73611736,0.00061445
0.73909760,0.00044672
0.74207783,0.00011836
0.74505806,0.00014670
0.74803829,0.00049111
0.75101852,0.00062349
0.75399876,0.00050644
0.75697899,0.00038615
0.75995922,0.00040073
0.76293945,0.00038792
0.76591969,0.00036963
0.76889992,0.00030665
0.77188015,0.00001017
0.77486038,0.00046708
0.77784061,0.00069399
0.78082085,0.00054193
0.78380108,0.00037540
0.78678131,0.00012955
0.78976154,0.00083236
0.79274178,0.00822737
0.79572201,0.11262030
0.79870224,0.29508680
0.80168247,0.27283680
0.80466270,0.08593825
0.80764294,0.00388502
0.81062317,0.00045368
0.81360340,0.00038876
0.81658363,0.00021348
0.81956387,0.00040726
0.82254410,0.00028714
0.82552433,0.00007964
0.82850456,0.00055611
0.83148479,0.00070939
0.83446503,0.00055491
0.83744526,0.00037811
0.84042549,0.00033361
0.84340572,0.00048809
0.84638596,0.00069735
0.84936619,0.00053479
0.85234642,0.00043471
0.85532665,0.00063211
0.85830688,0.00029392
0.86128712,0.00046869
0.86426735,0.00040283
0.86724758,0.00018586
0.87022781,0.00036489
0.87320805,0.00023473
0.87618828,0.00018050
0.87916851,0.00004186
0.88214874,0.00042693
0.88512897,0.00037875
0.88810921,0.00023784
0.89108944,0.00043832
0.89406967,0.03407165
0.89704990,0.18994700
0.90003014,0.30474000
0.90301037,0.17907970
0.90599060,0.02943337
0.90897083,0.00015792
0.91195107,0.00019340
0.91493130,0.00037339
0.91791153,0.00029394
0.92089176,0.00017539
0.92387199,0.00020328
0.92685223,0.00044433
0.92983246,0.00044524
0.93281269,0.00021694
0.93579292,0.00021854
0.93877316,0.00037065
0.94175339,0.00026558
0.94473362,0.00011871
0.94771385,0.00026263
0.95069408,0.00030821
0.95367432,0.00013272
0.95665455,0.00022637
0.95963478,0.00025116
0.96261501,0.00008325
0.96559525,0.00026973
0.96857548,0.00030999
0.97155571,0.00024699
0.97453594,0.00027189
0.97751617,0.00042402
0.98049641,0.00034734
0.98347664,0.00071381
0.98645687,0.00027535
0.98943710,0.00057135
0.99241734,0.00470584
0.99539757,0.08547017
0.99837780,0.25236400
1.00135803,0.25804240
1.00433826,0.09199926
1.00731850,0.00529130
1.01029873,0.00015379
1.01327896,0.00070989
1.01625919,0.00019335
1.01923943,0.00012328
1.02221966,0.00009123
1.02519989,0.00007576
1.02818012,0.00018548
1.03116035,0.00021326
1.03414059,0.00028703
1.03712082,0.00028239
1.04010105,0.00020650
1.04308128,0.00039061
1.04606152,0.00065487
1.04904175,0.00068402
1.05202198,0.00045465
1.05500221,0.00025935
1.05798244,0.00043352
1.06096268,0.00037582
1.06394291,0.00029304
1.06692314,0.00022100
1.06990337,0.00031014
1.07288361,0.00048571
1.07586384,0.00026180
1.07884407,0.00046368
1.08182430,0.00069613
1.08480453,0.00066208
1.08778477,0.00042824
1.09076500,0.00020638
1.09374523,0.02249135
1.09672546,0.15057290
1.09970570,0.26992730
1.10268593,0.17683510
1.10566616,0.03417316
1.10864639,0.00025577
1.11162663,0.00018045
1.11460686,0.00032170
1.11758709,0.00034935
1.12056732,0.00040262
1.12354755,0.00040222
1.12652779,0.00064278
1.12950802,0.00071606
1.13248825,0.00071912
1.13546848,0.00056511
1.13844872,0.00031866
1.14142895,0.00019610
1.14440918,0.00030622
1.14738941,0.00047671
1.15036964,0.00035794
1.15334988,0.00020024
1.15633011,0.00016810
1.15931034,0.00027548
1.16229057,0.00015880
1.16527081,0.00012863
1.16825104,0.00025130
1.17123127,0.00026841
1.17421150,0.00007625
1.17719173,0.00041708
1.18017197,0.00039971
1.18315220,0.00011696
1.18613243,0.00038374
1.18911266,0.00024726
1.19209290,0.00224798
1.19507313,0.06123315
1.19805336,0.20735730
1.20103359,0.23553310
1.20401382,0.09498759
1.20699406,0.00743452
1.20997429,0.00026749
1.21295452,0.00013247
1.21593475,0.00023089
1.21891499,0.00031306
1.22189522,0.00018696
1.22487545,0.00055292
1.22785568,0.00073767
1.23083591,0.00033674
1.23381615,0.00016549
1.23679638,0.00017778
1.23977661,0.00030243
1.24275684,0.00027447
1.24573708,0.00027288
1.24871731,0.00023630
1.25169754,0.00017208
1.25467777,0.00013234
1.25765800,0.00013079
1.26063824,0.00015743
1.26361847,0.00016276
1.26659870,0.00023397
1.26957893,0.00017687
1.27255917,0.00016855
1.27553940,0.00018280
1.27851963,0.00005870
1.28149986,0.00020028
1.28448009,0.00006971
1.28746033,0.00010038
1.29044056,0.00037418
1.29342079,0.01425562
1.29640102,0.11465080
1.29938126,0.22991270
1.30236149,0.16784560
1.30534172,0.03847010
1.30832195,0.00050549
1.31130219,0.00055543
1.31428242,0.00079384
1.31726265,0.00047055
1.32024288,0.00048592
1.32322311,0.00056957
1.32620335,0.00020657
1.32918358,0.00012078
1.33216381,0.00021398
1.33514404,0.00024542
1.33812428,0.00039504
1.34110451,0.00034506
1.34408474,0.00009424
1.34706497,0.00009246
1.35004520,0.00008833
1.35302544,0.00021161
1.35600567,0.00047663
1.35898590,0.00040421
1.36196613,0.00023687
1.36494637,0.00032153
1.36792660,0.00037881
1.37090683,0.00030363
1.37388706,0.00016602
1.37686729,0.00009193
1.37984753,0.00040380
1.38282776,0.00011963
1.38580799,0.00036138
1.38878822,0.00005040
1.39176846,0.00071288
1.39474869,0.04208996
1.39772892,0.16472700
1.40070915,0.20767600
1.40368938,0.09429939
1.40666962,0.00960136
1.40964985,0.00031614
1.41263008,0.00053959
1.41561031,0.00050632
1.41859055,0.00031933
1.42157078,0.00015995
1.42455101,0.00029015
1.42753124,0.00082246
1.43051147,0.00112156
1.43349171,0.00073217
1.43647194,0.00022625
1.43945217,0.00035031
1.44243240,0.00053452
1.44541264,0.00038343
1.44839287,0.00036076
1.45137310,0.00025610
1.45435333,0.00013913
1.45733356,0.00014863
1.46031380,0.00036530
1.46329403,0.00053865
1.46627426,0.00037155
1.46925449,0.00021307
1.47223473,0.00053308
1.47521496,0.00036994
1.47819519,0.00027352
1.48117542,0.00007199
1.48415565,0.00028004
1.48713589,0.00034395
1.49011612,0.00046129
1.49309635,0.00875915
1.49607658,0.08454710
1.49905682,0.18951820
1.50203705,0.15323210
1.50501728,0.04021860
1.50799751,0.00083615
1.51097775,0.00027546
1.51395798,0.00023433
1.51693821,0.00011684
1.51991844,0.00034792
1.52289867,0.00033508
1.52587891,0.00013931
1.52885914,0.00033347
1.53183937,0.00048600
1.53481960,0.00044700
1.53779984,0.00044469
1.54078007,0.00038580
1.54376030,0.00020430
1.54674053,0.00014317
1.54972076,0.00035489
1.55270100,0.00046114
1.55568123,0.00024286
1.55866146,0.00032785
1.56164169,0.00059641
1.56462193,0.00065287
1.56760216,0.00039273
1.57058239,0.00028767
1.57356262,0.00020040
1.57654285,0.00003489
1.57952309,0.00012437
1.58250332,0.00067860
1.58548355,0.00077111
1.58846378,0.00082936
1.59144402,0.00073159
1.59442425,0.02786112
1.59740448,0.12594210
1.60038471,0.17663910
1.60336494,0.09015118
1.60634518,0.01164016
1.60932541,0.00042855
1.61230564,0.00031718
1.61528587,0.00041523
1.61826611,0.00051685
1.62124634,0.00036528
1.62422657,0.00039956
1.62720680,0.00049492
1.63018703,0.00046114
1.63316727,0.00028386
1.63614750,0.00038682
1.63912773,0.00039544
1.64210796,0.00050011
1.64508820,0.00057818
1.64806843,0.00038611
1.65104866,0.00024319
1.65402889,0.00016576
1.65700912,0.00006430
1.65998936,0.00018822
1.66296959,0.00024694
1.66594982,0.00010504
1.66893005,0.00031645
1.67191029,0.00043543
1.67489052,0.00041674
1.67787075,0.00026310
1.68085098,0.00033077
1.68383121,0.00059819
1.68681145,0.00024866
1.68979168,0.00025276
1.69277191,0.00422810
1.69575214,0.05892918
1.69873238,0.15028690
1.70171261,0.13542830
1.70469284,0.04145154
1.70767307,0.00184029
1.71065331,0.00014469
1.71363354,0.00075387
1.71661377,0.00050222
1.71959400,0.00045045
1.72257423,0.00008669
1.72555447,0.00015073
1.72853470,0.00016826
1.73151493,0.00009523
