Частота,Канал A
(kГц),(В)

0.00000000,0.08559014
0.02384186,0.03736953
0.04768372,0.00667042
0.07152557,0.00021184
0.09536743,0.00016529
0.11920929,0.00010807
0.14305115,0.00016307
0.16689301,0.00012154
0.19073486,0.00007447
0.21457672,0.00003003
0.23841858,0.00013084
0.26226044,0.00028784
0.28610229,0.00108069
0.30994415,0.00258599
0.33378601,0.00253515
0.35762787,0.00096194
0.38146973,0.00022613
0.40531158,0.00021925
0.42915344,0.00012547
0.45299530,0.00004192
0.47683716,0.00002147
0.50067902,0.00001233
0.52452087,0.00001458
0.54836273,0.00003611
0.57220459,0.00013129
0.59604645,0.00022853
0.61988831,0.00021354
0.64373016,0.00092577
0.66757202,0.00243420
0.69141388,0.00238745
0.71525574,0.00096372
0.73909760,0.00026951
0.76293945,0.00014757
0.78678131,0.00005657
0.81062317,0.00008562
0.83446503,0.00012433
0.85830688,0.00014566
0.88214874,0.00010093
0.90599060,0.00016010
0.92983246,0.00022305
0.95367432,0.00146555
0.97751617,0.00783829
1.00135803,0.01229362
1.02519989,0.00702053
1.04904175,0.00107024
1.07288361,0.00017931
1.09672546,0.00013747
1.12056732,0.00013307
1.14440918,0.00016632
1.16825104,0.00012529
1.19209290,0.00005083
1.21593475,0.00001166
1.23977661,0.00011267
1.26361847,0.00029417
1.28746033,0.00111563
1.31130219,0.00253734
1.33514404,0.00239918
1.35898590,0.00093986
1.38282776,0.00026158
1.40666962,0.00019927
1.43051147,0.00011719
1.45435333,0.00005026
1.47819519,0.00002956
1.50203705,0.00000911
1.52587891,0.00000940
1.54972076,0.00003273
1.57356262,0.00013267
1.59740448,0.00023055
1.62124634,0.00025383
1.64508820,0.00082969
1.66893005,0.00209318
1.69277191,0.00198422
1.71661377,0.00078617
1.74045563,0.00024676
1.76429749,0.00015844
1.78813934,0.00007636
1.81198120,0.00010014
1.83582306,0.00011529
1.85966492,0.00012686
1.88350677,0.00008849
1.90734863,0.00016510
1.93119049,0.00022790
1.95503235,0.00322964
1.97887421,0.01583112
2.00271606,0.02326812
2.02655792,0.01244007
2.05039978,0.00167372
2.07424164,0.00015209
2.09808350,0.00012740
2.12192535,0.00014202
2.14576721,0.00017039
2.16960907,0.00011828
2.19345093,0.00003645
2.21729279,0.00002447
2.24113464,0.00009578
2.26497650,0.00029128
2.28881836,0.00104173
2.31266022,0.00223412
2.33650208,0.00205035
2.36034393,0.00087744
2.38418579,0.00028654
2.40802765,0.00017148
2.43186951,0.00010599
2.45571136,0.00005970
2.47955322,0.00004038
2.50339508,0.00000846
2.52723694,0.00000723
2.55107880,0.00003091
2.57492065,0.00013001
2.59876251,0.00022879
2.62260437,0.00034113
2.64644623,0.00068957
2.67028809,0.00154279
2.69412994,0.00143277
2.71797180,0.00057814
2.74181366,0.00021889
2.76565552,0.00016274
2.78949738,0.00009194
2.81333923,0.00011112
2.83718109,0.00010049
2.86102295,0.00010177
2.88486481,0.00008801
2.90870667,0.00016328
2.93254852,0.00021401
2.95639038,0.00513762
2.98023224,0.02301940
3.00407410,0.03181259
3.02791595,0.01593393
3.05175781,0.00189191
3.07559967,0.00012479
3.09944153,0.00012305
3.12328339,0.00014464
3.14712524,0.00017150
3.17096710,0.00010806
3.19480896,0.00003181
3.21865082,0.00005185
3.24249268,0.00008610
3.26633453,0.00027408
3.29017639,0.00085011
3.31401825,0.00169291
3.33786011,0.00154565
3.36170197,0.00078883
3.38554382,0.00029086
3.40938568,0.00013744
3.43322754,0.00009400
3.45706940,0.00006920
3.48091125,0.00005235
3.50475311,0.00001570
3.52859497,0.00000874
3.55243683,0.00003157
3.57627869,0.00012505
3.60012054,0.00022867
3.62396240,0.00044564
3.64780426,0.00057496
3.67164612,0.00084317
3.69548798,0.00080182
3.71932983,0.00036739
3.74317169,0.00018663
3.76701355,0.00015988
3.79085541,0.00010345
3.81469727,0.00011740
3.83853912,0.00008162
3.86238098,0.00007035
3.88622284,0.00009896
3.91006470,0.00015380
3.93390656,0.00018783
3.95774841,0.00693511
3.98159027,0.02848710
4.00543213,0.03705764
4.02927399,0.01737620
4.05311584,0.00180487
4.07695770,0.00009813
4.10079956,0.00012435
4.12464142,0.00014252
4.14848328,0.00017018
4.17232513,0.00009640
4.19616699,0.00003939
4.22000885,0.00007878
4.24385071,0.00008709
4.26769257,0.00024048
4.29153442,0.00054683
4.31537628,0.00096651
4.33921814,0.00097529
4.36306000,0.00068685
4.38690186,0.00027365
4.41074371,0.00010037
4.43458557,0.00008281
4.45842743,0.00007757
4.48226929,0.00006455
4.50611115,0.00002765
4.52995300,0.00001445
4.55379486,0.00003736
4.57763672,0.00012073
4.60147858,0.00023488
4.62532043,0.00054423
4.64916229,0.00062356
4.67300415,0.00021255
4.69684601,0.00016314
4.72068787,0.00018342
4.74452972,0.00015127
4.76837158,0.00015018
4.79221344,0.00011106
4.81605530,0.00011842
4.83989716,0.00006181
4.86373901,0.00003366
4.88758087,0.00011262
4.91142273,0.00013686
4.93526459,0.00017946
4.95910645,0.00832089
4.98294830,0.03143401
5.00679016,0.03851213
5.03063202,0.01688539
5.05447388,0.00151654
5.07831573,0.00007320
5.10215759,0.00012781
5.12599945,0.00013814
5.14984131,0.00016667
5.17368317,0.00008476
5.19752502,0.00005236
5.22136688,0.00010299
5.24520874,0.00009596
5.26905060,0.00019281
5.29289246,0.00020220
5.31673431,0.00026161
5.34057617,0.00054983
5.36441803,0.00058033
5.38825989,0.00023931
5.41210175,0.00006401
5.43594360,0.00007345
5.45978546,0.00008388
5.48362732,0.00007612
5.50746918,0.00004173
5.53131104,0.00002333
5.55515289,0.00005021
5.57899475,0.00012097
5.60283661,0.00024797
5.62667847,0.00062187
5.65052032,0.00086540
5.67436218,0.00080834
5.69820404,0.00042136
5.72204590,0.00010569
5.74588776,0.00011556
5.76972961,0.00013473
5.79357147,0.00011503
5.81741333,0.00011414
5.84125519,0.00004768
5.86509705,0.00000853
5.88893890,0.00012109
5.91278076,0.00011339
5.93662262,0.00022062
5.96046448,0.00897930
5.98430634,0.03128507
6.00814819,0.03611006
6.03199005,0.01478117
6.05583191,0.00113203
6.07967377,0.00005212
6.10351563,0.00012928
6.12735748,0.00013369
6.15119934,0.00016093
6.17504120,0.00007413
6.19888306,0.00006558
6.22272491,0.00012293
6.24656677,0.00010633
6.27040863,0.00014677
6.29425049,0.00042017
6.31809235,0.00087112
6.34193420,0.00070255
6.36577606,0.00047567
6.38961792,0.00019507
6.41345978,0.00003304
6.43730164,0.00006613
6.46114349,0.00008752
6.48498535,0.00008617
6.50882721,0.00005673
6.53266907,0.00003489
6.55651093,0.00006931
6.58035278,0.00012861
6.60419464,0.00026363
6.62803650,0.00066985
6.65187836,0.00118720
6.67572021,0.00151252
6.69956207,0.00089578
6.72340393,0.00018545
6.74724579,0.00008548
6.77108765,0.00011523
6.79492950,0.00011567
6.81877136,0.00010504
6.84261322,0.00004909
6.86645508,0.00004862
6.89029694,0.00012027
6.91413879,0.00008514
6.93798065,0.00028423
6.96182251,0.00862524
6.98566437,0.02778046
7.00950623,0.03020880
7.03334808,0.01152185
7.05718994,0.00074197
7.08103180,0.00003798
7.10487366,0.00012642
7.12871552,0.00013018
7.15255737,0.00015282
7.17639923,0.00006482
7.20024109,0.00007697
7.22408295,0.00013744
7.24792480,0.00011280
7.27176666,0.00014669
7.29560852,0.00090671
7.31945038,0.00169285
7.34329224,0.00111662
7.36713409,0.00038105
7.39097595,0.00014916
7.41481781,0.00001983
7.43865967,0.00006017
7.46250153,0.00008814
7.48634338,0.00009392
7.51018524,0.00007177
7.53402710,0.00004893
7.55786896,0.00009250
7.58171082,0.00014328
7.60555267,0.00027539
7.62939453,0.00068561
7.65323639,0.00149478
7.67707825,0.00207012
7.70092010,0.00122769
7.72476196,0.00026824
7.74860382,0.00007210
7.77244568,0.00009416
7.79628754,0.00011320
7.82012939,0.00009214
7.84397125,0.00006500
7.86781311,0.00008742
7.89165497,0.00010935
7.91549683,0.00005490
7.93933868,0.00031460
7.96318054,0.00705437
7.98702240,0.02103294
8.01086426,0.02153743
8.03470612,0.00763273
8.05854797,0.00041393
8.08238983,0.00003485
8.10623169,0.00011953
8.13007355,0.00012727
8.15391541,0.00014227
8.17775726,0.00005666
8.20159912,0.00008564
8.22544098,0.00014587
8.24928284,0.00011208
8.27312469,0.00021252
8.29696655,0.00137380
8.32080841,0.00237374
8.34465027,0.00145478
8.36849213,0.00031118
8.39233398,0.00010929
8.41617584,0.00003136
8.44001770,0.00005466
8.46385956,0.00008559
8.48770142,0.00009869
8.51154327,0.00008613
8.53538513,0.00006536
8.55922699,0.00011735
8.58306885,0.00016165
8.60691071,0.00027802
8.63075256,0.00067304
8.65459442,0.00172508
8.67843628,0.00241824
8.70227814,0.00140236
8.72612000,0.00032089
8.74996185,0.00008151
8.77380371,0.00007481
8.79764557,0.00010775
8.82148743,0.00007699
8.84532928,0.00008573
8.86917114,0.00012043
8.89301300,0.00009042
8.91685486,0.00002845
8.94069672,0.00026622
8.96453857,0.00419272
8.98838043,0.01154254
9.01222229,0.01110307
9.03606415,0.00363702
9.05990601,0.00019443
9.08374786,0.00004402
9.10758972,0.00011106
9.13143158,0.00012415
9.15527344,0.00012939
9.17911530,0.00004936
9.20295715,0.00009115
9.22679901,0.00014810
9.25064087,0.00010261
9.27448273,0.00030314
9.29832458,0.00174868
9.32216644,0.00282609
9.34600830,0.00164151
9.36985016,0.00028497
9.39369202,0.00008048
9.41753387,0.00004398
9.44137573,0.00004918
9.46521759,0.00007991
9.48905945,0.00010008
9.51290131,0.00009917
9.53674316,0.00008395
9.56058502,0.00014145
9.58442688,0.00017941
9.60826874,0.00027026
9.63211060,0.00064210
9.65595245,0.00183278
9.67979431,0.00252396
9.70363617,0.00142412
9.72747803,0.00034407
9.75131989,0.00010233
9.77516174,0.00006152
9.79900360,0.00009942
9.82284546,0.00006163
9.84668732,0.00010562
9.87052917,0.00014444
9.89437103,0.00006816
9.91821289,0.00002684
9.94205475,0.00018210
9.96589661,0.00035228
9.98973846,0.00030691
10.01358032,0.00027316
10.03742218,0.00030543
10.06126404,0.00011591
10.08510590,0.00006161
10.10894775,0.00010410
10.13278961,0.00012060
10.15663147,0.00011471
10.18047333,0.00004298
10.20431519,0.00009337
10.22815704,0.00014462
10.25199890,0.00008426
10.27584076,0.00038503
10.29968262,0.00197176
10.32352448,0.00299496
10.34736633,0.00166359
10.37120819,0.00030425
10.39505005,0.00006188
10.41889191,0.00005174
10.44273376,0.00004440
10.46657562,0.00007126
10.49041748,0.00009796
10.51425934,0.00011039
10.53810120,0.00010426
10.56194305,0.00016248
10.58578491,0.00019278
10.60962677,0.00025700
10.63346863,0.00060750
10.65731049,0.00178929
10.68115234,0.00238303
10.70499420,0.00131341
10.72883606,0.00034336
10.75267792,0.00012264
10.77651978,0.00005794
10.80036163,0.00008835
10.82420349,0.00004855
10.84804535,0.00012206
10.87188721,0.00015707
10.89572906,0.00005029
10.91957092,0.00004934
10.94341278,0.00043369
10.96725464,0.00490997
10.99109650,0.01199334
11.01493835,0.01041436
11.03878021,0.00302717
11.06262207,0.00010978
11.08646393,0.00008343
11.11030579,0.00010036
11.13414764,0.00011762
11.15798950,0.00009941
11.18183136,0.00003798
11.20567322,0.00009236
11.22951508,0.00013649
11.25335693,0.00005809
11.27719879,0.00043576
11.30104065,0.00199656
11.32488251,0.00285885
11.34872437,0.00153755
11.37256622,0.00034508
11.39640808,0.00004721
11.42024994,0.00005520
11.44409180,0.00004211
11.46793365,0.00005994
11.49177551,0.00009268
11.51561737,0.00011940
11.53945923,0.00012550
11.56330109,0.00017844
11.58714294,0.00019916
11.61098480,0.00025015
11.63482666,0.00058525
11.65866852,0.00158610
11.68251038,0.00201904
11.70635223,0.00110217
11.73019409,0.00032506
11.75403595,0.00013691
11.77787781,0.00006283
11.80171967,0.00007481
11.82556152,0.00004017
11.84940338,0.00013364
11.87324524,0.00015722
11.89708710,0.00004536
11.92092896,0.00007433
11.94477081,0.00097158
11.96861267,0.01038376
11.99245453,0.02362069
12.01629639,0.01925698
12.04013824,0.00510724
12.06398010,0.00008505
12.08782196,0.00010590
12.11166382,0.00009903
12.13550568,0.00011721
12.15934753,0.00008569
12.18318939,0.00003485
12.20703125,0.00008843
12.23087311,0.00012530
12.25471497,0.00002612
12.27855682,0.00043828
12.30239868,0.00179651
12.32624054,0.00243257
12.35008240,0.00130183
12.37392426,0.00038202
12.39776611,0.00003262
12.42160797,0.00005610
12.44544983,0.00004419
12.46929169,0.00004640
12.49313354,0.00008518
12.51697540,0.00012604
12.54081726,0.00014664
12.56465912,0.00018784
12.58850098,0.00019749
12.61234283,0.00026351
12.63618469,0.00058735
12.66002655,0.00124099
12.68386841,0.00147969
12.70771027,0.00082859
12.73155212,0.00029485
12.75539398,0.00014313
12.77923584,0.00007114
12.80307770,0.00005937
12.82691956,0.00003723
12.85076141,0.00013956
12.87460327,0.00014535
12.89844513,0.00005102
12.92228699,0.00009735
12.94612885,0.00167043
12.96997070,0.01572917
12.99381256,0.03343558
13.01765442,0.02565171
13.04149628,0.00623634
13.06533813,0.00006234
13.08917999,0.00012580
13.11302185,0.00009836
13.13686371,0.00012127
13.16070557,0.00007688
13.18454742,0.00003341
13.20838928,0.00008208
13.23223114,0.00011306
13.25607300,0.00000910
13.27991486,0.00038363
13.30375671,0.00137172
13.32759857,0.00176870
13.35144043,0.00101442
13.37528229,0.00040074
13.39912415,0.00002870
13.42296600,0.00005621
13.44680786,0.00005058
13.47064972,0.00003126
13.49449158,0.00007708
13.51833344,0.00013036
13.54217529,0.00016647
13.56601715,0.00018986
13.58985901,0.00018860
13.61370087,0.00029998
13.63754272,0.00061731
13.66138458,0.00081843
13.68522644,0.00083134
13.70906830,0.00053182
13.73291016,0.00025770
13.75675201,0.00014130
13.78059387,0.00007888
13.80443573,0.00004320
13.82827759,0.00003754
13.85211945,0.00013946
