Частота,Канал A,Канал B
(kГц),(В),(В)

0.00000000,3.72641200,3.71333800
0.04768372,1.62013700,1.61448300
0.09536743,0.27799320,0.27710760
0.14305115,0.00031504,0.00007217
0.19073486,0.00009680,0.00068881
0.23841858,0.00079003,0.00051732
0.28610229,0.00062330,0.00065166
0.33378601,0.00014154,0.00006571
0.38146973,0.00067870,0.00037750
0.42915344,0.00030265,0.00038263
0.47683716,0.00033802,0.00013352
0.52452087,0.00008237,0.00048300
0.57220459,0.00029202,0.00028764
0.61988831,0.00020940,0.00024340
0.66757202,0.00039204,0.00048335
0.71525574,0.00050953,0.00035146
0.76293945,0.00385284,0.00046731
0.81062317,0.00714423,0.00024308
0.85830688,0.00461753,0.00023556
0.90599060,0.00110942,0.00047911
0.95367432,0.00661161,0.00029535
1.00135803,0.00894107,0.00029004
1.04904175,0.00431554,0.00028332
1.09672546,0.00042426,0.00023256
1.14440918,0.00042219,0.00009911
1.19209290,0.00036292,0.00013178
1.23977661,0.00028431,0.00002052
1.28746033,0.00010888,0.00029335
1.33514404,0.00018501,0.00033618
1.38282776,0.00042244,0.00035489
1.43051147,0.00047574,0.00061303
1.47819519,0.00043177,0.00050607
1.52587891,0.00029172,0.00039582
1.57356262,0.00028982,0.00047920
1.62124634,0.00035984,0.00046770
1.66893005,0.00048197,0.00023804
1.71661377,0.00156215,0.00017418
1.76429749,0.00671524,0.00009789
1.81198120,0.00999406,0.00019072
1.85966492,0.00546894,0.00042118
1.90734863,0.00137821,0.00024639
1.95503235,0.00418146,0.00011904
2.00271606,0.00450757,0.00014135
2.05039978,0.00160558,0.00038608
2.09808350,0.00003499,0.00032142
2.14576721,0.00016242,0.00011860
2.19345093,0.00016813,0.00005798
2.24113464,0.00006211,0.00013224
2.28881836,0.00014005,0.00019613
2.33650208,0.00025902,0.00012538
2.38418579,0.00008039,0.00021856
2.43186951,0.00023113,0.00038372
2.47955322,0.00020702,0.00020223
2.52723694,0.00003926,0.00025331
2.57492065,0.00022413,0.00027270
2.62260437,0.00048557,0.00027194
2.67028809,0.00046062,0.00035869
2.71797180,0.00170852,0.00020787
2.76565552,0.00694232,0.00008470
2.81333923,0.00874707,0.00019586
2.86102295,0.00394675,0.00027645
2.90870667,0.00057263,0.00022260
2.95639038,0.00246754,0.00023501
3.00407410,0.00219772,0.00028344
3.05175781,0.00058042,0.00034128
3.09944153,0.00013970,0.00035588
3.14712524,0.00015445,0.00021921
3.19480896,0.00011809,0.00015066
3.24249268,0.00001908,0.00022818
3.29017639,0.00010148,0.00016392
3.33786011,0.00023865,0.00014351
3.38554382,0.00023081,0.00002083
3.43322754,0.00008515,0.00026841
3.48091125,0.00026258,0.00036523
3.52859497,0.00071390,0.00033368
3.57627869,0.00325750,0.00018292
3.62396240,0.00468365,0.00006240
3.67164612,0.00303615,0.00008524
3.71932983,0.01778171,0.00007909
3.76701355,0.05151012,0.00021694
3.81469727,0.05224311,0.00021365
3.86238098,0.01842679,0.00016728
3.91006470,0.00103137,0.00016966
3.95774841,0.00009034,0.00032104
4.00543213,0.00014317,0.00032331
4.05311584,0.00027861,0.00039495
4.10079956,0.00017229,0.00047484
4.14848328,0.00025699,0.00049487
4.19616699,0.00031367,0.00038260
4.24385071,0.00016257,0.00022365
4.29153442,0.00038647,0.00008170
4.33921814,0.00038542,0.00005389
4.38690186,0.00020356,0.00019554
4.43458557,0.00009880,0.00028302
4.48226929,0.00009852,0.00035172
4.52995300,0.00020828,0.00041737
4.57763672,0.00065892,0.00035245
4.62532043,0.00084673,0.00008962
4.67300415,0.00047150,0.00018215
4.72068787,0.00034018,0.00039740
4.76837158,0.00028734,0.00055959
4.81605530,0.00017205,0.00053036
4.86373901,0.00009050,0.00037603
4.91142273,0.00017016,0.00015947
4.95910645,0.00012967,0.00012106
5.00679016,0.00011222,0.00033520
5.05447388,0.00025615,0.00025499
5.10215759,0.00024077,0.00016130
5.14984131,0.00015809,0.00021544
5.19752502,0.00018925,0.00022571
5.24520874,0.00014228,0.00016097
5.29289246,0.00019374,0.00013042
5.34057617,0.00026216,0.00020332
5.38825989,0.00026441,0.00015343
5.43594360,0.00006168,0.00014498
5.48362732,0.00122507,0.00018290
5.53131104,0.01963167,0.00035261
5.57899475,0.05217791,0.00060312
5.62667847,0.04859761,0.00059687
5.67436218,0.01562024,0.00047045
5.72204590,0.00292156,0.00033453
5.76972961,0.00462598,0.00020116
5.81741333,0.00311157,0.00031539
5.86509705,0.00076760,0.00032416
5.91278076,0.00033799,0.00041673
5.96046448,0.00022189,0.00037036
6.00814819,0.00021917,0.00033818
6.05583191,0.00007654,0.00036609
6.10351563,0.00002616,0.00013948
6.15119934,0.00015177,0.00015101
6.19888306,0.00025622,0.00002160
6.24656677,0.00030878,0.00017947
6.29425049,0.00031559,0.00014437
6.34193420,0.00107853,0.00013113
6.38961792,0.00286887,0.00003134
6.43730164,0.00286757,0.00016852
6.48498535,0.00039274,0.00018334
6.53266907,0.00516653,0.00020067
6.58035278,0.01099571,0.00034165
