Частота,Канал A
(kГц),(В)

0.00000000,8.06926800
0.00298023,3.50806900
0.00596046,0.60197100
0.00894070,0.00038798
0.01192093,0.00116393
0.01490116,0.00150148
0.01788139,0.00095447
0.02086163,0.00085024
0.02384186,0.00074178
0.02682209,0.00052833
0.02980232,0.00061009
0.03278255,0.00042648
0.03576279,0.00059078
0.03874302,0.00073024
0.04172325,0.00114219
0.04470348,0.06991019
0.04768372,0.28816490
0.05066395,0.37976050
0.05364418,0.18135790
0.05662441,0.02102630
0.05960464,0.00033041
0.06258488,0.00015539
0.06556511,0.00009498
0.06854534,0.00023488
0.07152557,0.00027498
0.07450581,0.00036055
0.07748604,0.00027240
0.08046627,0.00018387
0.08344650,0.00042513
0.08642673,0.00038817
0.08940697,0.00055098
0.09238720,0.00531758
0.09536743,0.10777120
0.09834766,0.33145210
0.10132790,0.34930280
0.10430813,0.12918820
0.10728836,0.00838932
0.11026859,0.00016111
0.11324883,0.00083325
0.11622906,0.00006016
0.11920929,0.00041138
0.12218952,0.00016002
0.12516975,0.00047821
0.12814999,0.00050367
0.13113022,0.00044657
0.13411045,0.00030042
0.13709068,0.00045568
0.14007092,0.00028262
0.14305115,0.01383828
0.14603138,0.15265470
0.14901161,0.35996810
0.15199184,0.30425640
0.15497208,0.08488032
0.15795231,0.00217979
0.16093254,0.00026890
0.16391277,0.00034591
0.16689301,0.00049756
0.16987324,0.00020168
0.17285347,0.00040533
0.17583370,0.00040815
0.17881393,0.00028531
0.18179417,0.00004896
0.18477440,0.00022873
0.18775463,0.00016885
0.19073486,0.00012916
0.19371510,0.02832846
0.19669533,0.19959700
0.19967556,0.36930730
0.20265579,0.24979040
0.20563602,0.05105851
0.20861626,0.00066484
0.21159649,0.00055077
0.21457672,0.00017063
0.21755695,0.00007860
0.22053719,0.00022605
0.22351742,0.00007241
0.22649765,0.00014909
0.22947788,0.00014631
0.23245811,0.00018675
0.23543835,0.00018580
0.23841858,0.00052132
0.24139881,0.00065287
0.24437904,0.05028855
0.24735928,0.24432950
0.25033951,0.35894950
0.25331974,0.19257420
0.25629997,0.02694086
0.25928020,0.00021947
0.26226044,0.00051903
0.26524067,0.00051180
0.26822090,0.00071309
0.27120113,0.00057979
0.27418137,0.00063617
0.27716160,0.00032953
0.28014183,0.00042305
0.28312206,0.00058192
0.28610229,0.00021529
0.28908253,0.00080355
0.29206276,0.00271999
0.29504299,0.07979789
0.29802322,0.28182140
0.30100346,0.33073770
0.30398369,0.13879550
0.30696392,0.01209658
0.30994415,0.00033151
0.31292439,0.00033029
0.31590462,0.00025472
0.31888485,0.00043666
0.32186508,0.00018114
0.32484531,0.00022575
0.32782555,0.00041864
0.33080578,0.00038174
0.33378601,0.00066921
0.33676624,0.00024352
0.33974648,0.00056051
0.34272671,0.00792371
0.34570694,0.11427390
0.34868717,0.30603990
0.35166740,0.28837370
0.35464764,0.09274579
0.35762787,0.00389384
0.36060810,0.00006866
0.36358833,0.00047097
0.36656857,0.00025639
0.36954880,0.00045035
0.37252903,0.00041633
0.37550926,0.00027994
0.37848949,0.00037699
0.38146973,0.00045522
0.38444996,0.00037039
0.38743019,0.00013954
0.39041042,0.00033673
0.39339066,0.01764994
0.39637089,0.15130290
0.39935112,0.31440950
0.40233135,0.23724750
0.40531158,0.05679496
0.40829182,0.00100306
0.41127205,0.00030044
0.41425228,0.00037878
0.41723251,0.00014057
0.42021275,0.00037029
0.42319298,0.00022113
0.42617321,0.00014241
0.42915344,0.00005286
0.43213367,0.00012755
0.43511391,0.00015836
0.43809414,0.00010729
0.44107437,0.00039603
0.44405460,0.03249235
0.44703484,0.18618980
0.45001507,0.30539540
0.45299530,0.18378360
0.45597553,0.03128952
0.45895576,0.00017075
0.46193600,0.00032933
0.46491623,0.00030443
0.46789646,0.00020568
0.47087669,0.00025566
0.47385693,0.00023509
0.47683716,0.00020581
0.47981739,0.00016843
0.48279762,0.00060666
0.48577785,0.00048797
0.48875809,0.00084523
0.49173832,0.00129160
0.49471855,0.05265832
0.49769878,0.21511370
0.50067902,0.28113750
0.50365925,0.13320870
0.50663948,0.01491683
0.50961971,0.00016395
0.51259995,0.00010112
0.51558018,0.00030370
0.51856041,0.00015772
0.52154064,0.00031458
0.52452087,0.00045917
0.52750111,0.00028735
0.53048134,0.00013385
0.53346157,0.00060237
0.53644180,0.00012555
0.53942204,0.00063155
0.54240227,0.00384556
0.54538250,0.07652528
0.54836273,0.23381330
0.55134296,0.24510360
0.55432320,0.09009854
0.55730343,0.00589734
0.56028366,0.00035259
0.56326389,0.00027899
0.56624413,0.00011502
0.56922436,0.00033134
0.57220459,0.00004466
0.57518482,0.00009496
0.57816505,0.00006120
0.58114529,0.00037457
0.58412552,0.00007001
0.58710575,0.00022951
0.59008598,0.00032754
0.59306622,0.00903296
0.59604645,0.10199470
0.59902668,0.23966190
0.60200691,0.20161470
0.60498714,0.05619608
0.60796738,0.00204419
0.61094761,0.00089156
0.61392784,0.00037802
0.61690807,0.00043738
0.61988831,0.00015484
0.62286854,0.00002993
0.62584877,0.00017826
0.62882900,0.00008321
0.63180923,0.00021123
0.63478947,0.00041518
0.63776970,0.00006521
0.64074993,0.00021243
0.64373016,0.01828857
0.64671040,0.12671620
0.64969063,0.23267840
0.65267086,0.15624010
0.65565109,0.03137417
0.65863132,0.00011024
0.66161156,0.00020158
0.66459179,0.00004742
0.66757202,0.00021546
0.67055225,0.00024682
0.67353249,0.00007156
0.67651272,0.00025723
0.67949295,0.00020178
0.68247318,0.00008136
0.68545341,0.00007118
0.68843365,0.00019084
0.69141388,0.00021163
0.69439411,0.03043320
0.69737434,0.14655450
0.70035458,0.21391310
0.70333481,0.11408940
0.70631504,0.01584503
0.70929527,0.00028060
0.71227551,0.00025569
0.71525574,0.00020535
0.71823597,0.00030904
0.72121620,0.00023536
0.72419643,0.00023557
0.72717667,0.00020385
0.73015690,0.00042517
0.73313713,0.00018898
0.73611736,0.00023902
0.73909760,0.00033697
0.74207783,0.00146129
0.74505806,0.04548277
0.74803829,0.15953060
0.75101852,0.18609320
0.75399876,0.07771309
0.75697899,0.00691772
0.75995922,0.00030953
0.76293945,0.00036594
0.76591969,0.00011138
0.76889992,0.00022554
0.77188015,0.00004109
0.77486038,0.00034653
0.77784061,0.00044908
0.78082085,0.00041170
0.78380108,0.00027710
0.78678131,0.00014750
0.78976154,0.00063666
0.79274178,0.00463381
0.79572201,0.06182987
0.79870224,0.16365810
0.80168247,0.15285940
0.80466270,0.04853606
0.80764294,0.00204900
0.81062317,0.00036781
0.81360340,0.00015458
0.81658363,0.00017581
0.81956387,0.00039479
0.82254410,0.00008881
0.82552433,0.00029307
0.82850456,0.00033202
0.83148479,0.00009963
0.83446503,0.00014487
0.83744526,0.00043210
0.84042549,0.00020869
0.84340572,0.00880192
0.84638596,0.07660604
0.84936619,0.15824530
0.85234642,0.11848480
0.85532665,0.02779989
0.85830688,0.00035151
0.86128712,0.00019907
0.86426735,0.00035151
0.86724758,0.00029900
0.87022781,0.00048210
0.87320805,0.00034325
0.87618828,0.00024792
0.87916851,0.00030404
0.88214874,0.00037691
0.88512897,0.00036092
0.88810921,0.00037644
0.89108944,0.00021235
0.89406967,0.01571331
0.89704990,0.08942799
0.90003014,0.14552940
0.90301037,0.08669807
0.90599060,0.01454992
0.90897083,0.00028426
0.91195107,0.00051300
0.91493130,0.00049393
0.91791153,0.00037013
0.92089176,0.00037546
0.92387199,0.00017103
0.92685223,0.00007838
0.92983246,0.00023177
0.93281269,0.00016919
0.93579292,0.00022767
0.93877316,0.00037794
0.94175339,0.00050493
0.94473362,0.02374442
0.94771385,0.09694178
0.95069408,0.12614750
0.95367432,0.05947497
0.95665455,0.00653342
0.95963478,0.00008411
0.96261501,0.00008270
0.96559525,0.00018939
0.96857548,0.00007351
0.97155571,0.00017646
0.97453594,0.00033673
0.97751617,0.00039445
0.98049641,0.00027850
0.98347664,0.00030357
0.98645687,0.00035494
0.98943710,0.00044222
0.99241734,0.00185312
0.99539757,0.03283726
0.99837780,0.09925668
1.00135803,0.10334810
1.00433826,0.03767172
1.00731850,0.00244312
1.01029873,0.00029426
1.01327896,0.00009259
1.01625919,0.00011438
1.01923943,0.00025257
1.02221966,0.00029465
1.02519989,0.00032396
1.02818012,0.00025376
1.03116035,0.00022222
1.03414059,0.00039911
1.03712082,0.00025383
1.04010105,0.00044332
1.04308128,0.00408178
1.04606152,0.04144766
1.04904175,0.09642797
1.05202198,0.08064561
1.05500221,0.02233836
1.05798244,0.00086415
1.06096268,0.00042653
1.06394291,0.00010271
1.06692314,0.00017454
1.06990337,0.00055952
1.07288361,0.00039779
1.07586384,0.00029497
1.07884407,0.00036569
1.08182430,0.00018412
1.08480453,0.00016416
1.08778477,0.00037194
1.09076500,0.00025943
1.09374523,0.00698261
1.09672546,0.04824884
1.09970570,0.08791529
1.10268593,0.05859250
1.10566616,0.01165468
1.10864639,0.00003680
1.11162663,0.00017411
1.11460686,0.00034214
1.11758709,0.00027612
1.12056732,0.00009395
1.12354755,0.00027480
1.12652779,0.00038979
1.12950802,0.00025557
1.13248825,0.00020293
1.13546848,0.00011833
1.13844872,0.00021734
1.14142895,0.00044929
1.14440918,0.01153533
1.14738941,0.05307502
1.15036964,0.07641804
1.15334988,0.04020345
1.15633011,0.00528998
1.15931034,0.00017718
1.16229057,0.00023467
1.16527081,0.00026088
1.16825104,0.00019477
1.17123127,0.00011225
1.17421150,0.00036563
1.17719173,0.00026250
1.18017197,0.00011215
1.18315220,0.00041263
1.18613243,0.00039707
1.18911266,0.00017276
1.19209290,0.00065918
1.19507313,0.01562342
1.19805336,0.05395862
1.20103359,0.06243287
1.20401382,0.02581028
1.20699406,0.00212784
1.20997429,0.00007007
1.21295452,0.00020459
1.21593475,0.00014779
1.21891499,0.00035355
1.22189522,0.00042356
1.22487545,0.00037286
1.22785568,0.00016845
1.23083591,0.00020026
1.23381615,0.00024213
1.23679638,0.00024850
1.23977661,0.00014465
1.24275684,0.00137635
1.24573708,0.01951982
1.24871731,0.05173185
1.25169754,0.04828528
1.25467777,0.01566802
1.25765800,0.00124597
1.26063824,0.00060298
1.26361847,0.00035037
1.26659870,0.00046752
1.26957893,0.00035227
1.27255917,0.00015405
1.27553940,0.00018565
1.27851963,0.00005261
1.28149986,0.00014567
1.28448009,0.00001449
1.28746033,0.00029107
1.29044056,0.00029665
1.29342079,0.00262644
1.29640102,0.02324200
1.29938126,0.04759656
1.30236149,0.03535604
1.30534172,0.00824640
1.30832195,0.00033472
1.31130219,0.00036517
1.31428242,0.00023686
1.31726265,0.00016188
1.32024288,0.00011254
1.32322311,0.00022587
1.32620335,0.00028574
1.32918358,0.00002213
1.33216381,0.00017149
1.33514404,0.00021499
1.33812428,0.00043247
1.34110451,0.00040027
1.34408474,0.00430717
1.34706497,0.02514855
1.35004520,0.04105199
1.35302544,0.02458840
1.35600567,0.00420117
1.35898590,0.00024623
1.36196613,0.00023133
1.36494637,0.00019749
1.36792660,0.00008697
1.37090683,0.00026268
1.37388706,0.00023045
1.37686729,0.00010791
1.37984753,0.00033445
1.38282776,0.00037916
1.38580799,0.00024522
1.38878822,0.00008162
1.39176846,0.00018830
1.39474869,0.00658815
1.39772892,0.02623961
1.40070915,0.03380240
1.40368938,0.01595392
1.40666962,0.00210891
1.40964985,0.00038064
1.41263008,0.00022076
1.41561031,0.00004549
1.41859055,0.00026865
1.42157078,0.00024545
1.42455101,0.00018101
1.42753124,0.00006943
1.43051147,0.00027274
1.43349171,0.00021139
1.43647194,0.00016169
1.43945217,0.00012493
1.44243240,0.00013745
1.44541264,0.00799906
1.44839287,0.02502722
1.45137310,0.02619217
1.45435333,0.00963032
1.45733356,0.00074680
1.46031380,0.00028221
1.46329403,0.00036888
1.46627426,0.00029802
1.46925449,0.00008977
1.47223473,0.00011494
1.47521496,0.00017738
1.47819519,0.00026144
1.48117542,0.00031316
1.48415565,0.00041569
1.48713589,0.00038970
1.49011612,0.00025810
1.49309635,0.00090671
1.49607658,0.00997966
1.49905682,0.02292126
1.50203705,0.01899802
1.50501728,0.00520382
1.50799751,0.00020008
1.51097775,0.00048669
1.51395798,0.00038459
1.51693821,0.00023168
1.51991844,0.00031816
1.52289867,0.00034610
1.52587891,0.00018123
1.52885914,0.00019612
1.53183937,0.00030553
1.53481960,0.00010830
1.53779984,0.00008419
1.54078007,0.00018223
1.54376030,0.00144436
1.54674053,0.01079401
1.54972076,0.01973549
1.55270100,0.01325391
1.55568123,0.00283920
1.55866146,0.00027145
1.56164169,0.00010194
1.56462193,0.00025848
1.56760216,0.00045494
1.57058239,0.00053088
1.57356262,0.00033267
1.57654285,0.00015241
1.57952309,0.00029552
1.58250332,0.00040935
1.58548355,0.00031559
1.58846378,0.00015692
1.59144402,0.00015757
1.59442425,0.00235391
1.59740448,0.01148249
1.60038471,0.01634913
1.60336494,0.00832583
1.60634518,0.00084640
1.60932541,0.00027287
1.61230564,0.00028592
1.61528587,0.00031644
1.61826611,0.00026556
1.62124634,0.00022801
1.62422657,0.00032585
1.62720680,0.00023639
1.63018703,0.00009254
1.63316727,0.00023037
1.63614750,0.00021364
1.63912773,0.00027079
1.64210796,0.00045899
1.64508820,0.00333844
1.64806843,0.01104419
1.65104866,0.01264776
1.65402889,0.00498976
1.65700912,0.00031069
1.65998936,0.00016062
1.66296959,0.00021099
1.66594982,0.00032855
1.66893005,0.00022913
1.67191029,0.00029285
1.67489052,0.00043859
1.67787075,0.00043244
1.68085098,0.00024871
1.68383121,0.00024142
1.68681145,0.00018016
1.68979168,0.00032838
1.69277191,0.00057577
1.69575214,0.00392747
1.69873238,0.01018617
1.70171261,0.00958405
1.70469284,0.00306373
1.70767307,0.00015336
1.71065331,0.00027656
1.71363354,0.00029952
1.71661377,0.00037468
1.71959400,0.00020991
1.72257423,0.00037058
1.72555447,0.00032574
1.72853470,0.00030670
1.73151493,0.00044312
