Время,Канал A
(uс),(В)

-31.16004154,-1.54454200
-31.15004154,-1.54454200
-31.14004154,-1.54454200
-31.13004154,-1.54454200
-31.12004154,-1.54454200
-31.11004154,-1.63274000
-31.10004154,-1.63274000
-31.09004154,-1.63274000
-31.08004154,-1.63274000
-31.07004154,-1.67699200
-31.06004154,-1.67699200
-31.05004155,-1.67699200
-31.04004155,-1.72109100
-31.03004155,-1.72109100
-31.02004155,-1.72109100
-31.01004155,-1.72109100
-31.00004155,-1.72109100
-30.99004155,-1.72109100
-30.98004155,-1.76519100
-30.97004155,-1.76519100
-30.96004155,-1.80929000
-30.95004155,-1.80929000
-30.94004155,-1.80929000
-30.93004155,-1.85338900
-30.92004155,-1.85338900
-30.91004155,-1.85338900
-30.90004155,-1.85338900
-30.89004155,-1.89764100
-30.88004155,-1.89764100
-30.87004155,-1.89764100
-30.86004155,-1.89764100
-30.85004155,-1.89764100
-30.84004155,-1.94174000
-30.83004155,-1.94174000
-30.82004155,-1.98583900
-30.81004155,-1.98583900
-30.80004155,-1.98583900
-30.79004155,-2.02993900
-30.78004155,-2.02993900
-30.77004155,-2.02993900
-30.76004155,-2.07403800
-30.75004155,-2.02993900
-30.74004155,-2.07403800
-30.73004155,-2.07403800
-30.72004155,-2.07403800
-30.71004155,-2.07403800
-30.70004155,-2.11829000
-30.69004155,-2.11829000
-30.68004155,-2.11829000
-30.67004155,-2.16238900
-30.66004155,-2.16238900
-30.65004155,-2.16238900
-30.64004155,-2.20648800
-30.63004155,-2.20648800
-30.62004155,-2.20648800
-30.61004155,-2.20648800
-30.60004155,-2.25058700
-30.59004155,-2.25058700
-30.58004155,-2.25058700
-30.57004155,-2.25058700
-30.56004155,-2.25058700
-30.55004155,-2.25058700
-30.54004155,-2.29468700
-30.53004155,-2.29468700
-30.52004155,-2.33893800
-30.51004155,-2.33893800
-30.50004155,-2.33893800
-30.49004155,-2.38303800
-30.48004155,-2.38303800
-30.47004155,-2.42713700
-30.46004155,-2.38303800
-30.45004155,-2.42713700
-30.44004155,-2.42713700
-30.43004155,-2.42713700
-30.42004155,-2.42713700
-30.41004155,-2.42713700
-30.40004155,-2.42713700
-30.39004155,-2.47123600
-30.38004155,-2.47123600
-30.37004155,-2.47123600
-30.36004155,-2.51533600
-30.35004155,-2.51533600
-30.34004155,-2.51533600
-30.33004155,-2.55958700
-30.32004155,-2.55958700
-30.31004155,-2.55958700
-30.30004155,-2.55958700
-30.29004155,-2.55958700
-30.28004155,-2.60368700
-30.27004155,-2.60368700
-30.26004155,-2.60368700
-30.25004155,-2.60368700
-30.24004155,-2.60368700
-30.23004155,-2.64778600
-30.22004155,-2.69188500
-30.21004155,-2.69188500
