Частота,Канал A
(kГц),(В)

0.00000000,0.07369334
0.02384186,0.03214558
0.04768372,0.00569495
0.07152557,0.00042895
0.09536743,0.00043611
0.11920929,0.00039615
0.14305115,0.00042755
0.16689301,0.00065749
0.19073486,0.00044321
0.21457672,0.00017507
0.23841858,0.00024791
0.26226044,0.00023336
0.28610229,0.00012724
0.30994415,0.00056086
0.33378601,0.00064912
0.35762787,0.00035218
0.38146973,0.00021794
0.40531158,0.00030090
0.42915344,0.00020445
0.45299530,0.00025956
0.47683716,0.00036330
0.50067902,0.00039276
0.52452087,0.00027757
0.54836273,0.00040617
0.57220459,0.00019345
0.59604645,0.00022989
0.61988831,0.00025114
0.64373016,0.00034448
0.66757202,0.00021539
0.69141388,0.00028857
0.71525574,0.00012599
0.73909760,0.00003949
0.76293945,0.00019708
0.78678131,0.00041741
0.81062317,0.00052584
0.83446503,0.00057470
0.85830688,0.00051741
0.88214874,0.00040295
0.90599060,0.00029554
0.92983246,0.00016699
0.95367432,0.00038244
0.97751617,0.00023192
1.00135803,0.00025760
1.02519989,0.00036745
1.04904175,0.00066116
1.07288361,0.00049304
1.09672546,0.00002577
1.12056732,0.00011683
1.14440918,0.00003964
1.16825104,0.00024262
1.19209290,0.00040599
1.21593475,0.00027867
1.23977661,0.00024778
1.26361847,0.00025186
1.28746033,0.00021508
1.31130219,0.00016726
1.33514404,0.00056671
1.35898590,0.00057971
1.38282776,0.00024830
1.40666962,0.00006453
1.43051147,0.00008528
1.45435333,0.00032789
1.47819519,0.00065942
1.50203705,0.00065010
1.52587891,0.00056269
1.54972076,0.00035786
1.57356262,0.00019255
1.59740448,0.00017013
1.62124634,0.00018410
1.64508820,0.00008850
1.66893005,0.00023617
1.69277191,0.00044501
1.71661377,0.00055517
1.74045563,0.00035630
1.76429749,0.00015368
1.78813934,0.00026571
1.81198120,0.00038274
1.83582306,0.00021571
1.85966492,0.00016283
1.88350677,0.00013049
1.90734863,0.00009083
1.93119049,0.00006706
1.95503235,0.00015379
1.97887421,0.00024843
2.00271606,0.00027151
2.02655792,0.00013275
2.05039978,0.00007869
2.07424164,0.00028770
2.09808350,0.00034310
2.12192535,0.00030521
2.14576721,0.00030785
2.16960907,0.00030600
2.19345093,0.00025000
2.21729279,0.00009476
2.24113464,0.00026026
2.26497650,0.00060511
2.28881836,0.00061945
2.31266022,0.00043865
2.33650208,0.00040707
2.36034393,0.00022480
2.38418579,0.00010125
2.40802765,0.00041270
2.43186951,0.00037200
2.45571136,0.00040994
2.47955322,0.00050455
2.50339508,0.00016441
2.52723694,0.00024236
2.55107880,0.00035403
2.57492065,0.00029424
2.59876251,0.00034055
2.62260437,0.00032049
2.64644623,0.00004081
2.67028809,0.00025642
2.69412994,0.00021597
2.71797180,0.00012463
2.74181366,0.00020041
2.76565552,0.00038436
2.78949738,0.00045238
2.81333923,0.00031975
2.83718109,0.00009462
2.86102295,0.00012643
2.88486481,0.00035008
2.90870667,0.00036683
2.93254852,0.00039905
2.95639038,0.00067219
2.98023224,0.00044928
3.00407410,0.00038617
3.02791595,0.00045011
3.05175781,0.00041792
3.07559967,0.00040744
3.09944153,0.00032497
3.12328339,0.00033392
3.14712524,0.00008060
3.17096710,0.00047070
3.19480896,0.00068142
3.21865082,0.00058434
3.24249268,0.00017354
3.26633453,0.00021357
3.29017639,0.00027334
3.31401825,0.00043479
3.33786011,0.00043232
3.36170197,0.00026844
3.38554382,0.00015606
3.40938568,0.00008307
3.43322754,0.00038107
3.45706940,0.00051021
3.48091125,0.00042123
3.50475311,0.00029929
3.52859497,0.00047031
3.55243683,0.00058638
3.57627869,0.00059580
3.60012054,0.00058142
3.62396240,0.00046833
3.64780426,0.00040444
3.67164612,0.00026759
3.69548798,0.00020823
3.71932983,0.00023546
3.74317169,0.00035972
3.76701355,0.00040610
3.79085541,0.00021852
3.81469727,0.00020470
3.83853912,0.00042260
3.86238098,0.00030698
3.88622284,0.00030410
3.91006470,0.00043638
3.93390656,0.00026154
3.95774841,0.00033111
3.98159027,0.00046796
4.00543213,0.00033461
4.02927399,0.00030837
4.05311584,0.00019357
4.07695770,0.00019884
4.10079956,0.00018894
4.12464142,0.00016007
4.14848328,0.00019516
4.17232513,0.00015495
4.19616699,0.00010618
4.22000885,0.00030323
4.24385071,0.00029523
4.26769257,0.00037500
4.29153442,0.00032320
4.31537628,0.00014193
4.33921814,0.00012770
4.36306000,0.00001635
4.38690186,0.00002286
4.41074371,0.00016086
4.43458557,0.00054923
4.45842743,0.00067527
4.48226929,0.00049347
4.50611115,0.00037688
4.52995300,0.00035995
4.55379486,0.00031979
4.57763672,0.00040926
4.60147858,0.00032559
4.62532043,0.00014724
4.64916229,0.00022434
4.67300415,0.00030456
4.69684601,0.00056601
4.72068787,0.00046377
4.74452972,0.00017223
4.76837158,0.00025452
4.79221344,0.00021098
4.81605530,0.00018935
4.83989716,0.00043093
4.86373901,0.00020680
4.88758087,0.00032260
4.91142273,0.00036384
4.93526459,0.00012513
4.95910645,0.00029843
4.98294830,0.00019569
5.00679016,0.00010577
5.03063202,0.00012849
5.05447388,0.00038440
5.07831573,0.00054959
5.10215759,0.00024459
5.12599945,0.00026327
5.14984131,0.00052478
5.17368317,0.00049614
5.19752502,0.00038663
5.22136688,0.00022824
5.24520874,0.00024806
5.26905060,0.00020929
5.29289246,0.00018738
5.31673431,0.00028726
5.34057617,0.00022359
5.36441803,0.00022905
5.38825989,0.00024804
5.41210175,0.00019895
5.43594360,0.00015501
5.45978546,0.00040414
5.48362732,0.00046842
5.50746918,0.00026219
5.53131104,0.00020015
5.55515289,0.00008239
5.57899475,0.00025161
5.60283661,0.00035555
5.62667847,0.00036738
5.65052032,0.00017888
5.67436218,0.00017887
5.69820404,0.00026758
5.72204590,0.00025523
5.74588776,0.00065311
5.76972961,0.00047073
5.79357147,0.00033598
5.81741333,0.00046532
5.84125519,0.00026294
5.86509705,0.00007455
5.88893890,0.00017122
5.91278076,0.00029171
5.93662262,0.00037823
5.96046448,0.00043494
5.98430634,0.00050646
6.00814819,0.00033190
6.03199005,0.00040210
6.05583191,0.00045303
6.07967377,0.00020568
6.10351563,0.00034963
6.12735748,0.00054097
6.15119934,0.00073457
6.17504120,0.00070027
6.19888306,0.00035849
6.22272491,0.00029173
6.24656677,0.00028559
6.27040863,0.00037764
6.29425049,0.00032077
6.31809235,0.00016566
6.34193420,0.00033263
6.36577606,0.00021328
6.38961792,0.00024893
6.41345978,0.00058473
6.43730164,0.00068640
6.46114349,0.00059081
6.48498535,0.00038984
6.50882721,0.00014136
6.53266907,0.00019729
6.55651093,0.00030928
6.58035278,0.00031984
6.60419464,0.00012007
6.62803650,0.00018678
6.65187836,0.00036673
6.67572021,0.00046578
6.69956207,0.00049256
6.72340393,0.00053325
6.74724579,0.00045802
6.77108765,0.00051087
6.79492950,0.00038452
6.81877136,0.00031874
6.84261322,0.00032604
6.86645508,0.00008999
6.89029694,0.00027262
6.91413879,0.00017597
6.93798065,0.00031856
6.96182251,0.00030889
6.98566437,0.00009762
7.00950623,0.00006654
7.03334808,0.00008441
7.05718994,0.00027563
7.08103180,0.00039724
7.10487366,0.00045069
7.12871552,0.00040524
7.15255737,0.00018353
7.17639923,0.00004496
7.20024109,0.00013656
7.22408295,0.00024675
7.24792480,0.00029998
7.27176666,0.00020111
7.29560852,0.00030990
7.31945038,0.00035413
7.34329224,0.00024218
7.36713409,0.00017950
7.39097595,0.00014035
7.41481781,0.00043334
7.43865967,0.00034700
7.46250153,0.00032578
7.48634338,0.00028502
7.51018524,0.00004154
7.53402710,0.00013756
7.55786896,0.00017849
7.58171082,0.00017349
7.60555267,0.00013734
7.62939453,0.00016268
7.65323639,0.00034255
7.67707825,0.00044853
7.70092010,0.00039995
7.72476196,0.00040895
7.74860382,0.00040328
7.77244568,0.00027720
7.79628754,0.00019748
7.82012939,0.00024392
7.84397125,0.00055419
7.86781311,0.00071367
7.89165497,0.00048906
7.91549683,0.00027228
7.93933868,0.00024885
7.96318054,0.00029615
7.98702240,0.00015871
8.01086426,0.00032056
8.03470612,0.00049052
8.05854797,0.00052275
8.08238983,0.00028776
8.10623169,0.00009250
8.13007355,0.00029776
8.15391541,0.00042481
8.17775726,0.00028957
8.20159912,0.00017388
8.22544098,0.00008089
8.24928284,0.00028880
8.27312469,0.00030588
8.29696655,0.00025537
8.32080841,0.00027498
8.34465027,0.00010015
8.36849213,0.00026797
8.39233398,0.00033982
8.41617584,0.00053988
8.44001770,0.00061875
8.46385956,0.00026268
8.48770142,0.00011404
8.51154327,0.00034649
8.53538513,0.00051177
8.55922699,0.00026067
8.58306885,0.00007163
8.60691071,0.00020121
8.63075256,0.00029251
8.65459442,0.00022130
8.67843628,0.00016938
8.70227814,0.00041280
8.72612000,0.00036896
8.74996185,0.00016097
8.77380371,0.00009880
8.79764557,0.00015499
8.82148743,0.00015808
8.84532928,0.00024606
8.86917114,0.00020116
8.89301300,0.00045527
8.91685486,0.00060481
8.94069672,0.00047512
8.96453857,0.00040380
8.98838043,0.00041698
9.01222229,0.00024835
9.03606415,0.00014835
9.05990601,0.00041520
9.08374786,0.00032631
9.10758972,0.00019690
9.13143158,0.00039285
9.15527344,0.00035301
9.17911530,0.00038588
9.20295715,0.00051022
9.22679901,0.00044942
9.25064087,0.00025756
9.27448273,0.00013323
9.29832458,0.00028456
9.32216644,0.00042601
9.34600830,0.00032913
9.36985016,0.00023365
9.39369202,0.00052635
9.41753387,0.00053610
9.44137573,0.00040081
9.46521759,0.00025715
9.48905945,0.00028558
9.51290131,0.00047969
9.53674316,0.00045712
9.56058502,0.00019663
9.58442688,0.00011457
9.60826874,0.00026346
9.63211060,0.00033069
9.65595245,0.00017381
9.67979431,0.00010686
9.70363617,0.00018948
9.72747803,0.00019167
9.75131989,0.00018532
9.77516174,0.00035215
9.79900360,0.00044215
9.82284546,0.00028095
9.84668732,0.00053641
9.87052917,0.00044826
9.89437103,0.00024571
9.91821289,0.00041117
9.94205475,0.00026994
9.96589661,0.00009656
9.98973846,0.00014932
10.01358032,0.00014261
10.03742218,0.00027006
10.06126404,0.00058986
10.08510590,0.00031556
10.10894775,0.00017036
10.13278961,0.00012402
10.15663147,0.00034862
10.18047333,0.00042663
10.20431519,0.00046129
10.22815704,0.00049336
10.25199890,0.00033568
10.27584076,0.00008755
10.29968262,0.00013204
10.32352448,0.00041632
10.34736633,0.00052713
10.37120819,0.00029027
10.39505005,0.00010741
10.41889191,0.00027369
10.44273376,0.00047571
10.46657562,0.00046413
10.49041748,0.00057887
10.51425934,0.00075846
10.53810120,0.00051569
10.56194305,0.00012211
10.58578491,0.00012822
10.60962677,0.00025211
10.63346863,0.00030384
10.65731049,0.00026162
10.68115234,0.00027855
10.70499420,0.00037546
10.72883606,0.00042314
10.75267792,0.00049125
10.77651978,0.00050996
10.80036163,0.00044593
10.82420349,0.00056331
10.84804535,0.00053003
10.87188721,0.00040824
10.89572906,0.00035706
10.91957092,0.00039670
10.94341278,0.00039535
10.96725464,0.00021224
10.99109650,0.00014169
11.01493835,0.00033217
11.03878021,0.00029290
11.06262207,0.00009942
11.08646393,0.00026071
11.11030579,0.00017142
11.13414764,0.00017962
11.15798950,0.00037854
11.18183136,0.00031396
11.20567322,0.00042166
11.22951508,0.00048640
11.25335693,0.00019527
11.27719879,0.00040222
11.30104065,0.00055399
11.32488251,0.00035815
11.34872437,0.00043070
11.37256622,0.00035163
11.39640808,0.00038022
11.42024994,0.00057892
11.44409180,0.00052769
11.46793365,0.00047046
11.49177551,0.00036355
11.51561737,0.00028596
11.53945923,0.00067541
11.56330109,0.00053996
11.58714294,0.00027899
11.61098480,0.00013091
11.63482666,0.00011698
11.65866852,0.00044005
11.68251038,0.00070478
11.70635223,0.00059875
11.73019409,0.00038097
11.75403595,0.00008955
11.77787781,0.00027043
11.80171967,0.00034285
11.82556152,0.00028193
11.84940338,0.00038708
11.87324524,0.00060356
11.89708710,0.00062393
11.92092896,0.00032073
11.94477081,0.00052110
11.96861267,0.00060183
11.99245453,0.00048418
12.01629639,0.00030214
12.04013824,0.00026392
12.06398010,0.00018245
12.08782196,0.00012074
12.11166382,0.00006999
12.13550568,0.00022051
12.15934753,0.00031318
12.18318939,0.00030775
12.20703125,0.00039883
12.23087311,0.00063360
12.25471497,0.00071774
12.27855682,0.00051039
12.30239868,0.00033235
12.32624054,0.00027070
12.35008240,0.00047672
12.37392426,0.00070782
12.39776611,0.00048429
12.42160797,0.00005027
12.44544983,0.00017088
12.46929169,0.00023073
12.49313354,0.00002663
12.51697540,0.00020283
12.54081726,0.00014977
12.56465912,0.00006230
12.58850098,0.00018708
12.61234283,0.00021906
12.63618469,0.00018943
12.66002655,0.00023123
12.68386841,0.00029230
12.70771027,0.00010000
12.73155212,0.00017274
12.75539398,0.00030509
12.77923584,0.00018136
12.80307770,0.00009511
12.82691956,0.00022494
12.85076141,0.00026546
12.87460327,0.00037667
12.89844513,0.00032534
12.92228699,0.00016599
12.94612885,0.00012184
12.96997070,0.00035464
12.99381256,0.00033388
13.01765442,0.00019225
13.04149628,0.00014836
13.06533813,0.00007820
13.08917999,0.00007699
13.11302185,0.00028060
13.13686371,0.00035784
13.16070557,0.00045137
13.18454742,0.00053998
13.20838928,0.00042784
13.23223114,0.00010566
13.25607300,0.00021508
13.27991486,0.00010724
13.30375671,0.00018589
13.32759857,0.00017712
13.35144043,0.00035822
13.37528229,0.00037149
13.39912415,0.00026837
13.42296600,0.00037298
13.44680786,0.00022117
13.47064972,0.00019216
13.49449158,0.00030062
13.51833344,0.00061492
13.54217529,0.00061097
13.56601715,0.00030710
13.58985901,0.00023775
13.61370087,0.00039557
13.63754272,0.00010342
13.66138458,0.00033188
13.68522644,0.00028969
13.70906830,0.00044786
13.73291016,0.00043740
13.75675201,0.00019682
13.78059387,0.00017651
13.80443573,0.00018542
13.82827759,0.00008057
13.85211945,0.00027915
