Частота,Канал A
(kГц),(В)

0.00000000,6.87077300
0.01192093,2.98712600
0.02384186,0.51468740
0.03576279,0.01047066
0.04768372,0.01271783
0.05960464,0.00404787
0.07152557,0.00269628
0.08344650,0.00598111
0.09536743,0.00484502
0.10728836,0.00118835
0.11920929,0.00082937
0.13113022,0.00069048
0.14305115,0.00056174
0.15497208,0.00158046
0.16689301,0.00415821
0.17881393,0.00485167
0.19073486,0.00167566
0.20265579,0.00150794
0.21457672,0.00386278
0.22649765,0.00296404
0.23841858,0.00116286
0.25033951,0.00226001
0.26226044,0.00331242
0.27418137,0.00178039
0.28610229,0.00536709
0.29802322,0.01731270
0.30994415,0.01809997
0.32186508,0.00754175
0.33378601,0.01092471
0.34570694,0.02115208
0.35762787,0.01513064
0.36954880,0.00367898
0.38146973,0.00349716
0.39339066,0.00501119
0.40531158,0.00232836
0.41723251,0.00211180
0.42915344,0.00621001
0.44107437,0.00593731
0.45299530,0.00182445
0.46491623,0.00110021
0.47683716,0.00203480
0.48875809,0.00132919
0.50067902,0.00081868
0.51259995,0.00272980
0.52452087,0.00357736
0.53644180,0.00171799
0.54836273,0.00205936
0.56028366,0.00581184
0.57220459,0.00526456
0.58412552,0.00129829
0.59604645,0.00133434
0.60796738,0.00237135
0.61988831,0.00155916
0.63180923,0.00674444
0.64373016,0.02450599
0.65565109,0.03023937
0.66757202,0.01371982
0.67949295,0.00781179
0.69141388,0.01702685
0.70333481,0.01499417
0.71525574,0.00443598
0.72717667,0.00013078
0.73909760,0.00047459
0.75101852,0.00048178
0.76293945,0.00115417
0.77486038,0.00420946
0.78678131,0.00506570
0.79870224,0.00211740
0.81062317,0.00172020
0.82254410,0.00430549
0.83446503,0.00358233
0.84638596,0.00078172
0.85830688,0.00040511
0.87022781,0.00046716
0.88214874,0.00042217
0.89406967,0.00149064
0.90599060,0.00568752
0.91791153,0.00633575
0.92983246,0.00204859
0.94175339,0.00489210
0.95367432,0.00909990
0.96559525,0.00673951
0.97751617,0.16869650
0.98943710,0.82961430
1.00135803,1.22360900
1.01327896,0.65957790
1.02519989,0.09093882
1.03712082,0.01150280
1.04904175,0.01186460
1.06096268,0.00373997
1.07288361,0.00220097
1.08480453,0.00434936
1.09672546,0.00312809
1.10864639,0.00099189
1.12056732,0.00187050
1.13248825,0.00274795
1.14440918,0.00132460
1.15633011,0.00155832
1.16825104,0.00484278
1.18017197,0.00458043
1.19209290,0.00134195
1.20401382,0.00145104
1.21593475,0.00270051
1.22785568,0.00173970
1.23977661,0.00120073
1.25169754,0.00386979
1.26361847,0.00513146
1.27553940,0.00221752
1.28746033,0.00637816
1.29938126,0.01812054
1.31130219,0.01689422
1.32322311,0.00595596
1.33514404,0.00583881
1.34706497,0.01019022
1.35898590,0.00665667
1.37090683,0.00260376
1.38282776,0.00595859
1.39474869,0.00760361
1.40666962,0.00334897
1.41859055,0.00207527
1.43051147,0.00588981
1.44243240,0.00507071
1.45435333,0.00122219
1.46627426,0.00030504
1.47819519,0.00034553
1.49011612,0.00030791
1.50203705,0.00116094
1.51395798,0.00382206
1.52587891,0.00441426
1.53779984,0.00152854
1.54972076,0.00218599
1.56164169,0.00522325
1.57356262,0.00426809
1.58548355,0.00109721
1.59740448,0.00037230
1.60932541,0.00064848
1.62124634,0.00019708
1.63316727,0.00995395
1.64508820,0.03191294
1.65700912,0.03496586
1.66893005,0.01419976
1.68085098,0.00769194
1.69277191,0.01452195
1.70469284,0.01114514
1.71661377,0.00307856
1.72853470,0.00183978
1.74045563,0.00254115
1.75237656,0.00120111
1.76429749,0.00178922
1.77621841,0.00549649
1.78813934,0.00578373
1.80006027,0.00227344
1.81198120,0.00158848
1.82390213,0.00321432
1.83582306,0.00238303
1.84774399,0.00085083
1.85966492,0.00207871
1.87158585,0.00261970
1.88350677,0.00138445
1.89542770,0.00196385
1.90734863,0.00651676
1.91926956,0.00673382
1.93119049,0.00217987
1.94311142,0.00387826
1.95503235,0.00546766
1.96695328,0.00312792
1.97887421,0.20767860
1.99079514,0.86564240
2.00271606,1.14225100
2.01463699,0.54635160
2.02655792,0.05923918
2.03847885,0.01182220
2.05039978,0.01177696
2.06232071,0.00334939
2.07424164,0.00108693
2.08616257,0.00182798
2.09808350,0.00122643
2.11000443,0.00085552
2.12192535,0.00296150
2.13384628,0.00385715
2.14576721,0.00178703
2.15768814,0.00179749
2.16960907,0.00472426
2.18153000,0.00415903
2.19345093,0.00133107
2.20537186,0.00041394
2.21729279,0.00072067
2.22921371,0.00051242
2.24113464,0.00171584
2.25305557,0.00586113
2.26497650,0.00691690
2.27689743,0.00247865
2.28881836,0.00725148
2.30073929,0.01702468
2.31266022,0.01418656
2.32458115,0.00389021
2.33650208,0.00118690
2.34842300,0.00202849
2.36034393,0.00100538
2.37226486,0.00241671
2.38418579,0.00817203
2.39610672,0.00904446
2.40802765,0.00331461
2.41994858,0.00217167
2.43186951,0.00506343
2.44379044,0.00382105
2.45571136,0.00091504
2.46763229,0.00063895
2.47955322,0.00109885
2.49147415,0.00062011
2.50339508,0.00183025
2.51531601,0.00510348
2.52723694,0.00513750
2.53915787,0.00153488
2.55107880,0.00216244
2.56299973,0.00446493
2.57492065,0.00332359
2.58684158,0.00128872
2.59876251,0.00281385
2.61068344,0.00407489
2.62260437,0.00180873
2.63452530,0.01273767
2.64644623,0.03653047
2.65836716,0.03605314
2.67028809,0.01286048
2.68220901,0.00584373
2.69412994,0.00988988
2.70605087,0.00654416
2.71797180,0.00188685
2.72989273,0.00342956
2.74181366,0.00460726
2.75373459,0.00196835
2.76565552,0.00214487
2.77757645,0.00574968
2.78949738,0.00541861
2.80141830,0.00180246
2.81333923,0.00103683
2.82526016,0.00173752
2.83718109,0.00133623
2.84910202,0.00083247
2.86102295,0.00305148
2.87294388,0.00377883
2.88486481,0.00179699
2.89678574,0.00249395
2.90870667,0.00654868
2.92062759,0.00585240
2.93254852,0.00171933
2.94446945,0.00216114
2.95639038,0.00158515
2.96831131,0.00603384
2.98023224,0.24051800
2.99215317,0.86035200
3.00407410,1.01690700
3.01599503,0.42971270
3.02791595,0.03496876
3.03983688,0.01101151
3.05175781,0.01024915
3.06367874,0.00224049
3.07559967,0.00047055
3.08752060,0.00027067
3.09944153,0.00004501
3.11136246,0.00110249
3.12328339,0.00416799
3.13520432,0.00464924
3.14712524,0.00195902
3.15904617,0.00196725
3.17096710,0.00432152
3.18288803,0.00338514
3.19480896,0.00096399
3.20672989,0.00083152
3.21865082,0.00102461
3.23057175,0.00042092
3.24249268,0.00219923
3.25441360,0.00711815
3.26633453,0.00749109
3.27825546,0.00210350
3.29017639,0.00682730
3.30209732,0.01392018
3.31401825,0.01022381
3.32593918,0.00172803
3.33786011,0.00988441
3.34978104,0.01386461
3.36170197,0.00725315
3.37362289,0.00274253
3.38554382,0.00899472
3.39746475,0.00880585
3.40938568,0.00269863
3.42130661,0.00175407
3.43322754,0.00342343
3.44514847,0.00260064
3.45706940,0.00121006
3.46899033,0.00261366
3.48091125,0.00338067
3.49283218,0.00169066
3.50475311,0.00204252
3.51667404,0.00513238
3.52859497,0.00458099
3.54051590,0.00126554
3.55243683,0.00105558
3.56435776,0.00232453
3.57627869,0.00177928
3.58819962,0.00174544
3.60012054,0.00562905
3.61204147,0.00687294
3.62396240,0.00231141
3.63588333,0.01478948
3.64780426,0.03726179
3.65972519,0.03303330
3.67164612,0.01005447
3.68356705,0.00247338
3.69548798,0.00406449
3.70740891,0.00260491
3.71932983,0.00191300
3.73125076,0.00556154
3.74317169,0.00666215
3.75509262,0.00274445
3.76701355,0.00198323
3.77893448,0.00540625
3.79085541,0.00471727
3.80277634,0.00149255
3.81469727,0.00039458
3.82661819,0.00043311
3.83853912,0.00028068
3.85046005,0.00153955
3.86238098,0.00461132
3.87430191,0.00476773
3.88622284,0.00168516
3.89814377,0.00265982
3.91006470,0.00599792
3.92198563,0.00490741
3.93390656,0.00165155
3.94582748,0.00117692
3.95774841,0.00335623
3.96966934,0.01339021
3.98159027,0.26228450
3.99351120,0.81142910
4.00543213,0.85953770
4.01735306,0.31965460
4.02927399,0.01893454
4.04119492,0.00823514
4.05311584,0.00746123
4.06503677,0.00165277
4.07695770,0.00202574
4.08887863,0.00278796
4.10079956,0.00132419
4.11272049,0.00179428
4.12464142,0.00557601
4.13656235,0.00541070
4.14848328,0.00178300
4.16040421,0.00145373
4.17232513,0.00299619
4.18424606,0.00224503
4.19616699,0.00113676
4.20808792,0.00279587
4.22000885,0.00359603
4.23192978,0.00177313
4.24385071,0.00277359
4.25577164,0.00802106
4.26769257,0.00745008
4.27961349,0.00174342
4.29153442,0.00461409
4.30345535,0.00843256
4.31537628,0.00569203
4.32729721,0.00380057
4.33921814,0.01844209
4.35113907,0.02348937
4.36306000,0.01059423
4.37498093,0.00293808
4.38690186,0.00926646
4.39882278,0.00834708
4.41074371,0.00260347
4.42266464,0.00055603
4.43458557,0.00134646
4.44650650,0.00112185
4.45842743,0.00131303
4.47034836,0.00346303
4.48226929,0.00410228
4.49419022,0.00187600
4.50611115,0.00168885
4.51803207,0.00490334
4.52995300,0.00434685
4.54187393,0.00148109
4.55379486,0.00030228
4.56571579,0.00038537
4.57763672,0.00037746
4.58955765,0.00208656
4.60147858,0.00749870
4.61339951,0.00861201
4.62532043,0.00251990
4.63724136,0.01534555
4.64916229,0.03436130
4.66108322,0.02733360
4.67300415,0.00676213
4.68492508,0.00154356
4.69684601,0.00228837
4.70876694,0.00116967
4.72068787,0.00200303
4.73260880,0.00671527
4.74452972,0.00732115
4.75645065,0.00266603
4.76837158,0.00189158
4.78029251,0.00419341
4.79221344,0.00301925
4.80413437,0.00061215
4.81605530,0.00092316
4.82797623,0.00141640
4.83989716,0.00052809
4.85181808,0.00177010
4.86373901,0.00516708
4.87565994,0.00499496
4.88758087,0.00155228
4.89950180,0.00261178
4.91142273,0.00487320
4.92334366,0.00362079
4.93526459,0.00235089
4.94718552,0.00411087
4.95910645,0.00643595
4.97102737,0.01956568
4.98294830,0.26633400
4.99486923,0.72038730
5.00679016,0.68404690
5.01871109,0.22211690
5.03063202,0.00857509
5.04255295,0.00545776
5.05447388,0.00492636
5.06639481,0.00163175
5.07831573,0.00334867
5.09023666,0.00401110
5.10215759,0.00140316
5.11407852,0.00206367
5.12599945,0.00536983
5.13792038,0.00447038
5.14984131,0.00116308
5.16176224,0.00107285
5.17368317,0.00156726
5.18560410,0.00106351
5.19752502,0.00110830
5.20944595,0.00355569
5.22136688,0.00405202
5.23328781,0.00116139
5.24520874,0.00334874
5.25712967,0.00784912
5.26905060,0.00651826
5.28097153,0.00154617
5.29289246,0.00136512
5.30481339,0.00198664
5.31673431,0.00104393
5.32865524,0.00737395
5.34057617,0.02621788
5.35249710,0.02982050
5.36441803,0.01158750
5.37633896,0.00357423
5.38825989,0.00859122
5.40018082,0.00660373
5.41210175,0.00161617
5.42402267,0.00057132
5.43594360,0.00059453
5.44786453,0.00023590
5.45978546,0.00135937
5.47170639,0.00445684
5.48362732,0.00474292
5.49554825,0.00163021
5.50746918,0.00186136
5.51939011,0.00410195
5.53131104,0.00296362
5.54323196,0.00054829
5.55515289,0.00109194
5.56707382,0.00155824
5.57899475,0.00061775
5.59091568,0.00299080
5.60283661,0.00896020
5.61475754,0.00919484
5.62667847,0.00239596
5.63859940,0.01336590
5.65052032,0.02654728
5.66244125,0.01890992
5.67436218,0.00337206
5.68628311,0.00573700
5.69820404,0.00797520
5.71012497,0.00405889
5.72204590,0.00228564
5.73396683,0.00750743
5.74588776,0.00726592
5.75780869,0.00219389
5.76972961,0.00162193
5.78165054,0.00296137
5.79357147,0.00179369
5.80549240,0.00080543
5.81741333,0.00216558
5.82933426,0.00289727
5.84125519,0.00142477
5.85317612,0.00202881
5.86509705,0.00509131
5.87701797,0.00447194
5.88893890,0.00134554
5.90085983,0.00140521
5.91278076,0.00223627
5.92470169,0.00152244
5.93662262,0.00239838
5.94854355,0.00714599
5.96046448,0.00957243
5.97238541,0.02513083
5.98430634,0.25062070
5.99622726,0.59581090
6.00814819,0.50722720
6.02006912,0.14300360
6.03199005,0.00364270
6.04391098,0.00123953
6.05583191,0.00145810
6.06775284,0.00176951
6.07967377,0.00503092
6.09159470,0.00583409
6.10351563,0.00226972
6.11543655,0.00224882
6.12735748,0.00527320
6.13927841,0.00400941
6.15119934,0.00112131
6.16312027,0.00020184
6.17504120,0.00024501
6.18696213,0.00009134
6.19888306,0.00129013
6.21080399,0.00473006
6.22272491,0.00521910
6.23464584,0.00180588
6.24656677,0.00304695
6.25848770,0.00666635
6.27040863,0.00490013
6.28232956,0.00149638
6.29425049,0.00277523
6.30617142,0.00418786
6.31809235,0.00277386
6.33001328,0.01146058
6.34193420,0.03242822
6.35385513,0.03284412
6.36577606,0.01112563
6.37769699,0.00314367
6.38961792,0.00667811
6.40153885,0.00463311
6.41345978,0.00139058
6.42538071,0.00191495
6.43730164,0.00220381
6.44922256,0.00085199
6.46114349,0.00160546
6.47306442,0.00486460
6.48498535,0.00471210
6.49690628,0.00123791
6.50882721,0.00160394
6.52074814,0.00301553
6.53266907,0.00216828
6.54459000,0.00109166
6.55651093,0.00255645
6.56843185,0.00322800
6.58035278,0.00124636
6.59227371,0.00387630
6.60419464,0.00976365
6.61611557,0.00872598
6.62803650,0.00178232
6.63995743,0.00897657
6.65187836,0.01544741
6.66379929,0.00974579
6.67572021,0.00180060
6.68764114,0.01030655
6.69956207,0.01276011
6.71148300,0.00543656
6.72340393,0.00303328
6.73532486,0.00776181
6.74724579,0.00663015
6.75916672,0.00163247
6.77108765,0.00091694
6.78300858,0.00147024
6.79492950,0.00112064
6.80685043,0.00134892
6.81877136,0.00360199
6.83069229,0.00414298
6.84261322,0.00159552
6.85453415,0.00204152
6.86645508,0.00512529
6.87837601,0.00432507
6.89029694,0.00121707
6.90221786,0.00008360
6.91413879,0.00012744
6.92605972,0.00029151
