Частота,Канал A
(kГц),(В)

0.00000000,7.22575800
0.01192093,3.14210200
0.02384186,0.53733470
0.03576279,0.00960848
0.04768372,0.01005146
0.05960464,0.00576477
0.07152557,0.00259851
0.08344650,0.00627856
0.09536743,0.00433926
0.10728836,0.00175529
0.11920929,0.00092613
0.13113022,0.00096809
0.14305115,0.00083478
0.15497208,0.00177075
0.16689301,0.00448470
0.17881393,0.00467445
0.19073486,0.00227035
0.20265579,0.00203187
0.21457672,0.00390297
0.22649765,0.00332612
0.23841858,0.00026123
0.25033951,0.00228838
0.26226044,0.00298543
0.27418137,0.00211698
0.28610229,0.00629825
0.29802322,0.01708385
0.30994415,0.01801977
0.32186508,0.00523922
0.33378601,0.01080475
0.34570694,0.02182115
0.35762787,0.01590080
0.36954880,0.00298395
0.38146973,0.00399345
0.39339066,0.00532346
0.40531158,0.00271260
0.41723251,0.00274857
0.42915344,0.00613001
0.44107437,0.00576313
0.45299530,0.00249579
0.46491623,0.00128805
0.47683716,0.00200992
0.48875809,0.00178386
0.50067902,0.00036299
0.51259995,0.00278621
0.52452087,0.00327592
0.53644180,0.00181123
0.54836273,0.00246678
0.56028366,0.00557617
0.57220459,0.00555218
0.58412552,0.00207901
0.59604645,0.00129016
0.60796738,0.00265126
0.61988831,0.00166932
0.63180923,0.00603110
0.64373016,0.02328814
0.65565109,0.02861654
0.66757202,0.01223582
0.67949295,0.00633720
0.69141388,0.01765625
0.70333481,0.01521776
0.71525574,0.00462855
0.72717667,0.00061664
0.73909760,0.00079056
0.75101852,0.00092185
0.76293945,0.00091465
0.77486038,0.00439205
0.78678131,0.00488173
0.79870224,0.00222786
0.81062317,0.00203758
0.82254410,0.00407444
0.83446503,0.00376818
0.84638596,0.00127367
0.85830688,0.00044061
0.87022781,0.00018492
0.88214874,0.00029812
0.89406967,0.00175546
0.90599060,0.00560607
0.91791153,0.00599861
0.92983246,0.00333212
0.94175339,0.00410486
0.95367432,0.01048943
0.96559525,0.00891649
0.97751617,0.13784560
0.98943710,0.66432980
1.00135803,0.98005600
1.01327896,0.52819970
1.02519989,0.07839508
1.03712082,0.01178016
1.04904175,0.01172975
1.06096268,0.00475363
1.07288361,0.00234887
1.08480453,0.00381838
1.09672546,0.00310367
1.10864639,0.00050216
1.12056732,0.00189281
1.13248825,0.00227445
1.14440918,0.00109979
1.15633011,0.00194063
1.16825104,0.00449809
1.18017197,0.00443719
1.19209290,0.00196398
1.20401382,0.00165297
1.21593475,0.00348107
1.22785568,0.00300958
1.23977661,0.00068442
1.25169754,0.00318103
1.26361847,0.00406368
1.27553940,0.00261661
1.28746033,0.00732191
1.29938126,0.01860473
1.31130219,0.01759209
1.32322311,0.00452425
1.33514404,0.00739188
1.34706497,0.01292516
1.35898590,0.00854758
1.37090683,0.00090863
1.38282776,0.00558165
1.39474869,0.00662066
1.40666962,0.00291397
1.41859055,0.00289225
1.43051147,0.00596986
1.44243240,0.00518042
1.45435333,0.00194712
1.46627426,0.00058152
1.47819519,0.00088510
1.49011612,0.00083107
1.50203705,0.00104428
1.51395798,0.00332314
1.52587891,0.00372402
1.53779984,0.00192938
1.54972076,0.00252211
1.56164169,0.00546435
1.57356262,0.00481420
1.58548355,0.00117492
1.59740448,0.00010955
1.60932541,0.00034680
1.62124634,0.00035691
1.63316727,0.00963601
1.64508820,0.03048793
1.65700912,0.03389967
1.66893005,0.01274438
1.68085098,0.00652501
1.69277191,0.01544302
1.70469284,0.01203722
1.71661377,0.00307630
1.72853470,0.00095435
1.74045563,0.00140779
1.75237656,0.00043853
1.76429749,0.00145376
1.77621841,0.00473591
1.78813934,0.00486361
1.80006027,0.00230403
1.81198120,0.00230762
1.82390213,0.00384461
1.83582306,0.00314788
1.84774399,0.00050373
1.85966492,0.00161271
1.87158585,0.00187036
1.88350677,0.00159951
1.89542770,0.00309852
1.90734863,0.00704394
1.91926956,0.00664438
1.93119049,0.00355887
1.94311142,0.00361873
1.95503235,0.00891481
1.96695328,0.00823915
1.97887421,0.17079260
1.99079514,0.70605400
2.00271606,0.93174610
2.01463699,0.44600780
2.02655792,0.05563979
2.03847885,0.01284112
2.05039978,0.01082675
2.06232071,0.00427156
2.07424164,0.00185234
2.08616257,0.00323174
2.09808350,0.00226197
2.11000443,0.00040698
2.12192535,0.00328416
2.13384628,0.00365079
2.14576721,0.00210029
2.15768814,0.00281686
2.16960907,0.00519964
2.18153000,0.00460583
2.19345093,0.00173006
2.20537186,0.00103558
2.21729279,0.00172820
2.22921371,0.00104690
2.24113464,0.00156780
2.25305557,0.00506146
2.26497650,0.00569638
2.27689743,0.00316182
2.28881836,0.00778305
2.30073929,0.01802418
2.31266022,0.01537808
2.32458115,0.00372259
2.33650208,0.00202741
2.34842300,0.00317945
2.36034393,0.00217746
2.37226486,0.00186076
2.38418579,0.00759394
2.39610672,0.00813777
2.40802765,0.00384404
2.41994858,0.00345092
2.43186951,0.00552938
2.44379044,0.00427566
2.45571136,0.00124204
2.46763229,0.00052266
2.47955322,0.00043343
2.49147415,0.00034026
2.50339508,0.00197518
2.51531601,0.00452401
2.52723694,0.00449900
2.53915787,0.00234228
2.55107880,0.00284608
2.56299973,0.00522708
2.57492065,0.00405996
2.58684158,0.00062366
2.59876251,0.00184602
2.61068344,0.00218541
2.62260437,0.00214143
2.63452530,0.01298757
2.64644623,0.03558929
2.65836716,0.03548447
2.67028809,0.01146805
2.68220901,0.00610769
2.69412994,0.01225147
2.70605087,0.00868062
2.71797180,0.00134889
2.72989273,0.00283454
2.74181366,0.00355984
2.75373459,0.00166784
2.76565552,0.00260922
2.77757645,0.00563496
2.78949738,0.00505731
2.80141830,0.00198089
2.81333923,0.00131868
2.82526016,0.00246199
2.83718109,0.00198929
2.84910202,0.00026500
2.86102295,0.00219774
2.87294388,0.00227096
2.88486481,0.00126395
2.89678574,0.00248789
2.90870667,0.00656922
2.92062759,0.00579840
2.93254852,0.00275963
2.94446945,0.00174738
2.95639038,0.00582121
2.96831131,0.00885736
2.98023224,0.20327010
2.99215317,0.72514020
3.00407410,0.85690650
3.01599503,0.36280840
3.02791595,0.03758899
3.03983688,0.01275894
3.05175781,0.00899471
3.06367874,0.00324831
3.07559967,0.00041575
3.08752060,0.00123910
3.09944153,0.00070071
3.11136246,0.00143654
3.12328339,0.00394904
3.13520432,0.00359486
3.14712524,0.00140400
3.15904617,0.00202620
3.17096710,0.00447235
3.18288803,0.00405571
3.19480896,0.00116893
3.20672989,0.00028590
3.21865082,0.00010130
3.23057175,0.00011224
3.24249268,0.00242737
3.25441360,0.00651758
3.26633453,0.00693176
3.27825546,0.00368488
3.29017639,0.00808881
3.30209732,0.01656002
3.31401825,0.01243099
3.32593918,0.00363610
3.33786011,0.00444780
3.34978104,0.00627557
3.36170197,0.00310075
3.37362289,0.00371300
3.38554382,0.00910957
3.39746475,0.00837755
3.40938568,0.00317375
3.42130661,0.00263155
3.43322754,0.00428593
3.44514847,0.00314337
3.45706940,0.00037093
3.46899033,0.00175198
3.48091125,0.00196203
3.49283218,0.00128031
3.50475311,0.00249358
3.51667404,0.00502960
3.52859497,0.00487069
3.54051590,0.00229941
3.55243683,0.00218637
3.56435776,0.00384788
3.57627869,0.00275949
3.58819962,0.00045243
3.60012054,0.00336004
3.61204147,0.00432745
3.62396240,0.00344094
3.63588333,0.01575895
3.64780426,0.03871010
3.65972519,0.03466422
3.67164612,0.00933987
3.68356705,0.00479919
3.69548798,0.00807031
3.70740891,0.00528713
3.71932983,0.00046432
3.73125076,0.00439840
3.74317169,0.00499957
3.75509262,0.00232794
3.76701355,0.00268730
3.77893448,0.00520055
3.79085541,0.00436737
3.80277634,0.00174812
3.81469727,0.00111093
3.82661819,0.00168065
3.83853912,0.00127216
3.85046005,0.00093066
3.86238098,0.00372476
3.87430191,0.00414749
3.88622284,0.00251318
3.89814377,0.00314316
3.91006470,0.00645937
3.92198563,0.00478209
3.93390656,0.00160456
3.94582748,0.00034723
3.95774841,0.00240973
3.96966934,0.01143390
3.98159027,0.23198640
3.99351120,0.71844210
4.00543213,0.76070030
4.01735306,0.28369270
4.02927399,0.02456723
4.04119492,0.01222646
4.05311584,0.00764900
4.06503677,0.00270352
4.07695770,0.00059435
4.08887863,0.00026864
4.10079956,0.00064183
4.11272049,0.00164385
4.12464142,0.00465519
4.13656235,0.00433875
4.14848328,0.00193987
4.16040421,0.00201739
4.17232513,0.00364600
4.18424606,0.00295633
4.19616699,0.00052762
4.20808792,0.00105409
4.22000885,0.00115222
4.23192978,0.00091069
4.24385071,0.00302970
4.25577164,0.00760708
4.26769257,0.00750538
4.27961349,0.00350565
4.29153442,0.00716254
4.30345535,0.01347604
4.31537628,0.00903251
4.32729721,0.00429964
4.33921814,0.01170967
4.35113907,0.01507252
4.36306000,0.00696669
4.37498093,0.00460149
4.38690186,0.00959493
4.39882278,0.00839121
4.41074371,0.00308819
4.42266464,0.00211595
4.43458557,0.00316055
4.44650650,0.00225070
4.45842743,0.00026862
4.47034836,0.00257754
4.48226929,0.00257308
4.49419022,0.00131294
4.50611115,0.00252284
4.51803207,0.00497219
4.52995300,0.00424342
4.54187393,0.00145798
4.55379486,0.00124457
4.56571579,0.00241165
4.57763672,0.00154792
4.58955765,0.00170386
4.60147858,0.00586328
4.61339951,0.00670333
4.62532043,0.00485890
4.63724136,0.01806632
4.64916229,0.03911442
4.66108322,0.03126578
4.67300415,0.00735704
4.68492508,0.00236596
4.69684601,0.00356286
4.70876694,0.00217626
4.72068787,0.00175139
4.73260880,0.00631519
4.74452972,0.00624761
4.75645065,0.00254843
4.76837158,0.00282738
4.78029251,0.00524432
4.79221344,0.00418481
4.80413437,0.00119704
4.81605530,0.00035986
4.82797623,0.00041337
4.83989716,0.00025171
4.85181808,0.00193568
4.86373901,0.00464049
4.87565994,0.00449635
4.88758087,0.00238891
4.89950180,0.00300227
4.91142273,0.00601139
4.92334366,0.00424583
4.93526459,0.00081415
4.94718552,0.00243797
4.95910645,0.00119036
4.97102737,0.01553837
4.98294830,0.25254010
4.99486923,0.68448310
5.00679016,0.64980320
5.01871109,0.21218710
5.03063202,0.01521491
5.04255295,0.01016387
5.05447388,0.00571214
5.06639481,0.00167392
5.07831573,0.00242475
5.09023666,0.00221533
5.10215759,0.00109330
5.11407852,0.00236159
5.12599945,0.00537715
5.13792038,0.00489880
5.14984131,0.00230466
5.16176224,0.00202058
5.17368317,0.00307528
5.18560410,0.00223477
5.19752502,0.00059063
5.20944595,0.00272441
5.22136688,0.00273022
5.23328781,0.00159000
5.24520874,0.00373957
5.25712967,0.00826990
5.26905060,0.00744655
5.28097153,0.00315051
5.29289246,0.00534266
5.30481339,0.00907668
5.31673431,0.00551462
5.32865524,0.00629526
5.34057617,0.01929331
5.35249710,0.02174531
5.36441803,0.00895236
5.37633896,0.00496937
5.38825989,0.00939750
5.40018082,0.00744522
5.41210175,0.00246042
5.42402267,0.00120014
5.43594360,0.00164959
5.44786453,0.00107439
5.45978546,0.00121252
5.47170639,0.00379645
5.48362732,0.00375218
5.49554825,0.00189996
5.50746918,0.00249199
5.51939011,0.00457777
5.53131104,0.00359428
5.54323196,0.00068699
5.55515289,0.00031825
5.56707382,0.00076702
5.57899475,0.00015726
5.59091568,0.00289915
5.60283661,0.00738262
5.61475754,0.00757961
5.62667847,0.00491940
5.63859940,0.01822011
5.65052032,0.03609014
5.66244125,0.02582066
5.67436218,0.00553750
5.68628311,0.00098433
5.69820404,0.00160319
5.71012497,0.00072342
5.72204590,0.00278591
5.73396683,0.00717891
5.74588776,0.00668956
5.75780869,0.00303694
5.76972961,0.00317547
5.78165054,0.00474164
5.79357147,0.00342909
5.80549240,0.00043208
5.81741333,0.00147292
5.82933426,0.00138468
5.84125519,0.00084694
5.85317612,0.00222398
5.86509705,0.00488561
5.87701797,0.00451709
5.88893890,0.00208325
5.90085983,0.00258934
5.91278076,0.00489068
5.92470169,0.00299988
5.93662262,0.00080802
5.94854355,0.00506094
5.96046448,0.00458653
5.97238541,0.02103129
5.98430634,0.26245150
5.99622726,0.62503450
6.00814819,0.53174610
6.02006912,0.15090760
6.03199005,0.00878055
6.04391098,0.00738449
6.05583191,0.00368607
6.06775284,0.00082707
6.07967377,0.00367768
6.09159470,0.00353092
6.10351563,0.00175072
6.11543655,0.00264924
6.12735748,0.00516279
6.13927841,0.00390437
6.15119934,0.00116789
6.16312027,0.00066887
6.17504120,0.00158298
6.18696213,0.00110058
6.19888306,0.00107440
6.21080399,0.00331031
6.22272491,0.00339949
6.23464584,0.00200091
6.24656677,0.00418891
6.25848770,0.00828416
6.27040863,0.00652517
6.28232956,0.00194190
6.29425049,0.00269253
6.30617142,0.00453995
6.31809235,0.00274627
6.33001328,0.00921210
6.34193420,0.02633126
6.35385513,0.02637759
6.36577606,0.00991668
6.37769699,0.00542884
6.38961792,0.00902244
6.40153885,0.00641775
6.41345978,0.00161681
6.42538071,0.00018293
6.43730164,0.00006142
6.44922256,0.00017972
6.46114349,0.00182019
6.47306442,0.00410815
6.48498535,0.00356754
6.49690628,0.00179607
6.50882721,0.00273485
6.52074814,0.00456458
6.53266907,0.00345990
6.54459000,0.00056640
6.55651093,0.00075632
6.56843185,0.00069593
6.58035278,0.00087761
6.59227371,0.00383127
6.60419464,0.00897389
6.61611557,0.00845478
6.62803650,0.00538734
6.63995743,0.01753289
6.65187836,0.03080821
6.66379929,0.01955663
6.67572021,0.00442778
6.68764114,0.00447173
6.69956207,0.00528277
6.71148300,0.00209275
6.72340393,0.00353007
6.73532486,0.00794324
6.74724579,0.00632879
6.75916672,0.00210929
6.77108765,0.00202061
6.78300858,0.00321176
6.79492950,0.00226797
6.80685043,0.00062075
6.81877136,0.00225969
6.83069229,0.00220797
6.84261322,0.00139676
6.85453415,0.00296675
6.86645508,0.00546737
6.87837601,0.00457952
6.89029694,0.00180265
6.90221786,0.00208005
6.91413879,0.00359576
6.92605972,0.00195576
