Частота,Канал A
(kГц),(В)

0.00000000,6.87392700
0.01192093,2.98861300
0.02384186,0.51041860
0.03576279,0.00927335
0.04768372,0.00990772
0.05960464,0.00613516
0.07152557,0.00261473
0.08344650,0.00657365
0.09536743,0.00408030
0.10728836,0.00161204
0.11920929,0.00064286
0.13113022,0.00050386
0.14305115,0.00099573
0.15497208,0.00163929
0.16689301,0.00454516
0.17881393,0.00452778
0.19073486,0.00201507
0.20265579,0.00174528
0.21457672,0.00367784
0.22649765,0.00258058
0.23841858,0.00043463
0.25033951,0.00198603
0.26226044,0.00319008
0.27418137,0.00201641
0.28610229,0.00574664
0.29802322,0.01728658
0.30994415,0.01815421
0.32186508,0.00530696
0.33378601,0.01056867
0.34570694,0.02148355
0.35762787,0.01530018
0.36954880,0.00248994
0.38146973,0.00377127
0.39339066,0.00508183
0.40531158,0.00267182
0.41723251,0.00237130
0.42915344,0.00550764
0.44107437,0.00510062
0.45299530,0.00178150
0.46491623,0.00145872
0.47683716,0.00258474
0.48875809,0.00173427
0.50067902,0.00031199
0.51259995,0.00239662
0.52452087,0.00355586
0.53644180,0.00220038
0.54836273,0.00281521
0.56028366,0.00598806
0.57220459,0.00516017
0.58412552,0.00153364
0.59604645,0.00125173
0.60796738,0.00222390
0.61988831,0.00123487
0.63180923,0.00628705
0.64373016,0.02470583
0.65565109,0.03030420
0.66757202,0.01265211
0.67949295,0.00613376
0.69141388,0.01746900
0.70333481,0.01486022
0.71525574,0.00421793
0.72717667,0.00055268
0.73909760,0.00042087
0.75101852,0.00004364
0.76293945,0.00126954
0.77486038,0.00410905
0.78678131,0.00463835
0.79870224,0.00227701
0.81062317,0.00236015
0.82254410,0.00459817
0.83446503,0.00335635
0.84638596,0.00054736
0.85830688,0.00091757
0.87022781,0.00100406
0.88214874,0.00089076
0.89406967,0.00177209
0.90599060,0.00600061
0.91791153,0.00632628
0.92983246,0.00362786
0.94175339,0.00398964
0.95367432,0.01024643
0.96559525,0.00860438
0.97751617,0.17197320
0.98943710,0.82987450
1.00135803,1.22386400
1.01327896,0.66010740
1.02519989,0.09775221
1.03712082,0.01196146
1.04904175,0.01182579
1.06096268,0.00475248
1.07288361,0.00237015
1.08480453,0.00396337
1.09672546,0.00277807
1.10864639,0.00043758
1.12056732,0.00147233
1.13248825,0.00226328
1.14440918,0.00150106
1.15633011,0.00218073
1.16825104,0.00480505
1.18017197,0.00479505
1.19209290,0.00213876
1.20401382,0.00178761
1.21593475,0.00248957
1.22785568,0.00188543
1.23977661,0.00005644
1.25169754,0.00345846
1.26361847,0.00521867
1.27553940,0.00311808
1.28746033,0.00742857
1.29938126,0.01857495
1.31130219,0.01733466
1.32322311,0.00480759
1.33514404,0.00548782
1.34706497,0.01021452
1.35898590,0.00643801
1.37090683,0.00068932
1.38282776,0.00589673
1.39474869,0.00737746
1.40666962,0.00388678
1.41859055,0.00320320
1.43051147,0.00607586
1.44243240,0.00517397
1.45435333,0.00181826
1.46627426,0.00079378
1.47819519,0.00069675
1.49011612,0.00023004
1.50203705,0.00091291
1.51395798,0.00344745
1.52587891,0.00416664
1.53779984,0.00188646
1.54972076,0.00225334
1.56164169,0.00527790
1.57356262,0.00483218
1.58548355,0.00174191
1.59740448,0.00006843
1.60932541,0.00095118
1.62124634,0.00114855
1.63316727,0.00984959
1.64508820,0.03180788
1.65700912,0.03546954
1.66893005,0.01357713
1.68085098,0.00530657
1.69277191,0.01409952
1.70469284,0.01085112
1.71661377,0.00234785
1.72853470,0.00128693
1.74045563,0.00184330
1.75237656,0.00124250
1.76429749,0.00192020
1.77621841,0.00498667
1.78813934,0.00511677
1.80006027,0.00238729
1.81198120,0.00194578
1.82390213,0.00305015
1.83582306,0.00194560
1.84774399,0.00047747
1.85966492,0.00193532
1.87158585,0.00265844
1.88350677,0.00174326
1.89542770,0.00215005
1.90734863,0.00652686
1.91926956,0.00587692
1.93119049,0.00310065
1.94311142,0.00217295
1.95503235,0.00699862
1.96695328,0.00782162
1.97887421,0.20992950
1.99079514,0.86631600
2.00271606,1.14278500
2.01463699,0.54723140
2.02655792,0.06711198
2.03847885,0.01257074
2.05039978,0.01067544
2.06232071,0.00419575
2.07424164,0.00136244
2.08616257,0.00242217
2.09808350,0.00110417
2.11000443,0.00086061
2.12192535,0.00346919
2.13384628,0.00419930
2.14576721,0.00219959
2.15768814,0.00225401
2.16960907,0.00467173
2.18153000,0.00406477
2.19345093,0.00149320
2.20537186,0.00093119
2.21729279,0.00104754
2.22921371,0.00052686
2.24113464,0.00158234
2.25305557,0.00566835
2.26497650,0.00683314
2.27689743,0.00368370
2.28881836,0.00771692
2.30073929,0.01699179
2.31266022,0.01408873
2.32458115,0.00404550
2.33650208,0.00144668
2.34842300,0.00224224
2.36034393,0.00139802
2.37226486,0.00275657
2.38418579,0.00806237
2.39610672,0.00878923
2.40802765,0.00374642
2.41994858,0.00281505
2.43186951,0.00516003
2.44379044,0.00399363
2.45571136,0.00124972
2.46763229,0.00031106
2.47955322,0.00108418
2.49147415,0.00079061
2.50339508,0.00139537
2.51531601,0.00414233
2.52723694,0.00456016
2.53915787,0.00206410
2.55107880,0.00219862
2.56299973,0.00391859
2.57492065,0.00274958
2.58684158,0.00014004
2.59876251,0.00302240
2.61068344,0.00444270
2.62260437,0.00296344
2.63452530,0.01276785
2.64644623,0.03614398
2.65836716,0.03604716
2.67028809,0.01166102
2.68220901,0.00458001
2.69412994,0.00975433
2.70605087,0.00660466
2.71797180,0.00040412
2.72989273,0.00386507
2.74181366,0.00500795
2.75373459,0.00275397
2.76565552,0.00257212
2.77757645,0.00557445
2.78949738,0.00512166
2.80141830,0.00198826
2.81333923,0.00123297
2.82526016,0.00172067
2.83718109,0.00093194
2.84910202,0.00022584
2.86102295,0.00267506
2.87294388,0.00363084
2.88486481,0.00212924
2.89678574,0.00238934
2.90870667,0.00661579
2.92062759,0.00537081
2.93254852,0.00285848
2.94446945,0.00061213
2.95639038,0.00338578
2.96831131,0.00835769
2.98023224,0.24138840
2.99215317,0.86082740
3.00407410,1.01709300
3.01599503,0.43074760
3.02791595,0.04358141
3.03983688,0.01225515
3.05175781,0.00825789
3.06367874,0.00281890
3.07559967,0.00028547
3.08752060,0.00038677
3.09944153,0.00031411
3.11136246,0.00105792
3.12328339,0.00400128
3.13520432,0.00472863
3.14712524,0.00243988
3.15904617,0.00230501
3.17096710,0.00412641
3.18288803,0.00289579
3.19480896,0.00049487
3.20672989,0.00073843
3.21865082,0.00111922
3.23057175,0.00084182
3.24249268,0.00236501
3.25441360,0.00694173
3.26633453,0.00758562
3.27825546,0.00371933
3.29017639,0.00666402
3.30209732,0.01314469
3.31401825,0.00990771
3.32593918,0.00481917
3.33786011,0.01010718
3.34978104,0.01397331
3.36170197,0.00771735
3.37362289,0.00484030
3.38554382,0.00964968
3.39746475,0.00917133
3.40938568,0.00337728
3.42130661,0.00212155
3.43322754,0.00351838
3.44514847,0.00227672
3.45706940,0.00038482
3.46899033,0.00215633
3.48091125,0.00294418
3.49283218,0.00179856
3.50475311,0.00243804
3.51667404,0.00530991
3.52859497,0.00506982
3.54051590,0.00212819
3.55243683,0.00145372
3.56435776,0.00210074
3.57627869,0.00150717
3.58819962,0.00088268
3.60012054,0.00525185
3.61204147,0.00696835
3.62396240,0.00440324
3.63588333,0.01526906
3.64780426,0.03759397
3.65972519,0.03359475
3.67164612,0.00963627
3.68356705,0.00232947
3.69548798,0.00418455
3.70740891,0.00216604
3.71932983,0.00160973
3.73125076,0.00551867
3.74317169,0.00623198
3.75509262,0.00305512
3.76701355,0.00285437
3.77893448,0.00529140
3.79085541,0.00428473
3.80277634,0.00150516
3.81469727,0.00044995
3.82661819,0.00030227
3.83853912,0.00012471
3.85046005,0.00108370
3.86238098,0.00400950
3.87430191,0.00482411
3.88622284,0.00282228
3.89814377,0.00288343
3.91006470,0.00607821
3.92198563,0.00442719
3.93390656,0.00192517
3.94582748,0.00213109
3.95774841,0.00105411
3.96966934,0.01102075
3.98159027,0.26176290
3.99351120,0.81134560
4.00543213,0.85965250
4.01735306,0.32080160
4.02927399,0.02640772
4.04119492,0.01036141
4.05311584,0.00568153
4.06503677,0.00152676
4.07695770,0.00199963
4.08887863,0.00196227
4.10079956,0.00172362
4.11272049,0.00205044
4.12464142,0.00512272
4.13656235,0.00494205
4.14848328,0.00220202
4.16040421,0.00162897
4.17232513,0.00279559
4.18424606,0.00210188
4.19616699,0.00048132
4.20808792,0.00204174
4.22000885,0.00308800
4.23192978,0.00169635
4.24385071,0.00296914
4.25577164,0.00791354
4.26769257,0.00798350
4.27961349,0.00371727
4.29153442,0.00485307
4.30345535,0.00829109
4.31537628,0.00571988
4.32729721,0.00602272
4.33921814,0.01849607
4.35113907,0.02316085
4.36306000,0.01087491
4.37498093,0.00504983
4.38690186,0.00948939
4.39882278,0.00827270
4.41074371,0.00281927
4.42266464,0.00142930
4.43458557,0.00182251
4.44650650,0.00071905
4.45842743,0.00123230
4.47034836,0.00348426
4.48226929,0.00402464
4.49419022,0.00205600
4.50611115,0.00244797
4.51803207,0.00509290
4.52995300,0.00443497
4.54187393,0.00153056
4.55379486,0.00064184
4.56571579,0.00065442
4.57763672,0.00043787
4.58955765,0.00212032
4.60147858,0.00763386
4.61339951,0.00895795
4.62532043,0.00526921
4.63724136,0.01551094
4.64916229,0.03358348
4.66108322,0.02670278
4.67300415,0.00703629
4.68492508,0.00124896
4.69684601,0.00192160
4.70876694,0.00125439
4.72068787,0.00255502
4.73260880,0.00680992
4.74452972,0.00706297
4.75645065,0.00294012
4.76837158,0.00245178
4.78029251,0.00439301
4.79221344,0.00306643
4.80413437,0.00094821
4.81605530,0.00106199
4.82797623,0.00157662
4.83989716,0.00128990
4.85181808,0.00214489
4.86373901,0.00487690
4.87565994,0.00442737
4.88758087,0.00176528
4.89950180,0.00226720
4.91142273,0.00471914
4.92334366,0.00285205
4.93526459,0.00038403
4.94718552,0.00529335
4.95910645,0.00538288
4.97102737,0.01452881
4.98294830,0.26608670
4.99486923,0.72072530
5.00679016,0.68407040
5.01871109,0.22291980
5.03063202,0.01405830
5.04255295,0.00700150
5.05447388,0.00284344
5.06639481,0.00048926
5.07831573,0.00364829
5.09023666,0.00389071
5.10215759,0.00240111
5.11407852,0.00242520
5.12599945,0.00526500
5.13792038,0.00441327
5.14984131,0.00160474
5.16176224,0.00122626
5.17368317,0.00170847
5.18560410,0.00085181
5.19752502,0.00072670
5.20944595,0.00338436
5.22136688,0.00438624
5.23328781,0.00247489
5.24520874,0.00351934
5.25712967,0.00759602
5.26905060,0.00648326
5.28097153,0.00221636
5.29289246,0.00120941
5.30481339,0.00183001
5.31673431,0.00143134
5.32865524,0.00831382
5.34057617,0.02658342
5.35249710,0.02974693
5.36441803,0.01243031
5.37633896,0.00506077
5.38825989,0.00858118
5.40018082,0.00658128
5.41210175,0.00171149
5.42402267,0.00040559
5.43594360,0.00052041
5.44786453,0.00073021
5.45978546,0.00164515
5.47170639,0.00437749
5.48362732,0.00456938
5.49554825,0.00196863
5.50746918,0.00201576
5.51939011,0.00379952
5.53131104,0.00283875
5.54323196,0.00066589
5.55515289,0.00078115
5.56707382,0.00150411
5.57899475,0.00097043
5.59091568,0.00297359
5.60283661,0.00878004
5.61475754,0.00915404
5.62667847,0.00510982
5.63859940,0.01377620
5.65052032,0.02659529
5.66244125,0.01912814
5.67436218,0.00570022
5.68628311,0.00576665
5.69820404,0.00764773
5.71012497,0.00397261
5.72204590,0.00337203
5.73396683,0.00766892
5.74588776,0.00727562
5.75780869,0.00267441
5.76972961,0.00194318
5.78165054,0.00321546
5.79357147,0.00214084
5.80549240,0.00002623
5.81741333,0.00216213
5.82933426,0.00319720
5.84125519,0.00210245
5.85317612,0.00248139
5.86509705,0.00518119
5.87701797,0.00463345
5.88893890,0.00172645
5.90085983,0.00128637
5.91278076,0.00227351
5.92470169,0.00103119
5.93662262,0.00155892
5.94854355,0.00835128
5.96046448,0.00903265
5.97238541,0.01814630
5.98430634,0.24991570
5.99622726,0.59534980
6.00814819,0.50659240
6.02006912,0.14298470
6.03199005,0.00548124
6.04391098,0.00273717
6.05583191,0.00072478
6.06775284,0.00081823
6.07967377,0.00496279
6.09159470,0.00518285
6.10351563,0.00254915
6.11543655,0.00244828
6.12735748,0.00485270
6.13927841,0.00376815
6.15119934,0.00141316
6.16312027,0.00052551
6.17504120,0.00030277
6.18696213,0.00020029
6.19888306,0.00133586
6.21080399,0.00429144
6.22272491,0.00472537
6.23464584,0.00219914
6.24656677,0.00324261
6.25848770,0.00646818
6.27040863,0.00504665
6.28232956,0.00101028
6.29425049,0.00257571
6.30617142,0.00401162
6.31809235,0.00153596
6.33001328,0.01088403
6.34193420,0.03229224
6.35385513,0.03265953
6.36577606,0.01210356
6.37769699,0.00446473
6.38961792,0.00709774
6.40153885,0.00484631
6.41345978,0.00069316
6.42538071,0.00152266
6.43730164,0.00211583
6.44922256,0.00143361
6.46114349,0.00233632
6.47306442,0.00510141
6.48498535,0.00471102
6.49690628,0.00188198
6.50882721,0.00176150
6.52074814,0.00273696
6.53266907,0.00164765
6.54459000,0.00033672
6.55651093,0.00247626
6.56843185,0.00353178
6.58035278,0.00213537
6.59227371,0.00394648
6.60419464,0.00949028
6.61611557,0.00868603
6.62803650,0.00388213
6.63995743,0.00840108
6.65187836,0.01484691
6.66379929,0.00973186
6.67572021,0.00495545
6.68764114,0.01064267
6.69956207,0.01241828
6.71148300,0.00549388
6.72340393,0.00376384
6.73532486,0.00772048
6.74724579,0.00636764
6.75916672,0.00187898
6.77108765,0.00086799
6.78300858,0.00119649
6.79492950,0.00041799
6.80685043,0.00118934
6.81877136,0.00347626
6.83069229,0.00410778
6.84261322,0.00233374
6.85453415,0.00279258
6.86645508,0.00511183
6.87837601,0.00397940
6.89029694,0.00109348
6.90221786,0.00019072
6.91413879,0.00010562
6.92605972,0.00029806
