Частота,Канал A
(kГц),(В)

0.00000000,8.27123500
0.01192093,3.59611200
0.02384186,0.61745430
0.03576279,0.00352394
0.04768372,0.00671054
0.05960464,0.00469684
0.07152557,0.00091871
0.08344650,0.00387802
0.09536743,0.00585498
0.10728836,0.00576947
0.11920929,0.00048961
0.13113022,0.00180104
0.14305115,0.00539099
0.15497208,0.00571654
0.16689301,0.00220902
0.17881393,0.04449339
0.19073486,0.18470730
0.20265579,0.24414510
0.21457672,0.11666950
0.22649765,0.01351911
0.23841858,0.00416851
0.25033951,0.00675623
0.26226044,0.00408002
0.27418137,0.00102465
0.28610229,0.00342703
0.29802322,0.00608304
0.30994415,0.00428198
0.32186508,0.00109850
0.33378601,0.00248365
0.34570694,0.00522683
0.35762787,0.00476804
0.36954880,0.00395762
0.38146973,0.06939962
0.39339066,0.21404740
0.40531158,0.22621170
0.41723251,0.08394232
0.42915344,0.00543800
0.44107437,0.00553787
0.45299530,0.00697720
0.46491623,0.00321317
0.47683716,0.00077744
0.48875809,0.00410395
0.50067902,0.00632973
0.51259995,0.00392142
0.52452087,0.00074560
0.53644180,0.00283464
0.54836273,0.00491700
0.56028366,0.00297787
0.57220459,0.00875080
0.58412552,0.09872713
0.59604645,0.23456920
0.60796738,0.19910360
0.61988831,0.05583316
0.63180923,0.00262742
0.64373016,0.00682417
0.65565109,0.00720621
0.66757202,0.00266273
0.67949295,0.00123955
0.69141388,0.00479141
0.70333481,0.00573700
0.71525574,0.00259839
0.72717667,0.00050362
0.73909760,0.00304002
0.75101852,0.00479447
0.76293945,0.00294216
0.77486038,0.01839296
0.78678131,0.13150920
0.79870224,0.24503100
0.81062317,0.16659870
0.82254410,0.03404199
0.83446503,0.00311064
0.84638596,0.00724779
0.85830688,0.00611455
0.87022781,0.00178542
0.88214874,0.00213257
0.89406967,0.00561626
0.90599060,0.00546750
0.91791153,0.00204401
0.92983246,0.00085344
0.94175339,0.00307685
0.95367432,0.00376014
0.96559525,0.00140480
0.97751617,0.03336934
0.98943710,0.16528710
1.00135803,0.24432100
1.01327896,0.13177670
1.02519989,0.01848181
1.03712082,0.00444186
1.04904175,0.00788761
1.06096268,0.00492808
1.07288361,0.00063577
1.08480453,0.00208183
1.09672546,0.00503781
1.10864639,0.00443431
1.12056732,0.00142314
1.13248825,0.00131429
1.14440918,0.00331910
1.15633011,0.00340070
1.16825104,0.00209090
1.18017197,0.05498955
1.19209290,0.19569380
1.20401382,0.23137470
1.21593475,0.09817344
1.22785568,0.00888734
1.23977661,0.00563880
1.25169754,0.00851935
1.26361847,0.00454133
1.27553940,0.00051255
1.28746033,0.00305334
1.29938126,0.00571551
1.31130219,0.00401440
1.32322311,0.00054787
1.33514404,0.00118287
1.34706497,0.00315028
1.35898590,0.00245187
1.37090683,0.00508487
1.38282776,0.08048204
1.39474869,0.21859360
1.40666962,0.20785860
1.41859055,0.06787409
1.43051147,0.00424998
1.44243240,0.00717552
1.45435333,0.00820382
1.46627426,0.00339652
1.47819519,0.00114497
1.49011612,0.00453133
1.50203705,0.00599199
1.51395798,0.00335968
1.52587891,0.00055783
1.53779984,0.00141131
1.54972076,0.00261830
1.56164169,0.00183840
1.57356262,0.01282736
1.58548355,0.11120210
1.59740448,0.23308620
1.60932541,0.17749160
1.62124634,0.04316595
1.63316727,0.00356882
1.64508820,0.00832590
1.65700912,0.00749834
1.66893005,0.00241993
1.68085098,0.00145149
1.69277191,0.00462094
1.70469284,0.00496290
1.71661377,0.00182283
1.72853470,0.00009126
1.74045563,0.00113740
1.75237656,0.00179044
1.76429749,0.00095125
1.77621841,0.02433596
1.78813934,0.14248590
1.80006027,0.23666780
1.81198120,0.14407990
1.82390213,0.02479799
1.83582306,0.00444513
1.84774399,0.00863139
1.85966492,0.00620051
1.87158585,0.00137702
1.88350677,0.00207628
1.89542770,0.00503305
1.90734863,0.00462201
1.91926956,0.00145576
1.93119049,0.00125440
1.94311142,0.00182514
1.95503235,0.00158115
1.96695328,0.00133305
1.97887421,0.04190705
1.99079514,0.17286170
2.00271606,0.22843340
2.01463699,0.10977810
2.02655792,0.01275753
2.03847885,0.00545731
2.05039978,0.00874419
2.06232071,0.00536676
2.07424164,0.00114830
2.08616257,0.00235258
2.09808350,0.00483349
2.11000443,0.00372704
2.12192535,0.00075989
2.13384628,0.00023930
2.14576721,0.00065854
2.15768814,0.00137687
2.16960907,0.00332064
2.18153000,0.06357743
2.19345093,0.19744490
2.20537186,0.20977660
2.21729279,0.07856333
2.22921371,0.00605410
2.24113464,0.00725742
2.25305557,0.00937781
2.26497650,0.00480428
2.27689743,0.00099662
2.28881836,0.00291379
2.30073929,0.00455793
2.31266022,0.00281552
2.32458115,0.00065767
2.33650208,0.00059323
2.34842300,0.00026818
2.36034393,0.00049125
2.37226486,0.00782573
2.38418579,0.08967469
2.39610672,0.21398600
2.40802765,0.18261180
2.41994858,0.05166433
2.43186951,0.00258206
2.44379044,0.00762418
2.45571136,0.00802425
2.46763229,0.00281015
2.47955322,0.00043427
2.49147415,0.00305264
2.50339508,0.00398723
2.51531601,0.00199544
2.52723694,0.00067129
2.53915787,0.00069603
2.55107880,0.00050471
2.56299973,0.00002590
2.57492065,0.01661955
2.58684158,0.11844030
2.59876251,0.22124760
2.61068344,0.15109350
2.62260437,0.03127247
2.63452530,0.00343064
2.64644623,0.00836265
2.65836716,0.00716276
2.67028809,0.00189547
2.68220901,0.00112011
2.69412994,0.00342813
2.70605087,0.00358757
2.71797180,0.00151964
2.72989273,0.00067018
2.74181366,0.00094188
2.75373459,0.00099330
2.76565552,0.00049958
2.77757645,0.02949206
2.78949738,0.14636910
2.80141830,0.21731990
2.81333923,0.11798800
2.82526016,0.01708586
2.83718109,0.00500639
2.84910202,0.00900163
2.86102295,0.00613702
2.87294388,0.00153679
2.88486481,0.00210598
2.89678574,0.00401014
2.90870667,0.00317893
2.92062759,0.00079425
2.93254852,0.00049342
2.94446945,0.00111820
2.95639038,0.00112346
2.96831131,0.00144530
2.98023224,0.04754060
2.99215317,0.17101700
3.00407410,0.20321450
3.01599503,0.08654299
3.02791595,0.00793775
3.03983688,0.00667941
3.05175781,0.00939091
3.06367874,0.00467293
3.07559967,0.00039862
3.08752060,0.00212392
3.09944153,0.00332107
3.11136246,0.00195621
3.12328339,0.00016648
3.13520432,0.00063599
3.14712524,0.00173838
3.15904617,0.00132315
3.17096710,0.00467023
3.18288803,0.06992832
3.19480896,0.18994430
3.20672989,0.18110030
3.21865082,0.05920980
3.23057175,0.00334555
3.24249268,0.00748980
3.25441360,0.00864552
3.26633453,0.00340388
3.27825546,0.00026971
3.29017639,0.00199377
3.30209732,0.00259884
3.31401825,0.00148036
3.32593918,0.00035833
3.33786011,0.00119755
3.34978104,0.00212226
3.36170197,0.00149549
3.37362289,0.01078751
3.38554382,0.09468572
3.39746475,0.19955780
3.40938568,0.15262780
3.42130661,0.03706826
3.43322754,0.00338011
3.44514847,0.00824187
3.45706940,0.00771723
3.46899033,0.00284553
3.48091125,0.00070732
3.49283218,0.00207848
3.50475311,0.00276428
3.51667404,0.00155677
3.52859497,0.00077423
3.54051590,0.00188768
3.55243683,0.00237645
3.56435776,0.00111635
3.57627869,0.02030556
3.58819962,0.11980140
3.60012054,0.19966470
3.61204147,0.12195880
3.62396240,0.02129160
3.63588333,0.00406165
3.64780426,0.00815940
3.65972519,0.00581614
3.67164612,0.00100635
3.68356705,0.00117466
3.69548798,0.00258660
3.70740891,0.00240148
3.71932983,0.00084146
3.73125076,0.00086005
3.74317169,0.00268982
3.75509262,0.00282968
3.76701355,0.00106472
3.77893448,0.03410619
3.79085541,0.14286240
3.80277634,0.18989500
3.81469727,0.09160434
3.82661819,0.01082070
3.83853912,0.00512626
3.85046005,0.00780969
3.86238098,0.00455348
3.87430191,0.00082813
3.88622284,0.00120207
3.89814377,0.00182359
3.91006470,0.00124158
3.92198563,0.00067429
3.93390656,0.00189876
3.94582748,0.00389821
3.95774841,0.00349516
3.96966934,0.00331435
3.98159027,0.05207224
3.99351120,0.16143900
4.00543213,0.17213710
4.01735306,0.06470618
4.02927399,0.00479004
4.04119492,0.00589791
4.05311584,0.00786320
4.06503677,0.00377908
4.07695770,0.00052202
4.08887863,0.00121404
4.10079956,0.00143962
4.11272049,0.00086078
4.12464142,0.00085882
4.13656235,0.00254945
4.14848328,0.00463158
4.16040421,0.00347428
4.17232513,0.00638981
4.18424606,0.07244336
4.19616699,0.17315850
4.20808792,0.14813680
4.22000885,0.04203789
4.23192978,0.00259400
4.24385071,0.00711992
4.25577164,0.00745728
4.26769257,0.00282291
4.27961349,0.00078718
4.29153442,0.00160869
4.30345535,0.00154939
4.31537628,0.00069661
4.32729721,0.00084948
4.33921814,0.00340276
4.35113907,0.00498907
4.36306000,0.00297491
4.37498093,0.01285321
4.38690186,0.09337318
4.39882278,0.17586340
4.41074371,0.12073480
4.42266464,0.02477440
4.43458557,0.00328962
4.44650650,0.00708992
4.45842743,0.00577595
4.47034836,0.00161053
4.48226929,0.00017024
4.49419022,0.00066014
4.50611115,0.00074811
4.51803207,0.00017377
4.52995300,0.00061935
4.54187393,0.00344194
4.55379486,0.00468527
4.56571579,0.00234323
4.57763672,0.02338287
4.58955765,0.11463690
4.60147858,0.17071630
4.61339951,0.09310804
4.62532043,0.01337902
4.63724136,0.00407136
4.64916229,0.00734648
4.66108322,0.00474754
4.67300415,0.00084684
4.68492508,0.00053657
4.69684601,0.00070371
4.70876694,0.00039683
4.72068787,0.00028614
4.73260880,0.00179053
4.74452972,0.00515766
4.75645065,0.00505662
4.76837158,0.00209468
4.78029251,0.03650580
4.79221344,0.13166230
4.80413437,0.15701790
4.81605530,0.06702229
4.82797623,0.00607995
4.83989716,0.00459635
4.85181808,0.00717606
4.86373901,0.00415488
4.87565994,0.00089152
4.88758087,0.00049787
4.89950180,0.00046480
4.91142273,0.00036133
4.92334366,0.00003293
4.93526459,0.00209662
4.94718552,0.00526762
4.95910645,0.00433950
4.97102737,0.00345348
4.98294830,0.05237722
4.99486923,0.14362450
5.00679016,0.13777890
5.01871109,0.04548362
5.03063202,0.00284657
5.04255295,0.00505371
5.05447388,0.00567536
5.06639481,0.00211199
5.07831573,0.00008238
5.09023666,0.00004683
5.10215759,0.00008625
5.11407852,0.00031190
5.12599945,0.00060760
5.13792038,0.00350763
5.14984131,0.00625266
5.16176224,0.00427218
5.17368317,0.00752049
5.18560410,0.06951358
5.19752502,0.14845290
5.20944595,0.11452920
5.22136688,0.02850868
5.23328781,0.00234080
5.24520874,0.00549092
5.25712967,0.00532034
5.26905060,0.00215043
5.28097153,0.00065938
5.29289246,0.00044898
5.30481339,0.00063787
5.31673431,0.00058188
5.32865524,0.00112066
5.34057617,0.00478803
5.35249710,0.00675316
5.36441803,0.00354481
5.37633896,0.01440115
5.38825989,0.08653904
5.40018082,0.14542070
5.41210175,0.08933029
5.42402267,0.01564714
5.43594360,0.00249882
5.44786453,0.00537538
5.45978546,0.00395652
5.47170639,0.00063421
5.48362732,0.00059414
5.49554825,0.00090879
5.50746918,0.00088060
5.51939011,0.00069814
5.53131104,0.00203973
5.54323196,0.00595579
5.55515289,0.00646272
5.56707382,0.00257589
5.57899475,0.02414227
5.59091568,0.10269710
5.60283661,0.13723750
5.61475754,0.06660394
5.62667847,0.00790322
5.63859940,0.00275906
5.65052032,0.00455221
5.66244125,0.00268632
5.67436218,0.00029201
5.68628311,0.00038463
5.69820404,0.00116787
5.71012497,0.00104272
5.72204590,0.00058057
5.73396683,0.00307827
5.74588776,0.00698886
5.75780869,0.00590588
5.76972961,0.00211840
5.78165054,0.03611262
5.79357147,0.11332970
5.80549240,0.12151150
5.81741333,0.04608086
5.82933426,0.00353529
5.84125519,0.00331763
5.85317612,0.00451508
5.86509705,0.00211282
5.87701797,0.00038714
5.88893890,0.00080850
5.90085983,0.00156371
5.91278076,0.00098630
5.92470169,0.00022598
5.93662262,0.00369519
5.94854355,0.00748204
5.96046448,0.00527169
5.97238541,0.00424891
5.98430634,0.04950281
5.99622726,0.11920880
6.00814819,0.10253390
6.02006912,0.02950991
6.03199005,0.00166061
6.04391098,0.00340731
6.05583191,0.00339120
6.06775284,0.00100860
6.07967377,0.00056130
6.09159470,0.00172517
6.10351563,0.00225158
6.11543655,0.00113105
6.12735748,0.00109076
6.13927841,0.00534866
6.15119934,0.00797488
6.16312027,0.00455738
6.17504120,0.00839261
6.18696213,0.06285191
6.19888306,0.11882470
6.21080399,0.08175428
6.22272491,0.01688920
6.23464584,0.00152846
6.24656677,0.00357954
6.25848770,0.00295306
6.27040863,0.00091377
6.28232956,0.00077355
6.29425049,0.00193870
6.30617142,0.00201712
6.31809235,0.00080202
6.33001328,0.00179371
6.34193420,0.00628630
6.35385513,0.00745160
6.36577606,0.00322129
6.37769699,0.01512291
6.38961792,0.07467471
6.40153885,0.11188360
6.41345978,0.06147422
6.42538071,0.00923417
6.43730164,0.00203872
6.44922256,0.00345779
6.46114349,0.00235039
6.47306442,0.00052379
6.48498535,0.00104839
6.49690628,0.00270072
6.50882721,0.00239074
6.52074814,0.00090074
6.53266907,0.00300841
6.54459000,0.00781893
6.55651093,0.00759842
6.56843185,0.00249913
6.58035278,0.02261162
6.59227371,0.08381379
6.60419464,0.10073320
6.61611557,0.04351813
6.62803650,0.00441114
6.63995743,0.00158764
6.65187836,0.00237926
6.66379929,0.00143861
6.67572021,0.00061313
6.68764114,0.00197745
6.69956207,0.00336316
6.71148300,0.00208560
6.72340393,0.00076423
6.73532486,0.00383537
6.74724579,0.00793807
6.75916672,0.00630012
6.77108765,0.00278651
6.78300858,0.03239021
6.79492950,0.08886257
6.80685043,0.08577861
6.81877136,0.02870015
6.83069229,0.00174403
6.84261322,0.00169016
6.85453415,0.00221398
6.86645508,0.00143365
6.87837601,0.00086768
6.89029694,0.00247584
6.90221786,0.00360569
6.91413879,0.00193601
6.92605972,0.00052964
