Частота,Канал A
(kГц),(В)

0.00000000,0.09150764
0.01192093,0.04016825
0.02384186,0.00883030
0.03576279,0.00298573
0.04768372,0.00195687
0.05960464,0.00186934
0.07152557,0.00286706
0.08344650,0.00300368
0.09536743,0.00296539
0.10728836,0.00314857
0.11920929,0.00499094
0.13113022,0.00484681
0.14305115,0.00100367
0.15497208,0.00253924
0.16689301,0.00318455
0.17881393,0.00326936
0.19073486,0.00338640
0.20265579,0.00799343
0.21457672,0.01289605
0.22649765,0.00784147
0.23841858,0.00009488
0.25033951,0.00282987
0.26226044,0.00292004
0.27418137,0.00130534
0.28610229,0.02678173
0.29802322,0.08588763
0.30994415,0.09114288
0.32186508,0.03483022
0.33378601,0.00489990
0.34570694,0.00317341
0.35762787,0.00302899
0.36954880,0.00113162
0.38146973,0.00514664
0.39339066,0.01003826
0.40531158,0.00697203
0.41723251,0.00330567
0.42915344,0.00315701
0.44107437,0.00296845
0.45299530,0.00244786
0.46491623,0.00082812
0.47683716,0.00382136
0.48875809,0.00443937
0.50067902,0.00313400
0.51259995,0.00298268
0.52452087,0.00312298
0.53644180,0.00285291
0.54836273,0.00208436
0.56028366,0.00173817
0.57220459,0.00237002
0.58412552,0.00264653
0.59604645,0.00289008
0.60796738,0.00311560
0.61988831,0.00263602
0.63180923,0.00275574
0.64373016,0.00343776
0.65565109,0.00238754
0.66757202,0.00151625
0.67949295,0.00286055
0.69141388,0.00317537
0.70333481,0.00306916
0.71525574,0.00317290
0.72717667,0.00554247
0.73909760,0.00606691
0.75101852,0.00189993
0.76293945,0.00200538
0.77486038,0.00291968
0.78678131,0.00309483
0.79870224,0.00332715
0.81062317,0.00946947
0.82254410,0.01750800
0.83446503,0.01217967
0.84638596,0.00111625
0.85830688,0.00298155
0.87022781,0.00291253
0.88214874,0.00237197
0.89406967,0.00628518
0.90599060,0.02637157
0.91791153,0.03150406
0.92983246,0.01410722
0.94175339,0.00358563
0.95367432,0.00310247
0.96559525,0.00301576
0.97751617,0.00159251
0.98943710,0.00341334
1.00135803,0.00790354
1.01327896,0.00608218
1.02519989,0.00311813
1.03712082,0.00307842
1.04904175,0.00306596
1.06096268,0.00268339
1.07288361,0.00115357
1.08480453,0.00326046
1.09672546,0.00397673
1.10864639,0.00292328
1.12056732,0.00290001
1.13248825,0.00328438
1.14440918,0.00289524
1.15633011,0.00237418
1.16825104,0.00215589
1.18017197,0.00220526
1.19209290,0.00229994
1.20401382,0.00271887
1.21593475,0.00303374
1.22785568,0.00268937
1.23977661,0.00293688
1.25169754,0.00388165
1.26361847,0.00279354
1.27553940,0.00118668
1.28746033,0.00267207
1.29938126,0.00289797
1.31130219,0.00306761
1.32322311,0.00324367
1.33514404,0.00616410
1.34706497,0.00750974
1.35898590,0.00293964
1.37090683,0.00172795
1.38282776,0.00289851
1.39474869,0.00304332
1.40666962,0.00368606
1.41859055,0.01306289
1.43051147,0.02729480
1.44243240,0.02160404
1.45435333,0.00438454
1.46627426,0.00268573
1.47819519,0.00308843
1.49011612,0.00292986
1.50203705,0.00199618
1.51395798,0.01436673
1.52587891,0.01947084
1.53779984,0.01005170
1.54972076,0.00346837
1.56164169,0.00328942
1.57356262,0.00299776
1.58548355,0.00182364
1.59740448,0.00232122
1.60932541,0.00643007
1.62124634,0.00554695
1.63316727,0.00315519
1.64508820,0.00310661
1.65700912,0.00295153
1.66893005,0.00253453
1.68085098,0.00123591
1.69277191,0.00248136
1.70469284,0.00348239
1.71661377,0.00289946
1.72853470,0.00284986
1.74045563,0.00313177
1.75237656,0.00275175
1.76429749,0.00252110
1.77621841,0.00250745
1.78813934,0.00215707
1.80006027,0.00223932
1.81198120,0.00271347
1.82390213,0.00323676
1.83582306,0.00318357
1.84774399,0.00334256
1.85966492,0.00465981
1.87158585,0.00384184
1.88350677,0.00086036
1.89542770,0.00248905
1.90734863,0.00283210
1.91926956,0.00283239
1.93119049,0.00290630
1.94311142,0.00653101
1.95503235,0.00915308
1.96695328,0.00438643
1.97887421,0.00128860
1.99079514,0.00294643
2.00271606,0.00315153
2.01463699,0.00444509
2.02655792,0.02507070
2.03847885,0.06106824
2.05039978,0.05437772
2.06232071,0.01515094
2.07424164,0.00226789
2.08616257,0.00299889
2.09808350,0.00282490
2.11000443,0.00042435
2.12192535,0.00913038
2.13384628,0.01394047
2.14576721,0.00811715
2.15768814,0.00329031
2.16960907,0.00318801
2.18153000,0.00293876
2.19345093,0.00211071
2.20537186,0.00154598
2.21729279,0.00534581
2.22921371,0.00521664
2.24113464,0.00328807
2.25305557,0.00321699
2.26497650,0.00312860
2.27689743,0.00273816
2.28881836,0.00162989
2.30073929,0.00219567
2.31266022,0.00317986
2.32458115,0.00290178
2.33650208,0.00287812
2.34842300,0.00338604
2.36034393,0.00297915
2.37226486,0.00276374
2.38418579,0.00290032
2.39610672,0.00202544
2.40802765,0.00185751
2.41994858,0.00281801
2.43186951,0.00320390
2.44379044,0.00302827
2.45571136,0.00313432
2.46763229,0.00486198
2.47955322,0.00452041
2.49147415,0.00106606
2.50339508,0.00237896
2.51531601,0.00303830
2.52723694,0.00329504
2.53915787,0.00340494
2.55107880,0.00791321
2.56299973,0.01223259
2.57492065,0.00708197
2.58684158,0.00059177
2.59876251,0.00311561
2.61068344,0.00295469
2.62260437,0.00085821
2.63452530,0.06177296
2.64644623,0.18140300
2.65836716,0.18198170
2.67028809,0.06424595
2.68220901,0.00625585
2.69412994,0.00329889
2.70605087,0.00298180
2.71797180,0.00076178
2.72989273,0.00588546
2.74181366,0.01050914
2.75373459,0.00689039
2.76565552,0.00317607
2.77757645,0.00314598
2.78949738,0.00306886
2.80141830,0.00249466
2.81333923,0.00093459
2.82526016,0.00432456
2.83718109,0.00476869
2.84910202,0.00321460
2.86102295,0.00292568
2.87294388,0.00292561
2.88486481,0.00254882
2.89678574,0.00188601
2.90870667,0.00210518
2.92062759,0.00278196
2.93254852,0.00281182
2.94446945,0.00292392
2.95639038,0.00331439
2.96831131,0.00305106
2.98023224,0.00307859
2.99215317,0.00331835
3.00407410,0.00218879
3.01599503,0.00146431
3.02791595,0.00251838
3.03983688,0.00282919
3.05175781,0.00281705
3.06367874,0.00304065
3.07559967,0.00523900
3.08752060,0.00546780
3.09944153,0.00149238
3.11136246,0.00227404
3.12328339,0.00309495
3.13520432,0.00316622
3.14712524,0.00333699
3.15904617,0.00924384
3.17096710,0.01623639
3.18288803,0.01074458
3.19480896,0.00068692
3.20672989,0.00299574
3.21865082,0.00310478
3.23057175,0.00249154
3.24249268,0.00867581
3.25441360,0.03283854
3.26633453,0.03710383
3.27825546,0.01568402
3.29017639,0.00379860
3.30209732,0.00317323
3.31401825,0.00291251
3.32593918,0.00132800
3.33786011,0.00402094
3.34978104,0.00854681
3.36170197,0.00634440
3.37362289,0.00320794
3.38554382,0.00311172
3.39746475,0.00293862
3.40938568,0.00253959
3.42130661,0.00085199
3.43322754,0.00348604
3.44514847,0.00432267
3.45706940,0.00322782
3.46899033,0.00319240
3.48091125,0.00325277
3.49283218,0.00269834
3.50475311,0.00222979
3.51667404,0.00215170
3.52859497,0.00232918
3.54051590,0.00244936
3.55243683,0.00278291
3.56435776,0.00321902
3.57627869,0.00289985
3.58819962,0.00296640
3.60012054,0.00366789
3.61204147,0.00247847
3.62396240,0.00127269
3.63588333,0.00268149
3.64780426,0.00300859
3.65972519,0.00312059
3.67164612,0.00338177
3.68356705,0.00615358
3.69548798,0.00697965
3.70740891,0.00246574
3.71932983,0.00189178
3.73125076,0.00304922
3.74317169,0.00314082
3.75509262,0.00354675
3.76701355,0.01204409
3.77893448,0.02391456
3.79085541,0.01782022
3.80277634,0.00280631
3.81469727,0.00298558
3.82661819,0.00311219
3.83853912,0.00279823
3.85046005,0.00297329
3.86238098,0.01663033
3.87430191,0.02119253
3.88622284,0.01038239
3.89814377,0.00349369
3.91006470,0.00315046
3.92198563,0.00295754
3.93390656,0.00181324
3.94582748,0.00261084
3.95774841,0.00689375
3.96966934,0.00581413
3.98159027,0.00324479
3.99351120,0.00308018
4.00543213,0.00290432
4.01735306,0.00254526
4.02927399,0.00121790
4.04119492,0.00284432
4.05311584,0.00370590
4.06503677,0.00285999
4.07695770,0.00277266
4.08887863,0.00320631
4.10079956,0.00297730
4.11272049,0.00270853
4.12464142,0.00230850
4.13656235,0.00190500
4.14848328,0.00226561
4.16040421,0.00275558
4.17232513,0.00308080
4.18424606,0.00292673
4.19616699,0.00317425
4.20808792,0.00416719
4.22000885,0.00317877
4.23192978,0.00097976
4.24385071,0.00267545
4.25577164,0.00309548
4.26769257,0.00312180
4.27961349,0.00327809
4.29153442,0.00668875
4.30345535,0.00874638
4.31537628,0.00391251
4.32729721,0.00139398
4.33921814,0.00284807
4.35113907,0.00313108
4.36306000,0.00427423
4.37498093,0.02046761
4.38690186,0.04668431
4.39882278,0.03941389
4.41074371,0.00992625
4.42266464,0.00247485
4.43458557,0.00297113
4.44650650,0.00277930
4.45842743,0.00090112
4.47034836,0.01042003
4.48226929,0.01500903
4.49419022,0.00831810
4.50611115,0.00331145
4.51803207,0.00307733
4.52995300,0.00291754
4.54187393,0.00204755
4.55379486,0.00172661
4.56571579,0.00555573
4.57763672,0.00521176
4.58955765,0.00329803
4.60147858,0.00305323
4.61339951,0.00309298
4.62532043,0.00284050
4.63724136,0.00175989
4.64916229,0.00235079
4.66108322,0.00326794
4.67300415,0.00286814
4.68492508,0.00281444
4.69684601,0.00317701
4.70876694,0.00286355
4.72068787,0.00291908
4.73260880,0.00287861
4.74452972,0.00192053
4.75645065,0.00202683
4.76837158,0.00290802
4.78029251,0.00317461
4.79221344,0.00292331
4.80413437,0.00332167
4.81605530,0.00469787
4.82797623,0.00431052
4.83989716,0.00094982
4.85181808,0.00226824
4.86373901,0.00333721
4.87565994,0.00313417
4.88758087,0.00352606
4.89950180,0.00775582
4.91142273,0.01147081
4.92334366,0.00579790
4.93526459,0.00262740
4.94718552,0.00466732
4.95910645,0.00691918
4.97102737,0.09072792
4.98294830,1.33294200
4.99486923,3.60297500
5.00679016,3.41977700
5.01871109,1.11099900
5.03063202,0.05039036
5.04255295,0.00321959
5.05447388,0.00541242
5.06639481,0.00276108
5.07831573,0.00744143
5.09023666,0.01135410
5.10215759,0.00741121
5.11407852,0.00352509
5.12599945,0.00344648
5.13792038,0.00275924
5.14984131,0.00265188
5.16176224,0.00128635
5.17368317,0.00420237
5.18560410,0.00459768
5.19752502,0.00289913
5.20944595,0.00299684
5.22136688,0.00300944
5.23328781,0.00286171
5.24520874,0.00205352
5.25712967,0.00208403
5.26905060,0.00278597
5.28097153,0.00274389
5.29289246,0.00284813
5.30481339,0.00326467
5.31673431,0.00278529
5.32865524,0.00284625
5.34057617,0.00319268
5.35249710,0.00204365
5.36441803,0.00167140
5.37633896,0.00281977
5.38825989,0.00316753
5.40018082,0.00314848
5.41210175,0.00343304
5.42402267,0.00549664
5.43594360,0.00534700
5.44786453,0.00132771
5.45978546,0.00226953
5.47170639,0.00306251
5.48362732,0.00315598
5.49554825,0.00345113
5.50746918,0.00911083
5.51939011,0.01513338
5.53131104,0.00946445
5.54323196,0.00032984
5.55515289,0.00286392
5.56707382,0.00289468
5.57899475,0.00190532
5.59091568,0.01301449
5.60283661,0.04320100
5.61475754,0.04600155
5.62667847,0.01807853
5.63859940,0.00382355
5.65052032,0.00307943
5.66244125,0.00282431
5.67436218,0.00106078
5.68628311,0.00458081
5.69820404,0.00886072
5.71012497,0.00622420
5.72204590,0.00310272
5.73396683,0.00305760
5.74588776,0.00291740
5.75780869,0.00250099
5.76972961,0.00093623
5.78165054,0.00352839
5.79357147,0.00418434
5.80549240,0.00304903
5.81741333,0.00296170
5.82933426,0.00307967
5.84125519,0.00275784
5.85317612,0.00228361
5.86509705,0.00200763
5.87701797,0.00234850
5.88893890,0.00255113
5.90085983,0.00281534
5.91278076,0.00314310
5.92470169,0.00275203
5.93662262,0.00285864
5.94854355,0.00356978
5.96046448,0.00244256
5.97238541,0.00130436
5.98430634,0.00276428
5.99622726,0.00297670
6.00814819,0.00291143
6.02006912,0.00311655
6.03199005,0.00585178
6.04391098,0.00660054
6.05583191,0.00222269
6.06775284,0.00183644
6.07967377,0.00285293
6.09159470,0.00307357
6.10351563,0.00361058
6.11543655,0.01152981
6.12735748,0.02148684
6.13927841,0.01513551
6.15119934,0.00198425
6.16312027,0.00275809
6.17504120,0.00294911
6.18696213,0.00274362
6.19888306,0.00414394
6.21080399,0.01966334
6.22272491,0.02383630
6.23464584,0.01106799
6.24656677,0.00349875
6.25848770,0.00311203
6.27040863,0.00289047
6.28232956,0.00151066
6.29425049,0.00322427
6.30617142,0.00734623
6.31809235,0.00580443
6.33001328,0.00325424
6.34193420,0.00324243
6.35385513,0.00307470
6.36577606,0.00268868
6.37769699,0.00120465
6.38961792,0.00284920
6.40153885,0.00376870
6.41345978,0.00290993
6.42538071,0.00277751
6.43730164,0.00303792
6.44922256,0.00285008
6.46114349,0.00251119
6.47306442,0.00225853
6.48498535,0.00202533
6.49690628,0.00227832
6.50882721,0.00274139
6.52074814,0.00327656
6.53266907,0.00312791
6.54459000,0.00327773
6.55651093,0.00442791
6.56843185,0.00329147
6.58035278,0.00103041
6.59227371,0.00264871
6.60419464,0.00295982
6.61611557,0.00298589
6.62803650,0.00324847
6.63995743,0.00661703
6.65187836,0.00827221
6.66379929,0.00337740
6.67572021,0.00173866
6.68764114,0.00302615
6.69956207,0.00315770
6.71148300,0.00415688
6.72340393,0.01757925
6.73532486,0.03756823
6.74724579,0.02980942
6.75916672,0.00633481
6.77108765,0.00272416
6.78300858,0.00292841
6.79492950,0.00283514
6.80685043,0.00143880
6.81877136,0.01179511
6.83069229,0.01604061
6.84261322,0.00833314
6.85453415,0.00313954
6.86645508,0.00306122
6.87837601,0.00289395
6.89029694,0.00199066
6.90221786,0.00192582
6.91413879,0.00589023
6.92605972,0.00526656
